time(s),total_rx(bytes)
0,0
1,1069
2,1069
3,1069
4,1069
5,1069
6,1069
7,1069
8,1069
9,1069
10,1069
11,1069
12,1069
13,1069
14,1069
15,1069
16,1069
17,1069
19,1069
20,1069
21,1069
22,1069
23,1069
24,1069
25,1069
26,1069
27,1069
28,1069
29,1069
30,2218
31,2218
32,2218
33,2218
34,2218
35,2218
36,2218
37,2218
38,2218
39,2218
40,2218
41,2218
42,2218
44,2218
45,2218
46,2218
47,2218
48,2218
49,2218
50,2218
51,2218
52,2218
53,2218
54,2218
55,2218
56,2218
57,2218
58,2218
59,2218
60,3367
61,3367
62,3367
63,3367
64,3367
65,3367
66,3367
67,3367
69,3367
70,3367
71,3367
72,3367
73,3367
74,3367
75,3367
76,3367
77,3367
78,3367
79,3367
80,3367
81,3367
82,3367
83,3367
84,3367
85,3367
86,3367
87,3367
88,3367
89,3367
90,4582
91,4582
93,4582
94,4582
95,4582
96,4582
97,4582
98,4582
99,4582
100,4582
101,4582
102,4582
103,4582
104,4582
105,4582
106,4582
107,4582
108,4582
109,4582
110,4582
111,4582
112,4582
113,4582
114,4582
115,4582
116,4582
118,4582
119,4582
120,4582
121,5665
122,5665
123,5665
124,5665
125,5665
126,5665
127,5665
128,5665
129,5665
130,5665
131,5665
132,5665
133,5665
134,5665
135,5665
136,5665
137,5665
138,5665
139,5665
140,5665
142,5665
143,5665
144,5665
145,5665
146,5665
147,5665
148,5665
149,5665
150,6022
151,6748
152,6748
153,6748
154,6748
155,6748
156,6748
157,6748
158,6748
159,6748
160,6748
161,6748
162,6748
163,6748
164,6748
165,6748
167,6748
168,6748
169,6748
170,6748
171,6748
172,6748
173,6748
174,6748
175,6748
176,6748
177,6748
178,6748
179,6748
180,7765
181,7765
182,7765
183,7765
184,7765
185,7765
186,7765
187,7765
188,7765
189,7765
191,7765
192,7765
193,7765
194,7765
195,7765
196,7765
197,7765
198,7765
199,7765
200,7765
201,7765
202,7765
203,7765
204,7765
205,7765
206,7765
207,7765
208,7765
209,7765
210,8782
211,8782
212,8782
213,8782
214,8782
216,8782
217,8782
218,8782
219,8782
220,8782
221,8782
222,8782
223,8782
224,8782
225,8782
226,8782
227,8782
228,8782
229,8782
230,8782
231,8782
232,8782
233,8782
234,8782
235,8782
236,8782
237,8782
238,8782
239,8782
241,9865
242,9865
243,9865
244,9865
245,9865
246,9865
247,9865
248,9865
249,9865
250,9865
251,9865
252,9865
253,9865
254,9865
255,9865
256,9865
257,9865
258,9865
259,9865
260,9865
261,9865
262,9865
263,9865
265,9865
266,9865
267,9865
268,9865
269,9865
270,9865
271,10816
272,10816
273,10816
274,10816
275,10816
276,10816
277,10816
278,10816
279,10816
280,10816
281,10816
282,10816
283,10816
284,10816
285,10816
286,10816
287,10816
288,10816
290,10816
291,10816
292,10816
293,10816
294,10816
295,10816
296,10816
297,10816
298,10816
299,10816
300,11899
301,11899
302,11899
303,11899
304,11899
305,11899
306,11899
307,11899
308,11899
309,11899
310,11899
311,11899
312,11899
314,11899
315,11899
316,11899
317,11899
318,11899
319,11899
320,11899
321,11899
322,11899
323,11899
324,11899
325,11899
326,11899
327,11899
328,11899
329,11899
330,12916
331,12916
332,12916
333,12916
334,12916
335,12916
336,12916
337,12916
339,12916
340,12916
341,12916
342,12916
343,12916
344,12916
345,12916
346,12916
347,12916
348,12916
349,12916
350,12916
351,12916
352,12916
353,12916
354,12916
355,12916
356,12916
357,12916
358,12916
359,12916
360,13801
361,13801
363,13801
364,13801
365,13801
366,13801
367,13801
368,13801
369,13801
370,13801
371,13801
372,13801
373,13801
374,13801
375,13801
376,13801
377,13801
378,13801
379,13801
380,13801
381,13801
382,13801
383,13801
384,13801
385,13801
386,13801
388,13801
389,13801
390,13801
391,15082
392,15082
393,15082
394,15082
395,15082
396,15082
397,15082
398,15082
399,15082
400,15082
401,15082
402,15082
403,15082
404,15082
405,15082
406,15082
407,15082
408,15082
409,15082
410,15082
412,15082
413,15082
414,15082
415,15082
416,15082
417,15082
418,15082
419,15082
420,15439
421,16231
422,16231
423,16231
424,16231
425,16231
426,16231
427,16231
428,16231
429,16231
430,16231
431,16231
432,16231
433,16231
434,16231
435,16231
437,16231
438,16231
439,16231
440,16231
441,16231
442,16231
443,16231
444,16231
445,16231
446,16231
447,16231
448,16231
449,16231
450,17248
451,17248
452,17248
453,17248
454,17248
455,17290
456,17290
457,17290
458,17290
459,17290
461,17290
462,17290
463,17290
464,17290
465,17290
466,17290
467,17290
468,17290
469,17290
470,17290
471,17290
472,17290
473,17290
474,17290
475,17290
476,17290
477,17290
478,17290
479,17290
480,18175
481,18175
482,18175
483,18175
484,18175
486,18175
487,18175
488,18175
489,18175
490,18175
491,18175
492,18175
493,18175
494,18175
495,18175
496,18175
497,18175
498,18175
499,18175
500,18175
501,18175
502,18175
503,18175
504,18175
505,18175
506,18175
507,18175
508,18175
509,18175
511,19455
512,19455
513,19455
514,19455
515,19455
516,19497
517,19497
518,19497
519,19497
520,19497
521,19497
522,19497
523,19497
524,19497
525,19497
526,19497
527,19497
528,19497
529,19497
530,19497
531,19497
532,19497
533,19497
535,19497
536,19497
537,19497
538,19497
539,19497
540,19497
541,20844
542,20844
543,20844
544,20844
545,20844
546,20844
547,20844
548,20844
549,20844
550,20844
551,20844
552,20844
553,20844
554,20844
555,20844
556,20844
557,20844
558,20844
560,20844
561,20844
562,20844
563,20844
564,20844
565,20844
566,20844
567,20844
568,20844
569,20844
570,21861
571,21861
572,21861
573,21861
574,21861
575,21861
576,21861
577,21861
578,21861
579,21861
580,21861
581,21861
582,21861
584,21861
585,21861
586,21861
587,21861
588,21861
589,21861
590,21861
591,21861
592,21861
593,21861
594,21861
595,21861
596,21861
597,21861
598,21861
599,21861
600,23010
601,23010
602,23010
603,23010
604,23010
605,23052
606,23052
607,23052
609,23052
610,23052
611,23052
612,23052
613,23052
614,23052
615,23052
616,23052
617,23052
618,23052
619,23052
620,23052
621,23052
622,23052
623,23052
624,23052
625,23052
626,23052
627,23052
628,23052
629,23052
630,24069
631,24069
632,24069
634,24069
635,24069
636,24111
637,24111
638,24111
639,24111
640,24111
641,24111
642,24111
643,24111
644,24111
645,24111
646,24111
647,24111
648,24111
649,24111
650,24111
651,24111
652,24111
653,24111
654,24111
655,24111
656,24111
658,24111
659,24111
660,24111
661,25128
662,25128
663,25128
664,25128
665,25128
666,25170
667,25170
668,25170
669,25170
670,25170
671,25170
672,25170
673,25170
674,25170
675,25170
676,25170
677,25170
678,25170
679,25170
680,25170
681,25170
683,25170
684,25170
685,25170
686,25170
687,25170
688,25170
689,25170
690,25170
691,26187
692,26187
693,26187
694,26187
695,26229
696,26229
697,26229
698,26229
699,26229
700,26229
701,26229
702,26229
703,26229
704,26229
705,26229
707,26229
708,26229
709,26229
710,26229
711,26229
712,26229
713,26229
714,26229
715,26229
716,26229
717,26229
718,26229
719,26229
720,27246
721,27246
722,27246
723,27246
724,27246
725,27246
726,27246
727,27246
728,27246
729,27246
730,27246
732,27246
733,27246
734,27246
735,27246
736,27246
737,27246
738,27246
739,27246
740,27246
741,27246
742,27246
743,27246
744,27246
745,27246
746,27246
747,27246
748,27246
749,27246
750,28263
751,28263
752,28263
753,28263
754,28263
755,28305
757,28305
758,28305
759,28305
760,28305
761,28305
