time(s),total_tx(bytes)
0,0
1,929
2,929
3,929
4,929
5,929
6,929
7,929
8,929
9,929
10,929
11,929
12,929
13,929
14,929
15,929
16,929
17,929
19,929
20,929
21,929
22,929
23,929
24,929
25,929
26,929
27,929
28,929
29,929
30,151569
31,151569
32,151569
33,151569
34,151569
35,151569
36,151569
37,151569
38,151569
39,151569
40,151569
41,151569
42,151569
44,151569
45,151569
46,151569
47,151569
48,151569
49,151569
50,151569
51,151569
52,151569
53,151569
54,151569
55,151569
56,151569
57,151569
58,151569
59,151569
60,295657
61,295657
62,295657
63,295657
64,295657
65,295657
66,295657
67,295657
69,295657
70,295657
71,295657
72,295657
73,295657
74,295657
75,295657
76,295657
77,295657
78,295657
79,295657
80,295657
81,295657
82,295657
83,295657
84,295657
85,295657
86,295657
87,295657
88,295657
89,295657
90,452995
91,452995
93,452995
94,452995
95,452995
96,452995
97,452995
98,452995
99,452995
100,452995
101,452995
102,452995
103,452995
104,452995
105,452995
106,452995
107,452995
108,452995
109,452995
110,452995
111,452995
112,452995
113,452995
114,452995
115,452995
116,452995
118,452995
119,452995
120,452995
121,576919
122,576919
123,576919
124,576919
125,576919
126,576919
127,576919
128,576919
129,576919
130,576919
131,576919
132,576919
133,576919
134,576919
135,576919
136,576919
137,576919
138,576919
139,576919
140,576919
142,576919
143,576919
144,576919
145,576919
146,576919
147,576919
148,576919
149,576919
150,576985
151,705073
152,705073
153,705073
154,705073
155,705073
156,705073
157,705073
158,705073
159,705073
160,705073
161,705073
162,705073
163,705073
164,705073
165,705073
167,705073
168,705073
169,705073
170,705073
171,705073
172,705073
173,705073
174,705073
175,705073
176,705073
177,705073
178,705073
179,705073
180,821079
181,821079
182,821079
183,821079
184,821079
185,821079
186,821079
187,821079
188,821079
189,821079
191,821079
192,821079
193,821079
194,821079
195,821079
196,821079
197,821079
198,821079
199,821079
200,821079
201,821079
202,821079
203,821079
204,821079
205,821079
206,821079
207,821079
208,821079
209,821079
210,941427
211,941427
212,941427
213,941427
214,941427
216,941427
217,941427
218,941427
219,941427
220,941427
221,941427
222,941427
223,941427
224,941427
225,941427
226,941427
227,941427
228,941427
229,941427
230,941427
231,941427
232,941427
233,941427
234,941427
235,941427
236,941427
237,941427
238,941427
239,941427
241,1091731
242,1091731
243,1091731
244,1091731
245,1091731
246,1091731
247,1091731
248,1091731
249,1091731
250,1091731
251,1091731
252,1091731
253,1091731
254,1091731
255,1091731
256,1091731
257,1091731
258,1091731
259,1091731
260,1091731
261,1091731
262,1091731
263,1091731
265,1091731
266,1091731
267,1091731
268,1091731
269,1091731
270,1091731
271,1182814
272,1182814
273,1182814
274,1182814
275,1182814
276,1182814
277,1182814
278,1182814
279,1182814
280,1182814
281,1182814
282,1182814
283,1182814
284,1182814
285,1182814
286,1182814
287,1182814
288,1182814
290,1182814
291,1182814
292,1182814
293,1182814
294,1182814
295,1182814
296,1182814
297,1182814
298,1182814
299,1182814
300,1300441
301,1300441
302,1300441
303,1300441
304,1300441
305,1300441
