time(s),total_rx(bytes)
0,0
1,1223
2,1561
3,1561
4,1899
5,1899
6,1899
7,2520
8,2594
9,2594
10,2594
11,2594
12,2594
14,2858
15,2858
16,2858
17,2932
18,2932
19,2974
20,2974
21,3331
22,3331
23,3331
24,3331
25,3331
26,3373
27,3637
28,3637
29,3637
30,4931
31,5071
32,5071
33,5071
34,5071
35,5071
36,5071
37,5071
38,5071
40,5071
41,5071
42,5071
43,5071
44,5071
45,5071
46,5071
47,5071
48,5071
49,5071
50,5071
51,5071
52,5071
53,5071
54,5071
55,5071
56,5071
57,5071
58,5071
59,5071
60,6139
61,6851
62,6851
63,7207
64,7207
65,7249
67,8761
68,8761
69,8761
70,8761
71,8761
72,8761
73,8761
74,8761
75,8761
76,8761
77,8761
78,8761
79,8761
80,8761
81,8761
82,8761
83,8761
84,8761
85,8761
86,8761
87,8761
88,8761
89,8815
90,9766
91,9766
93,9766
94,9766
95,9766
96,9832
97,9832
98,9832
99,9832
100,9832
101,9832
102,9832
103,9832
104,9832
105,9832
106,9832
107,9832
108,9832
109,9832
110,9832
111,9832
112,9832
113,9832
114,9832
115,9832
116,9832
117,9832
118,9832
120,9832
121,11260
122,11617
123,11617
124,11974
125,11974
126,12016
127,13530
128,13530
129,13530
130,13530
131,13530
132,13530
133,13530
134,13530
135,13530
136,13530
137,13530
138,13530
139,13530
140,13530
141,13530
142,13530
143,13530
144,13530
146,13530
147,13530
148,13530
149,13530
150,13941
151,14733
152,14733
153,14733
154,14733
155,14733
156,14733
157,14733
158,14733
159,14733
160,14733
161,14733
162,14733
163,14733
164,14733
165,14733
166,14733
167,14733
168,14733
169,14733
170,14733
172,14733
173,14733
174,14733
175,14733
176,14733
177,14733
178,14733
179,14733
180,15090
181,16161
182,16518
183,16518
184,16875
185,16875
186,16875
187,17232
188,17274
189,17274
190,17274
191,17274
192,17274
193,18788
194,18788
195,18788
196,18788
197,18788
199,18830
200,18830
201,18830
202,18830
203,18830
204,18830
205,18830
206,18830
207,18830
208,18830
209,18830
210,19967
211,19967
212,19967
213,19967
214,19967
215,19967
216,19967
217,19967
218,19967
219,19967
220,19967
221,19967
222,19967
223,19967
225,19967
226,19967
227,19967
228,19967
229,19967
230,19967
231,19967
232,19967
233,19967
234,19967
235,19967
236,19967
237,19967
238,19967
239,19967
240,21038
241,21395
242,21752
243,22109
244,22109
245,22109
246,22109
247,22508
248,22508
249,22508
251,22508
252,22508
253,22508
254,24154
255,24154
256,24154
257,24154
258,24154
259,24196
260,24196
261,24196
262,24196
263,24196
264,24196
265,24196
266,24196
267,24196
268,24196
269,24196
270,25333
271,25333
272,25333
273,25333
274,25333
275,25333
276,25333
278,25333
279,25333
280,25333
281,25333
282,25333
283,25333
284,25333
285,25333
286,25333
287,25333
288,25333
289,25333
290,25333
291,25333
292,25333
293,25333
294,25333
295,25333
296,25333
297,25333
298,25333
299,25333
300,26404
301,27118
302,27118
304,27475
305,27475
306,27475
307,27832
308,27832
309,27874
310,27874
311,27874
312,27874
313,27874
314,29388
315,29388
316,29388
317,29388
318,29388
319,29430
320,29430
321,29430
322,29430
323,29430
324,29430
325,29430
326,29430
327,29430
328,29430
329,29484
331,30633
332,30633
333,30633
334,30633
335,30633
336,30633
337,30633
338,30633
339,30633
340,30633
341,30633
342,30633
343,30633
344,30633
345,30633
346,30633
347,30633
348,30633
349,30633
350,30633
351,30633
352,30633
353,30633
354,30633
355,30633
357,30633
358,30633
359,30633
360,30633
361,32061
362,32418
363,32418
364,32775
365,32775
366,32775
367,33132
368,33132
369,33174
370,33174
371,33174
372,33174
373,34160
374,34886
375,34886
376,34886
377,34886
378,34886
379,34928
380,34928
381,34928
382,34928
384,34928
385,34928
386,34928
387,34928
388,34928
389,34928
390,36263
391,36263
392,36263
393,36263
394,36263
395,36263
396,36263
397,36263
398,36263
399,36263
400,36263
401,36263
402,36263
403,36263
404,36263
405,36263
406,36263
407,36263
408,36263
410,36263
411,36263
412,36263
413,36263
414,36263
415,36263
416,36263
417,36263
418,36263
419,36263
420,36977
421,37691
422,38048
423,38405
424,38405
425,38405
426,38405
427,38762
428,38804
429,38804
430,38804
431,38804
432,38804
433,40186
434,40186
435,40186
437,40186
438,40186
439,40228
440,40228
441,40228
442,40228
443,40228
444,40228
445,40228
446,40228
447,40228
448,40228
449,40228
450,41365
451,41365
452,41365
453,41365
454,41365
455,41365
456,41365
457,41365
458,41365
459,41365
460,41365
461,41365
463,41365
464,41365
465,41365
466,41365
467,41365
468,41365
469,41365
470,41365
471,41365
472,41365
473,41365
474,41365
475,41365
476,41365
477,41365
478,41365
479,41365
480,42436
481,42793
482,43150
483,43507
484,43507
485,43507
486,43507
487,43864
488,43864
490,43864
491,43864
492,43864
493,43864
494,44221
495,44221
496,44221
497,44221
498,44221
499,44263
500,44263
501,44263
502,44263
503,44263
504,44263
505,44263
506,44263
507,45711
508,45711
509,45711
510,45765
511,45765
512,46122
513,46188
514,46188
516,46188
517,46188
518,46188
519,46188
520,46188
521,46188
522,46188
523,46188
524,46188
525,46188
526,46188
527,46188
528,46188
529,46188
530,46188
531,46188
532,46188
533,46188
534,46188
535,46188
536,46188
537,46188
538,46188
539,46188
540,47259
542,47973
543,47973
544,48330
545,48330
546,48330
547,48687
548,48687
549,48687
550,48687
551,48687
552,48687
553,48687
554,49044
555,49044
556,49044
557,49044
558,49044
559,49044
560,49044
561,49044
562,49044
563,49044
564,49044
565,49044
566,49401
567,49401
569,49401
570,49401
571,49615
572,49805
573,50442
574,51036
575,51036
576,51036
577,51036
578,51078
579,51078
580,51078
581,51078
582,51078
583,51078
584,51078
585,51078
586,51078
587,51078
588,51078
589,51078
590,51078
591,51078
592,51078
593,51078
594,51435
596,51435
597,51435
598,51435
599,51435
600,52638
601,52638
602,52638
603,52638
604,52638
605,52638
606,52638
607,52638
608,52638
609,52638
610,52638
611,52638
612,52638
613,52638
614,52638
615,52638
616,52638
617,52638
618,52638
619,52638
620,52638
622,52638
623,52638
624,52638
625,52638
626,52638
627,52638
628,52638
629,52638
630,52995
631,54066
632,54423
633,54423
634,54780
635,54780
636,54780
637,55137
638,55137
639,55137
640,55137
641,55137
642,55137
643,55494
644,55494
645,55494
646,55494
648,55494
649,55494
650,55494
651,55494
652,55494
653,55494
654,55494
655,55494
656,55494
657,55851
658,55851
659,55851
660,56631
661,57345
662,57744
663,59126
664,59126
665,59126
666,59126
667,59126
668,59126
669,59126
670,59126
671,59126
672,59126
673,59126
675,59126
676,59126
677,59126
678,59126
679,59126
680,59126
681,59126
682,59126
683,59126
684,59483
685,59483
686,59483
687,59483
688,59483
689,59483
690,60554
691,60911
692,61268
693,61625
694,61625
695,61625
696,61625
697,61982
698,61982
699,61982
701,61982
702,61982
703,61982
704,62339
705,62339
706,62339
707,62339
708,62339
709,62339
710,62339
711,62339
712,62339
713,62339
714,62339
715,62339
716,62339
717,62696
718,62696
719,62696
720,62836
721,62910
722,62952
723,63713
724,63713
725,63713
726,63713
728,63713
729,63713
730,63713
731,63713
732,63713
733,63713
734,63713
735,63713
736,63713
737,63713
738,63713
739,63713
740,63713
741,63713
742,63713
743,64070
744,64070
745,64070
746,64070
747,64070
748,64070
749,64070
750,65138
751,65850
752,65850
754,66206
755,66206
756,66206
757,66562
758,66562
759,66562
760,66562
761,66562
762,66562
763,66562
764,66918
765,66918
766,66918
767,66918
768,66918
769,66918
770,66918
771,66918
772,66918
773,66918
774,66918
775,66918
776,67274
777,67274
778,67274
779,67274
781,67488
782,67678
783,67678
784,69040
785,69040
786,69040
787,69040
788,69040
789,69040
790,69040
791,69040
792,69040
793,69040
794,69040
795,69040
796,69040
797,69040
798,69040
799,69040
800,69040
801,69040
802,69040
803,69040
804,69040
805,69396
807,69396
808,69396
809,69396
810,69396
811,70824
812,71181
813,71181
814,71538
815,71538
816,71538
817,71895
818,71895
819,71895
820,71895
821,71895
822,71895
823,72252
824,72252
825,72252
826,72252
827,72252
828,72252
829,72252
830,72252
831,72252
832,72252
834,72252
835,72252
836,72252
837,72609
838,72609
839,72609
840,73032
841,74103
842,74502
843,74502
844,75818
845,75818
846,75818
847,75818
848,75818
849,75818
850,75818
851,75818
852,75818
853,75818
854,75818
855,75818
856,75818
857,75818
858,75818
860,75818
861,75818
862,75818
863,75818
864,75818
865,76175
866,76175
867,76175
868,76175
869,76175
870,76887
871,77599
872,77955
873,78311
874,78311
875,78311
876,78311
877,78667
878,78667
879,78667
880,78667
881,78667
882,78667
883,79023
884,79023
885,79023
887,79023
888,79023
889,79023
890,79023
891,79023
892,79023
893,79023
894,79023
895,79023
896,79023
897,79379
898,79379
899,79379
900,79519
901,79593
902,79635
903,80989
904,80989
905,80989
906,80989
907,80989
908,80989
909,80989
910,80989
911,80989
913,80989
914,80989
915,80989
916,80989
917,80989
918,80989
919,80989
920,80989
921,80989
922,80989
923,80989
924,81345
925,81345
926,81345
927,81345
928,81345
929,81345
930,82416
931,82773
932,83130
933,83487
934,83487
935,83487
