time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
14,0
15,0
16,0
17,0
18,0
19,60
20,60
21,120
22,120
23,120
24,120
25,120
26,180
27,420
28,420
29,420
30,55028
31,55162
32,55162
33,55222
34,55222
35,55222
36,55222
37,55222
38,55222
40,55222
41,55222
42,55222
43,55222
44,55222
45,55222
46,55222
47,55222
48,55222
49,55222
50,55222
51,55222
52,55222
53,55222
54,55222
55,55222
56,55222
57,55222
58,55222
59,55222
60,55222
61,55222
62,55222
63,55222
64,55222
65,55282
67,130227
68,130227
69,130227
70,130227
71,130227
72,130227
73,130227
74,130227
75,130227
76,130227
77,130227
78,130227
79,130227
80,130227
81,130227
82,130227
83,130227
84,130227
85,130227
86,130227
87,130227
88,130227
89,130549
90,223514
91,223574
93,223574
94,223634
95,223634
96,223766
97,223766
98,223766
99,223766
100,223766
101,223766
102,223766
103,223766
104,223766
105,223766
106,223766
107,223766
108,223766
109,223766
110,223766
111,223766
112,223766
113,223766
114,223766
115,223766
116,223766
117,223766
118,223766
120,223766
121,223766
122,223766
123,223766
124,223766
125,223766
126,223826
127,334496
128,334496
129,334496
130,334496
131,334496
132,334496
133,334496
134,334496
135,334496
136,334496
137,334496
138,334496
139,334496
140,334496
141,334496
142,334496
143,334496
144,334496
146,334496
147,334496
148,334496
149,334496
150,334944
151,484052
152,484112
153,484172
154,484172
155,484172
156,484172
157,484172
158,484172
159,484172
160,484172
161,484172
162,484172
163,484172
164,484172
165,484172
166,484172
167,484172
168,484172
169,484172
170,484172
172,484172
173,484172
174,484172
175,484172
176,484172
177,484172
178,484172
179,484172
180,484172
181,484172
182,484172
183,484172
184,484172
185,484172
186,484172
187,484172
188,484232
189,484232
190,484232
191,484232
192,484232
193,577001
194,577001
195,577001
196,577001
197,577001
199,577061
200,577061
201,577061
202,577061
203,577061
204,577061
205,577061
206,577061
207,577061
208,577061
209,577061
210,710065
211,710185
212,710185
213,710245
214,710245
215,710245
216,710245
217,710245
218,710245
219,710245
220,710245
221,710245
222,710245
223,710245
225,710245
226,710245
227,710245
228,710245
229,710245
230,710245
231,710245
232,710245
233,710245
234,710245
235,710245
236,710245
237,710245
238,710245
239,710245
240,710245
241,710245
242,710245
243,710245
244,710245
245,710245
246,710245
247,710305
248,710305
249,710305
251,710305
252,710305
253,710305
254,832493
255,832493
256,832493
257,832493
258,832493
259,832553
260,832553
261,832553
262,832553
263,832553
264,832553
265,832553
266,832553
267,832553
268,832553
269,832553
270,967597
271,967657
272,967657
273,967717
274,967717
275,967717
276,967717
278,967717
279,967717
280,967717
281,967717
282,967717
283,967717
284,967717
285,967717
286,967717
287,967717
288,967717
289,967717
290,967717
291,967717
292,967717
293,967717
294,967717
295,967717
296,967717
297,967717
298,967717
299,967717
300,967717
301,967717
302,967717
304,967717
305,967717
306,967717
307,967717
308,967717
309,967777
310,967777
311,967777
312,967777
313,967777
314,1060930
315,1060930
316,1060930
317,1060930
318,1060930
319,1060990
320,1060990
321,1060990
322,1060990
323,1060990
324,1060990
325,1060990
326,1060990
327,1060990
328,1060990
329,1061312
331,1170068
332,1170128
333,1170128
334,1170188
335,1170188
336,1170188
337,1170188
338,1170188
339,1170188
340,1170188
341,1170188
342,1170188
343,1170188
344,1170188
345,1170188
346,1170188
347,1170188
348,1170188
349,1170188
350,1170188
351,1170188
352,1170188
353,1170188
354,1170188
355,1170188
357,1170188
358,1170188
359,1170188
360,1170188
361,1170188
362,1170188
363,1170188
364,1170188
365,1170188
366,1170188
367,1170188
368,1170188
369,1170248
370,1170248
371,1170248
372,1170248
373,1185123
374,1357961
375,1357961
376,1357961
377,1357961
378,1357961
379,1358021
380,1358021
381,1358021
382,1358021
384,1358021
385,1358021
386,1358021
387,1358021
388,1358021
389,1358021
390,1536029
391,1536089
392,1536149
393,1536209
394,1536209
395,1536209
396,1536209
397,1536269
398,1536269
399,1536269
400,1536269
401,1536269
402,1536269
403,1536329
404,1536329
405,1536329
406,1536329
407,1536329
408,1536329
410,1536329
411,1536329
412,1536329
413,1536329
414,1536329
415,1536329
416,1536329
417,1536329
418,1536329
419,1536329
420,1536329
421,1536329
422,1536329
423,1536329
424,1536329
