time(s),total_tx(bytes)
0,0
1,462
2,462
3,462
4,462
5,462
6,582
8,582
9,582
10,582
11,582
12,582
13,582
14,582
15,582
16,582
17,582
18,582
19,582
20,582
21,582
22,582
23,582
24,582
25,582
26,582
27,582
28,582
29,582
30,582
32,582
33,582
34,582
35,582
36,582
37,582
38,582
39,582
40,582
41,582
42,582
43,582
44,582
45,582
46,582
47,582
48,582
49,582
50,582
51,582
52,582
53,582
54,582
55,582
57,582
58,582
59,582
60,582
61,582
62,582
63,582
64,582
65,582
66,582
67,714
68,714
69,714
70,714
71,714
72,834
73,834
74,834
75,834
76,834
77,834
78,834
79,834
80,834
82,834
83,834
84,834
85,834
86,834
87,834
88,834
89,834
90,834
91,834
92,834
93,834
94,834
95,834
96,834
97,834
98,834
99,834
100,834
101,834
102,834
103,834
104,834
106,834
107,834
108,834
109,834
110,834
111,834
112,834
113,834
114,834
115,834
116,834
117,834
118,834
119,834
120,834
121,834
122,834
123,834
124,834
125,834
126,834
127,834
128,834
129,834
131,834
132,834
133,834
134,834
135,834
136,834
137,834
138,834
139,834
140,834
141,834
142,834
143,834
144,834
145,834
146,834
147,834
148,834
149,834
150,834
151,834
152,834
153,834
154,834
156,834
157,834
158,834
159,834
160,834
161,834
162,834
163,834
164,834
165,834
166,834
167,834
168,834
169,834
170,834
171,834
172,834
173,834
174,834
175,834
176,834
177,834
178,834
180,834
181,834
182,834
183,834
184,834
185,834
186,834
187,834
188,834
189,834
190,834
191,834
192,834
193,834
194,834
195,834
196,834
197,834
198,834
199,834
200,834
201,834
202,834
203,834
205,834
206,834
207,834
208,834
209,834
210,834
211,834
212,834
213,834
214,834
215,834
216,834
217,834
218,834
219,834
220,834
221,834
222,834
223,834
224,834
225,834
226,834
227,834
229,834
230,834
231,834
232,834
233,834
234,834
235,834
236,834
237,834
238,834
239,834
240,834
241,834
242,834
243,834
244,834
245,834
246,834
247,834
248,834
249,834
250,834
251,834
252,834
254,834
255,834
256,834
257,834
258,834
259,834
260,834
261,834
262,834
263,834
264,834
265,834
266,834
267,834
268,834
269,834
270,834
271,834
272,834
273,834
274,834
275,834
276,834
278,834
279,834
280,834
281,834
282,834
283,834
284,834
285,834
286,834
287,834
288,834
289,834
290,834
291,834
292,834
293,834
294,834
295,834
296,834
297,834
298,834
299,834
300,834
301,834
303,834
304,834
305,834
306,834
307,834
308,834
309,834
310,834
311,834
312,834
313,834
314,834
315,834
316,834
317,834
318,834
319,834
320,834
321,834
322,834
323,834
324,834
325,834
326,834
328,834
329,834
330,834
331,834
332,834
333,834
334,834
335,834
336,834
337,834
338,834
339,834
340,834
341,834
342,834
343,834
344,834
345,834
346,834
347,834
348,834
349,834
350,834
352,834
353,834
354,834
355,834
356,834
357,834
358,834
359,834
360,834
361,834
362,834
363,834
364,834
365,834
366,834
367,834
368,834
369,834
370,834
371,834
372,834
373,834
374,834
375,834
377,834
378,834
379,834
380,834
381,834
382,834
383,834
384,834
385,834
386,834
387,834
388,834
389,834
390,834
391,834
392,834
393,834
394,834
395,834
396,834
397,834
398,834
399,834
401,834
402,834
403,834
404,834
405,834
406,834
407,834
408,834
409,834
410,834
411,834
412,834
413,834
414,834
415,834
416,834
417,834
418,834
419,834
420,834
421,834
422,834
423,834
424,834
426,834
427,834
428,834
429,834
430,834
431,834
432,834
433,834
434,834
435,834
436,834
437,834
438,834
439,834
440,834
441,834
442,834
443,834
444,834
445,834
446,834
447,834
448,834
449,834
451,834
452,834
453,834
454,834
455,834
456,834
457,834
458,834
459,834
460,834
461,834
462,834
463,834
464,834
465,834
466,834
467,834
468,834
469,834
470,834
471,834
472,834
473,834
475,834
476,834
477,834
478,834
479,834
480,834
481,834
482,834
483,834
484,834
485,834
486,834
487,834
488,834
489,834
490,834
491,834
492,834
493,834
494,834
495,834
496,834
497,834
498,834
500,834
501,834
502,834
503,834
504,834
505,834
506,834
507,834
508,834
509,834
510,834
511,834
512,834
513,834
514,834
515,834
516,834
517,834
518,834
519,834
520,834
521,834
522,834
524,834
525,834
526,834
527,834
528,834
529,834
530,834
531,834
532,834
533,834
534,834
535,834
536,834
537,834
538,834
539,834
540,834
541,834
542,834
543,834
544,834
545,834
546,834
547,834
549,834
550,834
551,834
552,834
553,834
554,834
555,834
556,834
557,834
558,834
559,834
560,834
561,834
562,834
563,834
564,834
565,834
566,834
567,834
568,834
569,834
570,834
571,834
573,834
574,834
575,834
576,834
577,834
578,834
579,834
580,834
581,834
582,834
583,834
584,834
585,834
586,834
587,834
588,834
589,834
590,834
591,834
592,834
593,834
594,834
595,834
596,834
598,834
599,834
600,834
601,834
602,834
603,834
604,834
605,834
606,834
607,834
608,834
609,834
610,834
611,834
612,834
613,834
614,834
615,834
616,834
617,834
618,834
619,834
620,834
622,834
623,834
624,834
625,834
626,834
627,834
628,834
629,834
630,834
631,834
632,834
633,834
634,834
635,834
636,834
637,834
638,834
639,834
640,834
641,834
642,834
643,834
644,834
645,834
647,834
648,834
649,834
650,834
651,834
652,834
653,834
654,834
655,834
656,834
657,834
658,834
659,834
660,834
661,834
662,834
663,834
664,834
665,834
666,834
667,834
668,834
669,834
670,834
672,834
673,834
674,834
675,834
676,834
677,834
678,834
679,834
680,834
681,834
682,834
683,834
684,834
685,834
686,834
687,834
688,834
689,834
690,834
691,834
692,834
693,834
694,834
696,834
697,834
698,834
699,834
700,834
701,834
702,834
703,834
704,834
705,834
706,834
707,834
708,834
709,834
710,834
711,834
712,834
713,834
714,834
715,834
716,834
717,834
718,834
