time(s),total_rx(bytes)
0,0
1,1072
2,1072
3,1072
4,1072
5,1072
7,1138
8,1138
9,1138
10,1666
11,1666
12,1732
13,1732
14,1732
15,1732
16,1732
17,1798
18,1798
19,1798
20,1798
21,1798
22,1864
23,1864
24,1864
25,1864
26,1972
27,1972
28,1972
29,1972
31,1972
32,2038
33,2038
34,2038
35,2038
36,2038
37,2104
38,2104
39,2104
40,2632
41,2632
42,2698
43,2698
44,2698
45,2698
46,2698
47,2764
48,2764
49,2764
50,2764
51,2872
52,2872
53,2872
54,2872
56,2872
57,2938
58,2938
59,2938
60,2938
61,2938
62,3004
63,3004
64,3004
65,3004
66,3004
67,3136
68,3136
69,3730
70,3730
71,3730
72,3796
73,3796
74,3796
75,3796
76,3862
77,3904
78,3904
80,3904
81,3904
82,3970
83,3970
84,3970
85,3970
86,3970
87,4036
88,4036
89,4036
90,4036
91,4036
92,4102
93,4102
94,4102
95,4102
96,4102
97,4168
98,4168
99,4168
100,4168
101,4276
102,4276
103,4276
105,4276
106,4276
107,4342
108,4342
109,4342
110,4342
111,4342
112,4408
113,4408
114,4408
115,4408
116,4408
117,4474
118,4474
119,4474
120,4474
121,4474
122,4540
123,4540
124,4540
125,4540
126,4648
127,4648
128,4648
130,6364
131,6364
132,6430
133,6430
134,6430
135,6430
136,6430
137,6496
138,6496
139,6496
140,6496
141,6496
142,6562
143,6562
144,6562
145,6562
146,6562
147,6628
148,6628
149,6628
150,6628
151,6736
152,6736
154,6736
155,6736
156,6736
157,6802
158,6802
159,6802
160,7330
161,7330
162,7396
163,7396
164,7396
165,7396
166,7396
167,7462
168,7462
169,7462
170,7462
171,7462
172,7528
173,7528
174,7528
175,7528
176,7636
177,7636
179,7636
180,7636
181,7636
182,7702
183,7702
184,7702
185,7702
186,7702
187,7768
188,7768
189,7768
190,8692
191,8692
192,8758
193,8758
194,8758
195,8758
196,8758
197,8824
198,8824
199,8824
200,8824
201,8932
203,8932
204,8932
205,8932
206,8932
207,8998
208,8998
209,8998
210,8998
211,8998
212,9064
213,9064
214,9064
215,9064
216,9064
217,9130
218,9130
219,10054
220,10054
221,10120
222,10120
223,10120
224,10120
225,10120
226,10228
228,10228
229,10228
230,10228
231,10228
232,10294
233,10294
234,10294
235,10294
236,10294
237,10360
238,10360
239,10360
240,10360
241,10360
242,10426
243,10426
244,10426
245,10426
246,10492
247,10492
248,10492
249,11020
250,11020
252,11086
253,11086
254,11086
255,11086
256,11086
257,11152
258,11152
259,11152
260,11152
261,11152
262,11260
263,11260
264,11260
265,11260
266,11260
267,11326
268,11326
269,11326
270,11326
271,11392
272,11392
273,11392
274,11392
275,11392
277,11458
278,11458
279,11458
280,12184
281,12184
282,12250
283,12250
284,12250
285,12250
286,12250
287,12316
288,12316
289,12316
290,12316
291,12316
292,12382
293,12382
294,12382
295,12382
296,12490
297,12490
298,12490
299,12490
301,12490
302,12556
303,12556
304,12556
305,12556
306,12556
307,12622
308,12622
309,12622
310,13414
311,13414
312,13480
313,13480
314,13480
315,13480
316,13480
317,13546
318,13546
319,13546
320,13546
321,13612
322,13612
323,13612
324,13612
326,13612
327,13678
328,13678
329,13678
330,13678
331,13678
332,13786
333,13786
334,13786
335,13786
336,13786
337,13852
338,13852
339,14776
340,14776
341,14776
342,14842
343,14842
344,14842
345,14842
346,14908
347,14908
348,14908
349,14908
351,14908
352,14974
353,14974
354,14974
355,14974
356,14974
357,15040
358,15040
359,15040
360,15040
361,15040
362,15106
363,15106
364,15106
365,15106
366,15106
367,15214
368,15214
369,15808
370,15808
371,15874
372,15874
373,15874
375,15874
376,15874
377,15940
378,15940
379,15940
380,15940
381,15940
382,16006
383,16006
384,16006
385,16006
386,16006
387,16072
388,16072
389,16072
390,16072
391,16072
392,16138
393,16138
394,16138
395,16138
396,16204
397,16204
398,16204
400,16732
401,16732
402,16840
403,16840
404,16840
405,16840
406,16840
407,16906
408,16906
409,16906
410,16906
411,16906
412,16972
413,16972
414,16972
415,16972
416,16972
417,17038
418,17038
419,17038
420,17038
421,17104
422,17104
423,17104
425,17104
426,17104
427,17170
428,17170
429,17170
430,17830
431,17830
432,17896
433,17896
434,17896
435,17938
436,17938
437,18004
438,18004
439,18004
440,18004
441,18004
442,18070
443,18070
444,18070
445,18070
446,18136
447,18136
449,18136
450,18136
451,18136
452,18202
453,18202
454,18202
455,18202
456,18202
457,18268
458,18268
459,18268
460,18862
461,18862
462,18928
463,18928
464,18928
465,18928
466,18928
467,19036
468,19036
469,19036
470,19036
471,19102
472,19102
474,19102
475,19102
476,19102
477,19168
478,19168
479,19168
480,19168
481,19168
482,19234
483,19234
484,19234
485,19234
486,19234
487,19300
488,19300
489,20158
490,20158
491,20158
492,20224
493,20224
494,20224
495,20224
496,20290
498,20290
499,20290
500,20290
501,20290
502,20398
503,20398
504,20398
505,20398
506,20398
507,20464
508,20464
509,20464
510,20464
511,20464
512,20530
513,20530
514,20530
515,20530
516,20530
517,20596
518,20596
519,21322
520,21322
521,21388
523,21388
524,21388
525,21388
526,21388
527,21454
528,21454
529,21454
530,21454
531,21454
532,21520
533,21520
534,21520
535,21520
536,21520
537,21628
538,21628
539,21628
540,21628
541,21628
542,21694
543,21694
544,21694
545,21694
546,21760
548,21760
549,21760
550,22552
551,22552
552,22618
553,22618
554,22618
555,22618
556,22618
557,22684
558,22684
559,22684
560,22684
561,22684
562,22750
563,22750
564,22750
565,22750
566,22816
567,22816
568,22816
569,22816
570,22816
572,22882
573,22924
574,22924
575,22924
576,22924
577,22990
578,22990
579,22990
580,23650
581,23650
582,23716
583,23716
584,23716
585,23716
586,23716
587,23782
588,23782
589,23782
590,23782
591,23848
592,23848
593,23848
594,23848
595,23848
597,23914
598,23914
599,23914
600,23914
601,23914
602,23980
603,23980
604,23980
605,23980
606,23980
607,24088
608,24088
609,24748
610,24748
611,24748
612,24814
613,24814
614,24814
615,24814
616,24880
617,24880
618,24880
619,24880
621,24880
622,24946
623,24946
624,24946
625,24946
626,24946
627,25012
628,25012
629,25012
630,25012
631,25012
632,25078
633,25078
634,25078
635,25078
636,25078
637,25144
638,25144
639,25804
640,25804
641,25870
642,25912
643,25912
644,25912
646,25912
647,25978
648,25978
649,25978
650,25978
651,25978
652,26044
653,26044
654,26044
655,26044
656,26044
657,26110
658,26110
659,26110
660,26110
661,26110
662,26176
663,26176
664,26176
665,26176
666,26242
667,26242
668,26242
669,26902
671,26902
