time(s),total_rx(bytes)
0,0
1,5049
2,5049
3,5049
4,5049
5,5049
6,5049
7,5049
8,5049
9,5049
10,5049
11,5049
12,6369
13,6369
14,6369
15,6369
16,6369
17,6369
18,6369
19,6369
20,6369
22,6369
23,6369
24,6369
25,6369
26,6369
27,6369
28,6369
29,6369
30,6369
31,6369
32,6369
33,6369
34,6369
35,6369
36,6369
37,6369
38,6369
39,6369
40,6369
41,6369
42,7557
43,7557
44,7557
46,7557
47,7557
48,7599
49,7599
50,7599
51,7599
52,7599
53,7599
54,7599
55,7599
56,7599
57,7599
58,7599
59,7599
60,7599
61,7599
62,7599
63,7599
64,7599
65,7599
66,7665
67,7665
68,7665
69,7665
71,7665
72,7665
73,8589
74,8589
75,8589
76,8589
77,8589
78,8631
79,8631
80,8631
81,8631
82,8631
83,8631
84,8631
85,8631
86,8631
87,8631
88,8631
89,8631
90,8631
91,8631
92,8631
93,8631
95,8631
96,8631
97,8631
98,8631
99,8631
100,8631
101,8631
102,9357
103,9555
104,9555
105,9555
106,9555
107,9597
108,9597
109,9597
110,9597
111,9597
112,9597
113,9597
114,9597
115,9597
116,9597
117,9597
118,9597
120,9597
121,9597
122,9597
123,9597
124,9597
125,9597
126,9597
127,9597
128,9597
129,9597
130,9597
131,9597
132,10851
133,10851
134,10851
135,10851
136,10851
137,10893
138,10893
139,10893
140,10893
141,10893
142,10893
143,10893
145,10893
146,10893
147,10893
148,10893
149,10893
150,10893
151,10893
152,10893
153,10893
154,10893
155,10893
156,10893
157,10893
158,10893
159,10893
160,10893
161,10893
162,12015
163,12015
164,12015
165,12015
166,12015
167,12057
169,12057
170,12057
171,12057
172,12057
173,12057
174,12057
175,12057
176,12057
177,12057
178,12057
179,12057
180,12057
181,12057
182,12057
183,12057
184,12057
185,12057
186,12057
187,12057
188,12057
189,12057
190,12057
191,12057
192,13113
194,13113
195,13113
196,13113
197,13113
198,13155
199,13155
200,13155
201,13155
202,13155
203,13155
204,13155
205,13155
206,13155
207,13155
208,13155
209,13155
210,13155
211,13155
212,13155
213,13155
214,13155
215,13155
216,13155
218,13155
219,13155
220,13155
221,13155
222,13155
223,14277
224,14277
225,14277
226,14277
227,14319
228,14319
229,14319
230,14319
231,14319
232,14319
233,14319
234,14319
235,14319
236,14319
237,14319
238,14319
239,14319
240,14319
241,14319
243,14319
244,14319
245,14319
246,14319
247,14319
248,14319
249,14319
250,14319
251,14319
252,15309
253,15309
254,15309
255,15309
256,15309
257,15351
258,15351
259,15351
260,15351
261,15351
262,15351
263,15351
264,15351
265,15351
267,15351
268,15351
269,15351
270,15351
271,15351
272,15351
273,15351
274,15351
275,15351
276,15351
277,15351
278,15351
279,15351
280,15351
281,15351
282,16803
283,16803
284,16803
285,16803
286,16803
287,16887
288,16887
289,16887
290,16887
292,16887
293,16887
294,16887
295,16887
296,16887
297,16887
298,16887
299,16887
300,16887
301,16887
302,16887
303,16887
304,16887
305,16887
306,16887
307,16887
308,16887
309,16887
310,16887
311,16887
312,18207
313,18207
314,18207
315,18207
317,18207
318,18249
319,18249
320,18249
321,18249
322,18249
323,18249
324,18249
325,18249
326,18249
327,18249
328,18249
329,18249
330,18249
331,18249
332,18249
333,18249
334,18249
335,18249
336,18249
337,18249
338,18249
339,18249
341,18249
342,18249
343,19635
344,19635
345,19635
346,19635
347,19635
348,19719
349,19719
350,19719
351,19719
352,19719
353,19719
354,19719
355,19719
356,19719
357,19719
358,19719
359,19719
360,19719
361,19719
362,19719
363,19719
364,19719
366,19719
367,19719
368,19719
369,19719
370,19719
371,19719
372,19719
373,21039
374,21039
375,21039
376,21039
377,21081
378,21081
379,21081
380,21081
381,21081
382,21081
383,21081
384,21081
385,21081
386,21081
387,21081
388,21081
389,21081
391,21081
392,21081
393,21081
394,21081
395,21081
396,21081
397,21081
398,21081
399,21081
400,21081
401,21081
402,22269
403,22269
404,22269
405,22269
406,22269
407,22353
408,22353
409,22353
410,22353
411,22353
412,22353
413,22353
415,22353
416,22353
417,22353
418,22353
419,22353
420,22353
421,22353
422,22353
423,22353
424,22353
425,22353
426,22353
427,22353
428,22353
429,22353
430,22353
431,22353
432,23607
433,23607
434,23607
435,23607
436,23607
437,23649
438,23649
440,23649
441,23649
442,23649
443,23649
444,23649
445,23649
446,23649
447,23649
448,23649
449,23649
450,23649
451,23649
452,23649
453,23649
454,23649
455,23649
456,23649
457,23649
458,23649
459,23649
460,23649
461,23649
462,25101
463,25101
465,25101
466,25101
467,25101
468,25185
469,25185
470,25185
471,25185
472,25185
473,25185
474,25185
475,25185
476,25185
477,25185
478,25185
479,25185
480,25185
481,25185
482,25185
483,25185
484,25185
485,25185
486,25185
487,25185
489,25185
490,25185
491,25185
492,25185
493,26439
494,26439
495,26439
496,26439
497,26439
498,26481
499,26481
500,26481
501,26481
502,26481
503,26481
504,26481
505,26481
506,26481
507,26481
508,26481
509,26481
510,26481
511,26481
512,26481
514,26481
515,26481
516,26481
517,26481
518,26481
519,26481
520,26481
521,26481
522,27537
523,27537
524,27537
525,27537
526,27537
527,27621
528,27621
529,27621
530,27621
531,27621
532,27621
533,27621
534,27621
535,27621
536,27621
537,27621
539,27621
540,27621
541,27621
542,27621
543,27621
544,27621
545,27621
546,27621
547,27621
548,27621
549,27621
550,27621
551,27621
552,28611
553,28611
554,28611
555,28611
556,28611
557,28611
558,28611
559,28611
560,28611
561,28611
563,28611
564,28611
565,28611
566,28611
567,28611
568,28611
569,28611
570,28611
571,28611
572,28611
573,28611
574,28611
575,28611
576,28611
577,28611
578,28611
579,28611
580,28611
581,28611
582,29931
583,29931
584,29931
585,29931
586,29931
588,29973
589,29973
590,29973
591,29973
592,29973
593,29973
594,29973
595,29973
596,29973
597,29973
598,29973
599,29973
600,29973
601,29973
602,29973
603,29973
604,29973
605,29973
606,29973
607,29973
608,29973
609,29973
610,29973
611,29973
613,31293
614,31293
615,31293
616,31293
617,31293
618,31293
619,31293
620,31293
621,31293
622,31293
623,31293
624,31293
625,31293
626,31293
627,31293
628,31293
629,31293
630,31293
631,31293
632,31293
633,31293
634,31293
635,31293
637,31293
638,31293
639,31293
640,31293
641,31293
642,31293
643,32283
644,32283
645,32283
646,32283
647,32283
648,32325
649,32325
650,32325
651,32325
652,32325
653,32325
654,32325
655,32325
656,32325
657,32325
658,32325
659,32325
660,32325
662,32325
663,32325
664,32325
665,32325
666,32325
667,32325
668,32325
669,32325
670,32325
671,32325
672,33117
673,33117
674,33117
675,33117
676,33117
677,33117
