time(s),total_tx(bytes)
0,0
1,935
2,935
3,935
4,935
5,935
7,1024
8,1024
9,1024
10,81470
11,81470
12,81559
13,81559
14,81559
15,81559
16,81559
17,81648
18,81648
19,81648
20,81648
21,81648
22,81737
23,81737
24,81737
25,81737
26,81886
27,81886
28,81886
29,81886
31,81886
32,81975
33,81975
34,81975
35,81975
36,81975
37,82064
38,82064
39,82064
40,181335
41,181335
42,181424
43,181424
44,181424
45,181424
46,181424
47,181513
48,181513
49,181513
50,181513
51,181662
52,181662
53,181662
54,181662
56,181662
57,181751
58,181751
59,181751
60,181751
61,181751
62,181840
63,181840
64,181840
65,181840
66,181840
67,182061
68,182061
69,300337
70,300337
71,300337
72,300426
73,300426
74,300426
75,300426
76,300515
77,300575
78,300575
80,300575
81,300575
82,300664
83,300664
84,300664
85,300664
86,300664
87,300753
88,300753
89,300753
90,300753
91,300753
92,300842
93,300842
94,300842
95,300842
96,300842
97,300931
98,300931
99,300931
100,300931
101,301080
102,301080
103,301080
105,301080
106,301080
107,301169
108,301169
109,301169
110,301169
111,301169
112,301258
113,301258
114,301258
115,301258
116,301258
117,301347
118,301347
119,301347
120,301347
121,301347
122,301436
123,301436
124,301436
125,301436
126,301585
127,301585
128,301585
130,624863
131,624863
132,624952
133,624952
134,624952
135,624952
136,624952
137,625041
138,625041
139,625041
140,625041
141,625041
142,625130
143,625130
144,625130
145,625130
146,625130
147,625219
148,625219
149,625219
150,625219
151,625368
152,625368
154,625368
155,625368
156,625368
157,625457
158,625457
159,625457
160,725036
161,725036
162,725125
163,725125
164,725125
165,725125
166,725125
167,725214
168,725214
169,725214
170,725214
171,725214
172,725303
173,725303
174,725303
175,725303
176,725452
177,725452
179,725452
180,725452
181,725452
182,725541
183,725541
184,725541
185,725541
186,725541
187,725630
188,725630
189,725630
190,886631
191,886631
192,886720
193,886720
194,886720
195,886720
196,886720
197,886809
198,886809
199,886809
200,886809
201,886958
203,886958
204,886958
205,886958
206,886958
207,887047
208,887047
209,887047
210,887047
211,887047
212,887136
213,887136
214,887136
215,887136
216,887136
217,887225
218,887225
219,1075644
220,1075644
221,1075733
222,1075733
223,1075733
224,1075733
225,1075733
226,1075882
228,1075882
229,1075882
230,1075882
231,1075882
232,1075971
233,1075971
234,1075971
235,1075971
236,1075971
237,1076060
238,1076060
239,1076060
240,1076060
241,1076060
242,1076149
243,1076149
244,1076149
245,1076149
246,1076238
247,1076238
248,1076238
249,1182940
250,1182940
252,1183029
253,1183029
254,1183029
255,1183029
256,1183029
257,1183118
258,1183118
259,1183118
260,1183118
261,1183118
262,1183267
263,1183267
264,1183267
265,1183267
266,1183267
267,1183356
268,1183356
269,1183356
270,1183356
271,1183445
272,1183445
273,1183445
274,1183445
275,1183445
277,1183534
278,1183534
279,1183534
280,1324361
281,1324361
282,1324450
283,1324450
284,1324450
285,1324450
286,1324450
287,1324539
288,1324539
289,1324539
290,1324539
291,1324539
292,1324628
293,1324628
294,1324628
295,1324628
296,1324777
297,1324777
298,1324777
299,1324777
301,1324777
302,1324866
303,1324866
304,1324866
305,1324866
306,1324866
307,1324955
308,1324955
309,1324955
310,1476043
311,1476043
312,1476132
313,1476132
314,1476132
315,1476132
316,1476132
317,1476221
318,1476221
319,1476221
320,1476221
321,1476310
322,1476310
323,1476310
324,1476310
326,1476310
327,1476399
328,1476399
329,1476399
330,1476399
331,1476399
332,1476548
333,1476548
334,1476548
335,1476548
336,1476548
337,1476637
338,1476637
339,1662043
340,1662043
341,1662043
342,1662132
343,1662132
344,1662132
345,1662132
346,1662221
347,1662221
348,1662221
349,1662221
351,1662221
352,1662310
353,1662310
354,1662310
355,1662310
356,1662310
357,1662399
358,1662399
359,1662399
360,1662399
361,1662399
362,1662488
363,1662488
364,1662488
365,1662488
366,1662488
367,1662637
368,1662637
369,1777573
370,1777573
371,1777662
372,1777662
373,1777662
375,1777662
376,1777662
377,1777751
378,1777751
379,1777751
380,1777751
381,1777751
382,1777840
383,1777840
384,1777840
385,1777840
386,1777840
387,1777929
388,1777929
389,1777929
390,1777929
391,1777929
392,1778018
393,1778018
394,1778018
395,1778018
396,1778107
397,1778107
398,1778107
400,1887853
401,1887853
402,1888002
403,1888002
404,1888002
405,1888002
406,1888002
407,1888091
408,1888091
409,1888091
410,1888091
411,1888091
412,1888180
413,1888180
414,1888180
415,1888180
416,1888180
417,1888269
418,1888269
419,1888269
420,1888269
421,1888358
422,1888358
423,1888358
425,1888358
426,1888358
427,1888447
428,1888447
429,1888447
430,2024965
431,2024965
432,2025054
433,2025054
434,2025054
435,2025114
436,2025114
437,2025203
438,2025203
439,2025203
440,2025203
441,2025203
442,2025292
443,2025292
444,2025292
445,2025292
446,2025381
447,2025381
449,2025381
450,2025381
451,2025381
452,2025470
453,2025470
454,2025470
455,2025470
456,2025470
457,2025559
458,2025559
459,2025559
460,2137012
461,2137012
462,2137101
463,2137101
464,2137101
465,2137101
466,2137101
467,2137250
468,2137250
469,2137250
470,2137250
471,2137339
472,2137339
474,2137339
475,2137339
476,2137339
477,2137428
478,2137428
479,2137428
480,2137428
481,2137428
482,2137517
483,2137517
484,2137517
485,2137517
486,2137517
487,2137606
488,2137606
489,2291258
490,2291258
491,2291258
492,2291347
493,2291347
494,2291347
495,2291347
496,2291436
498,2291436
499,2291436
500,2291436
501,2291436
502,2291585
503,2291585
504,2291585
505,2291585
506,2291585
507,2291674
