time(s),total_tx(bytes)
0,0
1,839069
2,839069
3,839069
4,839069
5,839069
6,839069
7,839069
8,839069
9,839069
10,839069
11,839069
12,1118263
13,1118263
14,1118263
15,1118263
16,1118263
17,1118263
18,1118263
19,1118263
20,1118263
22,1118263
23,1118263
24,1118263
25,1118263
26,1118263
27,1118263
28,1118263
29,1118263
30,1118263
31,1118263
32,1118263
33,1118263
34,1118263
35,1118263
36,1118263
37,1118263
38,1118263
39,1118263
40,1118263
41,1118263
42,1402827
43,1402827
44,1402827
46,1402827
47,1402827
48,1402887
49,1402887
50,1402887
51,1402887
52,1402887
53,1402887
54,1402887
55,1402887
56,1402887
57,1402887
58,1402887
59,1402887
60,1402887
61,1402887
62,1402887
63,1402887
64,1402887
65,1402887
66,1403019
67,1403019
68,1403019
69,1403019
71,1403019
72,1403019
73,1555869
74,1555869
75,1555869
76,1555869
77,1555869
78,1555929
79,1555929
80,1555929
81,1555929
82,1555929
83,1555929
84,1555929
85,1555929
86,1555929
87,1555929
88,1555929
89,1555929
90,1555929
91,1555929
92,1555929
93,1555929
95,1555929
96,1555929
97,1555929
98,1555929
99,1555929
100,1555929
101,1555929
102,1708344
103,1756792
104,1756792
105,1756792
106,1756792
107,1756852
108,1756852
109,1756852
110,1756852
111,1756852
112,1756852
113,1756852
114,1756852
115,1756852
116,1756852
117,1756852
118,1756852
120,1756852
121,1756852
122,1756852
123,1756852
124,1756852
125,1756852
126,1756852
127,1756852
128,1756852
129,1756852
130,1756852
131,1756852
132,2002864
133,2002864
134,2002864
135,2002864
136,2002864
137,2002924
138,2002924
139,2002924
140,2002924
141,2002924
142,2002924
143,2002924
145,2002924
146,2002924
147,2002924
148,2002924
149,2002924
150,2002924
151,2002924
152,2002924
153,2002924
154,2002924
155,2002924
156,2002924
157,2002924
158,2002924
159,2002924
160,2002924
161,2002924
162,2228381
163,2228381
164,2228381
165,2228381
166,2228381
167,2228441
169,2228441
170,2228441
171,2228441
172,2228441
173,2228441
174,2228441
175,2228441
176,2228441
177,2228441
178,2228441
179,2228441
180,2228441
181,2228441
182,2228441
183,2228441
184,2228441
185,2228441
186,2228441
187,2228441
188,2228441
189,2228441
190,2228441
191,2228441
192,2436887
194,2436887
195,2436887
196,2436887
197,2436887
198,2436947
199,2436947
200,2436947
201,2436947
202,2436947
203,2436947
204,2436947
205,2436947
206,2436947
207,2436947
208,2436947
209,2436947
210,2436947
211,2436947
212,2436947
213,2436947
214,2436947
215,2436947
216,2436947
218,2436947
219,2436947
220,2436947
221,2436947
222,2436947
223,2651354
224,2651354
225,2651354
226,2651354
227,2651414
228,2651414
229,2651414
230,2651414
231,2651414
232,2651414
233,2651414
234,2651414
235,2651414
236,2651414
237,2651414
238,2651414
239,2651414
240,2651414
241,2651414
243,2651414
244,2651414
245,2651414
246,2651414
247,2651414
248,2651414
249,2651414
250,2651414
251,2651414
252,2856452
253,2856452
254,2856452
255,2856452
256,2856452
257,2856512
258,2856512
259,2856512
260,2856512
261,2856512
262,2856512
263,2856512
264,2856512
265,2856512
267,2856512
268,2856512
269,2856512
270,2856512
271,2856512
272,2856512
273,2856512
274,2856512
275,2856512
276,2856512
277,2856512
278,2856512
279,2856512
280,2856512
281,2856512
282,3150893
283,3150893
284,3150893
285,3150893
286,3150893
287,3151013
288,3151013
289,3151013
290,3151013
292,3151013
293,3151013
294,3151013
295,3151013
296,3151013
297,3151013
298,3151013
299,3151013
300,3151013
301,3151013
302,3151013
303,3151013
304,3151013
305,3151013
306,3151013
307,3151013
308,3151013
309,3151013
310,3151013
311,3151013
312,3387799
313,3387799
314,3387799
315,3387799
317,3387799
318,3387859
319,3387859
320,3387859
321,3387859
322,3387859
323,3387859
324,3387859
325,3387859
326,3387859
327,3387859
328,3387859
329,3387859
330,3387859
331,3387859
332,3387859
333,3387859
334,3387859
335,3387859
336,3387859
337,3387859
338,3387859
339,3387859
341,3387859
342,3387859
343,3718430
344,3718430
345,3718430
346,3718430
347,3718430
348,3718550
349,3718550
350,3718550
351,3718550
352,3718550
353,3718550
354,3718550
355,3718550
356,3718550
357,3718550
358,3718550
359,3718550
360,3718550
361,3718550
362,3718550
363,3718550
364,3718550
366,3718550
367,3718550
368,3718550
369,3718550
370,3718550
371,3718550
372,3718550
373,4017432
374,4017432
375,4017432
376,4017432
377,4017492
378,4017492
379,4017492
380,4017492
381,4017492
382,4017492
383,4017492
384,4017492
385,4017492
386,4017492
387,4017492
388,4017492
389,4017492
391,4017492
392,4017492
393,4017492
394,4017492
395,4017492
396,4017492
397,4017492
398,4017492
399,4017492
400,4017492
401,4017492
402,4275165
403,4275165
404,4275165
405,4275165
406,4275165
407,4275285
408,4275285
409,4275285
410,4275285
411,4275285
412,4275285
413,4275285
415,4275285
416,4275285
417,4275285
418,4275285
419,4275285
420,4275285
421,4275285
422,4275285
423,4275285
424,4275285
425,4275285
426,4275285
427,4275285
428,4275285
429,4275285
430,4275285
431,4275285
432,4538097
433,4538097
434,4538097
435,4538097
436,4538097
437,4538157
438,4538157
440,4538157
441,4538157
442,4538157
443,4538157
444,4538157
445,4538157
446,4538157
447,4538157
448,4538157
449,4538157
450,4538157
451,4538157
452,4538157
453,4538157
454,4538157
455,4538157
456,4538157
457,4538157
458,4538157
459,4538157
460,4538157
461,4538157
462,4855228
463,4855228
465,4855228
466,4855228
467,4855228
