time(s),total_rx(bytes)
0,0
1,346
2,560
3,560
4,774
5,774
6,816
7,882
8,1030
9,1030
10,1030
11,1030
12,1030
13,1030
14,1096
15,1096
16,1244
17,1244
18,1244
19,1244
20,1244
21,1244
22,1244
24,1244
25,1244
26,1244
27,1244
28,1310
29,1310
30,1310
31,1458
32,1606
33,1648
34,6169
35,6169
36,6169
37,6169
38,6169
39,6169
40,6169
41,6169
42,6169
43,6169
44,6169
45,6169
46,6169
47,6169
48,6169
50,6169
51,6169
52,6169
53,6169
54,6169
55,6235
56,6235
57,6235
58,6235
59,6235
60,6277
61,6277
62,7003
63,7003
64,7003
65,7003
66,7003
67,7003
68,7003
69,7003
70,7003
71,7003
72,7003
73,7003
74,7003
75,7003
77,7003
78,7003
79,7003
80,7003
81,7003
82,7003
83,7003
84,7003
85,7003
86,7003
87,7003
88,7003
89,7003
90,7003
91,7003
92,7795
93,7795
94,7795
95,7795
96,7795
97,7837
98,7837
99,7903
100,7903
101,7903
103,7903
104,7903
105,7903
106,7903
107,7903
108,7903
109,7903
110,7903
111,7903
112,7903
113,7903
114,7903
115,7903
116,7903
117,7903
118,7903
119,7903
120,7903
121,7903
122,8629
123,8629
124,8629
125,8629
126,8629
127,8671
128,8671
130,8671
131,8671
132,8671
133,8671
134,8671
135,8671
136,8671
137,8671
138,8671
139,8671
140,8671
141,8671
142,8671
143,8671
144,8671
145,8671
146,8671
147,8671
148,8671
149,8671
150,8671
151,8671
152,9661
153,9661
154,9661
156,9661
157,9661
158,9745
159,9745
160,9745
161,9745
162,9745
163,9745
164,9745
165,9745
166,9745
167,9745
168,9745
169,9745
170,9745
171,9745
172,9745
173,9745
174,9745
175,9745
176,9745
177,9745
178,9745
179,9745
180,9745
181,9745
183,10537
184,10537
185,10537
186,10537
187,10537
188,10579
189,10579
190,10579
191,10579
192,10579
193,10579
194,10579
195,10579
196,10579
197,10579
198,10579
199,10579
200,10579
201,10579
202,10579
203,10579
204,10579
205,10579
206,10579
207,10579
209,10579
210,10579
211,10579
212,10645
213,11239
214,11239
215,11239
216,11239
217,11281
218,11323
219,11323
220,11323
221,11323
222,11323
223,11323
224,11323
225,11323
226,11323
227,11323
228,11323
229,11323
230,11323
231,11323
232,11323
233,11323
235,11323
236,11323
237,11323
238,11323
239,11431
240,11539
241,11539
242,12175
243,12175
244,12217
245,12217
246,12325
247,12325
248,12325
249,12325
250,12325
251,12367
252,12367
253,12367
254,12475
255,12475
256,12475
257,12475
258,12475
259,12475
260,12475
262,12475
263,12475
264,12475
265,12475
266,12475
267,12475
268,12475
269,12583
270,12691
271,12691
272,13657
273,13657
274,13699
275,13699
276,13807
277,13807
278,13807
279,13807
280,13807
281,13807
282,13807
283,13807
284,13807
285,13807
286,13807
288,13807
289,13807
290,13807
291,13807
292,13807
293,13807
294,13807
295,13807
296,13807
297,13807
298,13807
299,13807
300,13807
301,13807
302,13807
303,13807
304,13807
305,13807
306,13807
307,13807
308,13807
309,13807
310,13807
311,13807
312,13807
313,13807
315,13807
316,13807
317,13807
318,13807
319,13807
320,13807
321,13807
322,13807
323,13807
324,13807
325,13807
326,13807
327,13807
328,13807
329,13807
330,13807
331,13807
332,13807
333,13807
334,13807
335,13807
336,13807
337,13807
338,13807
339,13807
341,13807
342,13807
343,13807
344,13807
345,13807
346,13807
347,13807
348,13807
349,13807
350,13807
351,13807
352,13807
353,13807
354,13807
355,13807
356,13807
357,13807
358,13807
359,13807
360,13807
361,13807
362,13807
363,13807
364,13807
365,13807
367,13807
368,13807
369,13807
370,13807
371,13807
372,13807
373,13807
374,13807
375,13807
376,13807
377,13807
378,13807
379,13807
380,13807
381,13807
382,13807
383,13807
384,13807
385,13807
386,13807
387,13807
388,13807
389,13807
390,13807
391,13807
392,13807
394,13807
395,13807
396,13807
397,13807
398,13807
399,13807
400,13807
401,13807
402,13807
403,13807
404,13807
405,13807
406,13807
407,13807
408,13807
409,13807
410,13807
411,13807
412,13807
413,13807
414,13807
415,13807
416,13807
417,13807
418,13807
420,13807
421,13807
422,13807
423,13807
424,13807
425,13807
426,13807
427,13807
428,13807
429,13807
430,13807
431,13807
432,13807
433,13807
434,13807
435,13807
