time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,60
7,60
8,60
9,60
10,60
11,60
12,60
13,60
14,60
15,60
16,60
17,60
18,60
19,60
20,60
21,60
22,60
24,60
25,60
26,60
27,60
28,60
29,60
30,60
31,60
32,60
33,120
34,751615
35,751615
36,751615
37,751615
38,751615
39,751615
40,751615
41,751615
42,751615
43,751615
44,751615
45,751615
46,751615
47,751615
48,751615
50,751615
51,751615
52,751615
53,751615
54,751615
55,751675
56,751675
57,751675
58,751675
59,751675
60,751735
61,751735
62,896253
63,896253
64,896253
65,896253
66,896253
67,896253
68,896253
69,896253
70,896253
71,896253
72,896253
73,896253
74,896253
75,896253
77,896253
78,896253
79,896253
80,896253
81,896253
82,896253
83,896253
84,896253
85,896253
86,896253
87,896253
88,896253
89,896253
90,896253
91,896253
92,1019897
93,1019897
94,1019897
95,1019897
96,1019897
97,1019957
98,1019957
99,1020089
100,1020089
101,1020089
103,1020089
104,1020089
105,1020089
106,1020089
107,1020089
108,1020089
109,1020089
110,1020089
111,1020089
112,1020089
113,1020089
114,1020089
115,1020089
116,1020089
117,1020089
118,1020089
119,1020089
120,1020089
121,1020089
122,1164873
123,1164873
124,1164873
125,1164873
126,1164873
127,1164933
128,1164933
130,1164933
131,1164933
132,1164933
133,1164933
134,1164933
135,1164933
136,1164933
137,1164933
138,1164933
139,1164933
140,1164933
141,1164933
142,1164933
143,1164933
144,1164933
145,1164933
146,1164933
147,1164933
148,1164933
149,1164933
150,1164933
151,1164933
152,1327206
153,1327206
154,1327206
156,1327206
157,1327206
158,1327326
159,1327326
160,1327326
161,1327326
162,1327326
163,1327326
164,1327326
165,1327326
166,1327326
167,1327326
168,1327326
169,1327326
170,1327326
171,1327326
172,1327326
173,1327326
174,1327326
175,1327326
176,1327326
177,1327326
178,1327326
179,1327326
180,1327326
181,1327326
183,1453970
184,1453970
185,1453970
186,1453970
187,1453970
188,1454030
189,1454030
190,1454030
191,1454030
192,1454030
193,1454030
194,1454030
195,1454030
196,1454030
197,1454030
198,1454030
199,1454030
200,1454030
201,1454030
202,1454030
203,1454030
204,1454030
205,1454030
206,1454030
207,1454030
209,1454030
210,1454030
211,1454030
212,1454119
213,1516175
214,1516175
215,1516175
216,1516175
217,1516235
218,1516295
219,1516295
220,1516295
221,1516295
222,1516295
223,1516295
224,1516295
225,1516295
226,1516295
227,1516295
228,1516295
229,1516295
230,1516295
231,1516295
232,1516295
233,1516295
235,1516295
236,1516295
237,1516295
238,1516295
239,1516443
240,1516591
241,1516591
242,1593870
243,1593870
244,1593930
245,1593930
246,1594078
247,1594078
248,1594078
249,1594078
250,1594078
251,1594138
252,1594138
253,1594138
254,1594286
255,1594286
256,1594286
257,1594286
258,1594286
259,1594286
260,1594286
262,1594286
263,1594286
264,1594286
265,1594286
266,1594286
267,1594286
268,1594286
269,1594434
270,1594582
271,1594582
272,1731269
273,1731269
274,1731329
275,1731329
276,1731477
277,1731477
278,1731477
279,1731477
280,1731477
281,1731477
282,1731477
283,1731477
284,1731477
285,1731477
286,1731477
288,1731477
289,1731477
290,1731477
291,1731477
292,1731477
293,1731477
294,1731477
295,1731477
296,1731477
297,1731477
298,1731477
299,1731477
300,1731477
301,1731477
302,1731477
303,1731477
304,1731477
305,1731477
306,1731477
307,1731477
308,1731477
309,1731477
310,1731477
311,1731477
312,1731477
313,1731477
315,1731477
316,1731477
317,1731477
318,1731477
319,1731477
320,1731477
321,1731477
322,1731477
323,1731477
324,1731477
325,1731477
326,1731477
327,1731477
328,1731477
329,1731477
330,1731477
331,1731477
332,1731477
333,1731477
334,1731477
335,1731477
336,1731477
337,1731477
338,1731477
339,1731477
341,1731477
342,1731477
343,1731477
344,1731477
345,1731477
346,1731477
347,1731477
348,1731477
349,1731477
350,1731477
351,1731477
352,1731477
353,1731477
354,1731477
355,1731477
356,1731477
357,1731477
358,1731477
359,1731477
360,1731477
361,1731477
362,1731477
363,1731477
364,1731477
365,1731477
367,1731477
368,1731477
369,1731477
370,1731477
371,1731477
372,1731477
373,1731477
374,1731477
375,1731477
376,1731477
377,1731477
378,1731477
379,1731477
380,1731477
381,1731477
382,1731477
383,1731477
384,1731477
385,1731477
386,1731477
387,1731477
