time(s),total_rx(bytes)
0,0
1,272
2,412
3,412
4,552
6,552
7,552
8,618
9,692
10,692
11,692
12,692
13,692
14,758
15,758
16,758
17,832
18,832
19,832
20,832
21,832
22,832
23,832
24,832
25,832
26,832
27,898
28,898
29,898
30,898
32,972
33,1046
34,1046
35,1120
36,1120
37,1120
38,1120
39,1194
40,1236
41,1236
42,1236
43,1236
44,1236
45,1236
46,1236
47,1789
48,1789
49,1789
50,1789
51,1843
52,1843
53,1843
54,1843
55,1909
56,1909
57,1909
59,1909
60,1909
61,1909
62,2603
63,3297
64,3644
65,3991
66,3991
67,3991
68,3991
69,4338
70,4338
71,4338
72,4338
73,4338
74,4338
75,4685
76,4685
77,4685
78,4685
79,4685
80,4685
81,4685
82,4685
83,4685
85,4685
86,4685
87,4685
88,4685
89,5032
90,5032
91,5032
92,5032
93,5032
94,5032
95,5032
96,5032
97,5032
98,5032
99,5032
100,5032
101,5032
102,5032
103,5032
104,5032
105,5032
106,5032
107,5032
108,5032
109,5032
111,5032
112,5032
113,5032
114,5032
115,5032
116,5032
117,5379
118,5379
119,5379
120,5379
121,5379
122,5421
123,5421
124,5421
125,5421
126,5421
127,5421
128,5421
129,5421
130,5421
131,5421
132,5421
133,5421
134,5421
135,5421
136,5421
138,5421
139,5421
140,5421
141,5475
142,5475
143,5475
144,5475
145,5475
146,5517
147,5517
148,5517
149,5517
150,5517
151,5517
152,5517
153,5517
154,5517
155,5517
156,5517
157,5517
158,5517
159,5517
160,5517
161,5517
162,5517
163,5517
165,5517
166,5517
167,5517
168,5517
169,5517
170,5864
171,5864
172,5864
173,5864
174,5864
175,5906
176,5906
177,5906
178,5906
179,5906
180,5906
181,5906
182,5906
183,5906
184,5906
185,5906
186,5906
187,5906
188,5906
189,5906
191,5906
192,5906
193,5906
194,5906
195,5906
196,5906
197,5906
198,5906
199,5906
200,5906
201,5960
202,5960
203,5960
204,5960
205,5960
206,6002
207,6002
208,6002
209,6002
210,6002
211,6002
212,6002
213,6002
214,6002
215,6002
216,6002
218,6002
219,6002
220,6002
221,6002
222,6002
223,6002
224,6002
225,6002
226,6002
227,6002
228,6002
229,6002
230,6002
231,6002
232,6002
233,6002
234,6002
235,6002
236,6002
237,6002
238,6002
239,6002
240,6002
241,6216
242,6364
244,6364
245,6512
246,6512
247,6554
248,6554
249,7247
250,7247
251,7247
252,7247
253,7247
254,7289
255,7289
256,7289
257,7289
258,7289
259,7289
260,7289
261,7343
262,7343
263,7343
264,7343
265,7343
266,7343
267,7343
268,7343
269,7343
271,7343
272,8037
273,8731
274,9078
275,9425
276,9425
277,9425
278,9425
279,9772
280,9772
281,9772
282,9772
283,9772
284,9772
285,10119
286,10119
287,10119
288,10119
289,10119
290,10161
291,10215
292,10215
293,10215
294,10215
295,10215
297,10257
298,10257
299,11157
300,11157
301,11157
302,11157
303,11157
304,11157
305,11157
306,11157
307,11157
308,11157
309,11157
310,11157
311,11157
312,11157
313,11157
314,11157
315,11157
316,11157
317,11157
318,11157
319,11157
320,11157
321,11157
322,11157
324,11157
325,11157
326,11157
327,11157
328,11157
329,11157
330,11157
331,11157
332,12198
333,12545
334,12892
335,13239
336,13239
337,13281
338,13281
339,14181
340,14181
341,14181
342,14181
343,14223
344,14223
345,14223
346,14223
347,14223
348,14223
350,14223
351,14223
352,14277
353,14277
354,14277
355,14277
356,14277
357,14277
358,14277
359,14277
360,14277
361,14277
362,15318
363,16012
364,16012
365,16359
366,16359
367,16359
368,16706
369,16706
370,16706
371,16706
372,16706
373,16706
374,16706
375,17053
377,17053
378,17053
379,17053
380,17053
381,17149
382,17149
383,17149
384,17149
385,17149
386,17149
387,17149
388,17149
389,17496
390,17496
391,17496
392,17496
393,17496
394,17496
395,17496
396,17496
397,17496
398,17496
399,17496
400,17496
401,17496
403,17496
404,17496
405,17496
406,17496
407,17496
408,17496
409,17496
410,17496
411,17496
412,17496
413,17496
414,17496
415,17843
416,17843
417,17843
418,17843
419,17843
420,17885
421,17885
422,17885
423,17885
424,17885
425,17885
426,17885
427,17885
428,17885
430,17885
431,17885
432,17885
433,17885
434,17885
435,17885
436,17885
437,17885
438,17885
439,17885
440,17885
441,17939
442,17939
443,17939
444,17939
445,17939
446,17939
447,17939
448,17939
449,17939
450,17939
451,17939
452,17939
453,17939
454,17939
456,17939
457,17939
458,17939
459,17939
460,17939
461,17939
462,17939
463,17939
464,17939
465,17939
466,17939
467,17939
468,17939
469,18286
470,18286
471,18286
472,18286
473,18286
474,18328
475,18328
476,18328
477,18328
478,18328
479,18328
480,18328
481,18328
483,18328
484,18328
485,18328
486,18328
487,18328
488,18328
489,18328
490,18328
491,18328
492,18328
493,18328
494,18328
495,18328
496,18328
497,18328
498,18328
499,18328
500,18328
501,18328
502,18328
503,18328
504,18328
505,18328
506,18328
507,18328
508,18328
510,18328
511,18328
512,18328
513,18328
514,18328
515,18328
516,18328
517,18328
518,18328
519,18328
520,18328
521,18328
522,18328
523,18328
524,18328
525,18328
526,18328
527,18328
528,18328
529,18328
530,18328
531,18328
532,18328
533,18328
534,18328
536,18328
537,18328
538,18328
539,18328
540,18328
541,18328
542,19435
543,19782
544,20129
545,20476
546,20476
547,20518
548,20518
549,21418
550,21418
551,21418
552,21418
553,21418
554,21460
555,21460
556,21460
557,21460
558,21460
559,21460
560,21460
561,21514
563,21514
564,21514
565,21514
566,21514
567,21514
568,21514
569,21514
570,21514
571,21514
572,22555
573,22902
574,23249
575,23596
576,23596
577,23596
578,23943
579,23943
580,23943
581,23943
582,23943
583,23985
584,23985
585,24885
586,24885
587,24885
589,24885
590,24885
591,24927
592,24927
593,24927
594,24927
595,24927
596,24927
597,24981
598,24981
599,24981
600,24981
601,24981
602,25394
603,25394
604,25394
605,25394
606,25394
607,25394
608,25394
609,25394
610,25394
611,25394
612,25394
613,25394
614,25394
616,25394
617,25394
618,25394
619,25394
620,25394
621,25394
622,25394
623,25394
624,25394
625,25394
626,25394
627,25394
628,25394
629,25394
630,25394
631,25394
632,26782
633,27129
634,27129
635,27476
636,27476
637,27518
638,28418
639,28418
640,28418
642,28418
643,28418
644,28460
645,28460
646,28460
647,28460
648,28460
649,28460
650,28460
651,28460
652,28460
653,28460
654,28460
655,28460
656,28460
657,28514
658,28514
659,28514
660,28514
661,28514
662,28927
663,28927
664,28927
665,28927
666,28927
667,28927
669,28927
670,28927
671,28927
672,28927
673,28927
674,28927
675,28927
676,28927
677,28927
678,28927
679,28927
680,28927
681,28927
682,28927
683,28927
684,28927
685,28927
686,28927
687,28927
688,28927
689,28927
690,28927
691,29274
692,30315
693,30662
695,30662
696,31009
697,31051
698,31051
699,31951
700,31951
701,31951
702,31951
703,31951
704,31993
705,31993
706,31993
707,31993
708,31993
709,31993
710,31993
711,31993
712,31993
713,31993
714,31993
715,31993
716,31993
717,32047
718,32047
719,32047
720,32047
722,32460
723,32460
724,32460
725,32460
726,32460
727,32460
728,32460
729,32460
730,32460
731,32460
732,32460
733,32460
734,32460
735,32460
736,32460
737,32460
738,32460
739,32460
740,32460
741,32460
742,32460
743,32460
744,32460
745,32460
746,32460
747,32460
749,32460
750,32460
751,32460
752,33154
753,33848
754,34195
755,34542
756,34542
757,34584
758,34584
759,35484
760,35484
761,35484
762,35484
763,35484
764,35526
765,35526
766,35526
767,35526
768,35526
769,35526
770,35526
771,35526
772,35526
773,35526
775,35526
776,35526
777,35526
778,35580
779,35580
780,35580
781,35580
782,35993
783,35993
784,35993
785,35993
786,35993
787,35993
788,35993
789,35993
790,35993
791,35993
792,35993
793,35993
794,35993
795,35993
796,35993
797,35993
798,35993
