time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,46
41,46
42,46
43,46
44,46
45,46
46,46
47,466
48,466
49,466
50,466
51,866
52,958
53,958
54,1004
55,1050
56,1050
57,1050
59,1050
60,1050
61,1050
62,1050
63,1050
64,1050
65,1050
66,1050
67,1050
68,1050
69,1050
70,1050
71,1050
72,1050
73,1050
74,1050
75,1050
76,1050
77,1050
78,1050
79,1050
80,1050
81,1050
82,1050
83,1050
85,1050
86,1050
87,1050
88,1050
89,1050
90,1050
91,1050
92,1050
93,1050
94,1050
95,1050
96,1050
97,1050
98,1050
99,1050
100,1050
101,1050
102,1050
103,1050
104,1050
105,1050
106,1050
107,1050
108,1050
109,1050
111,1050
112,1050
113,1050
114,1050
115,1050
116,1050
117,1050
118,1050
119,1050
120,1050
121,1050
122,1096
123,1096
124,1096
125,1096
126,1096
127,1096
128,1096
129,1096
130,1096
131,1096
132,1096
133,1096
134,1096
135,1096
136,1096
138,1096
139,1096
140,1096
141,1404
142,1542
143,1588
144,1588
145,1634
146,1680
147,1680
148,1726
149,1726
150,1726
151,1726
152,1726
153,1726
154,1726
155,1726
156,1726
157,1726
158,1726
159,1726
160,1726
161,1726
162,1726
163,1726
165,1726
166,1726
167,1726
168,1726
169,1726
170,1726
171,1726
172,1726
173,1726
174,1726
175,1772
176,1772
177,1772
178,1772
179,1772
180,1772
181,1772
182,1772
183,1772
184,1772
185,1772
186,1772
187,1772
188,1772
189,1772
191,1772
192,1772
193,1772
194,1772
195,1772
196,1772
197,1772
198,1772
199,1772
200,1772
201,2126
202,2218
203,2264
204,2310
205,2310
206,2356
207,2356
208,2356
209,2356
210,2356
211,2356
212,2356
213,2356
214,2356
215,2356
216,2356
218,2356
219,2356
220,2356
221,2356
222,2356
223,2356
224,2356
225,2356
226,2356
227,2356
228,2356
229,2356
230,2356
231,2356
232,2356
233,2356
234,2356
235,2356
236,2356
237,2356
238,2356
239,2356
240,2356
241,2356
242,2356
244,2356
245,2356
246,2356
247,2402
248,2402
249,2882
250,2882
251,2882
252,2882
253,2882
254,2928
255,2928
256,2928
257,2928
258,2928
259,2928
260,2928
261,3328
262,3374
263,3420
264,3466
265,3466
266,3466
267,3466
268,3466
269,3466
271,3466
272,3466
273,3466
274,3466
275,3466
276,3466
277,3466
278,3466
279,3466
280,3466
281,3466
282,3466
283,3466
284,3466
285,3466
286,3466
287,3466
288,3466
289,3466
290,3512
291,3912
292,4004
293,4004
294,4050
295,4050
297,4096
298,4142
299,4608
300,4608
301,4608
302,4608
303,4608
304,4608
305,4608
306,4608
307,4608
308,4608
309,4608
310,4608
311,4608
312,4608
313,4608
314,4608
315,4608
316,4608
317,4608
318,4608
319,4608
320,4608
321,4608
322,4608
324,4608
325,4608
326,4608
327,4608
328,4608
329,4608
330,4608
331,4608
332,4608
333,4608
334,4608
335,4608
336,4608
337,4654
338,4654
339,5120
340,5120
341,5120
342,5120
343,5166
344,5166
345,5166
346,5166
347,5166
348,5166
350,5166
351,5166
352,5612
353,5658
354,5658
355,5704
356,5704
357,5704
358,5704
359,5704
360,5704
361,5704
362,5704
363,5704
364,5704
365,5704
366,5704
367,5704
368,5704
369,5704
370,5704
371,5704
372,5704
373,5704
374,5704
375,5704
377,5704
378,5704
379,5704
380,5704
381,6058
382,6196
383,6242
384,6242
385,6288
386,6288
387,6288
388,6288
389,6288
390,6288
391,6288
392,6288
393,6288
394,6288
395,6288
396,6288
397,6288
398,6288
399,6288
400,6288
401,6288
403,6288
404,6288
405,6288
406,6288
407,6288
408,6288
409,6288
410,6288
411,6288
412,6288
413,6288
414,6288
415,6288
416,6288
417,6288
418,6288
419,6288
420,6334
421,6334
422,6334
423,6334
424,6334
425,6334
426,6334
427,6334
428,6334
430,6334
431,6334
432,6334
433,6334
434,6334
435,6334
436,6334
437,6334
438,6334
439,6334
440,6334
441,6688
442,6780
443,6826
444,6872
445,6872
446,6872
447,6872
448,6872
449,6872
450,6872
451,6872
