time(s),total_tx(bytes)
0,0
1,0
2,3264
3,5132
4,7000
5,8401
6,9335
7,9802
9,10736
10,10736
11,10736
12,10736
13,10736
14,10736
15,10736
16,10736
17,10736
18,10736
19,10736
20,10736
21,10736
22,10736
23,10736
24,10736
25,10736
26,10736
27,10736
28,10736
29,10736
30,10736
31,10736
33,13860
34,16195
35,17596
36,18997
37,20398
38,20865
39,21332
40,21332
41,21332
42,21332
43,21332
44,21332
45,21332
46,21332
47,21332
48,21332
49,21332
50,21332
51,21332
52,21332
53,21332
54,21332
55,21332
56,21332
58,21332
59,21332
60,21332
61,21332
62,21332
63,24923
64,26791
65,28192
66,29593
67,30527
68,31461
69,31928
70,31928
71,31928
72,31928
73,31928
74,31928
75,31928
76,31928
77,31928
78,31928
79,31928
80,31928
81,31928
83,31928
84,31928
85,31928
86,31928
87,31928
88,31928
89,31928
90,31928
91,31928
92,32717
93,35986
94,37387
95,39255
96,40189
97,41123
98,42057
99,42524
100,42524
101,42524
103,42524
104,42524
105,42524
106,42524
107,42524
108,42524
109,42524
110,42524
111,42524
112,42524
113,42524
114,42524
115,42524
116,42524
117,42524
118,42524
119,42524
120,42524
121,42524
122,44714
123,47316
124,48717
125,50118
126,51052
128,51986
129,52920
130,53387
131,53387
132,53387
133,53387
134,53387
135,53387
136,53387
137,53387
138,53387
139,53387
140,53387
141,53387
142,53387
143,53387
144,53387
145,53387
146,53387
147,53387
148,53387
149,53387
150,53387
151,53387
153,56511
154,58379
155,59780
156,60714
157,62115
158,63049
159,63516
160,63983
161,63983
162,63983
163,63983
164,63983
165,63983
166,63983
167,63983
168,63983
169,63983
170,63983
171,63983
172,63983
173,63983
174,63983
175,63983
177,63983
178,63983
179,63983
180,63983
181,63983
182,63983
183,67574
184,68975
185,70376
186,71777
187,72711
188,73645
189,74112
190,74579
191,74579
192,74579
193,74579
194,74579
195,74579
196,74579
197,74579
198,74579
199,74579
200,74579
202,74579
203,74579
204,74579
205,74579
206,74579
207,74579
208,74579
209,74579
210,74579
211,74579
212,75835
213,78637
214,80038
215,81439
216,82373
217,83307
218,84241
219,85175
220,85175
222,85175
223,85175
224,85175
225,85175
226,85175
227,85175
228,85175
229,85175
230,85175
231,85175
232,85175
233,85175
234,85175
235,85175
236,85175
237,85175
238,85175
239,85175
240,85175
241,85175
242,87365
243,89700
244,91101
245,92629
247,93236
248,94170
249,95104
250,96038
251,96038
252,96038
253,96038
254,96038
255,96038
256,96038
257,96038
258,96038
259,96038
260,96038
261,96038
262,96038
263,96038
264,96038
265,96038
266,96038
267,96038
268,96038
270,96038
271,96038
272,96038
273,99162
274,101030
275,102431
276,103365
277,104299
278,105233
279,106167
280,106634
281,106634
282,106634
283,106634
284,106634
285,106634
286,106634
287,106634
288,106634
289,106634
290,106634
291,106634
292,106634
294,106634
295,106634
296,106634
297,106634
298,106634
299,106634
300,106634
301,106634
302,107423
303,110225
304,112093
305,113027
306,114428
307,115362
308,116296
309,116763
310,117230
311,117230
312,117230
313,117230
314,117230
315,117230
316,117230
317,117230
319,117230
320,117230
321,117230
322,117230
323,117230
324,117230
325,117230
326,117230
327,117230
328,117230
329,117230
330,117230
331,117230
332,118953
333,121288
334,122689
335,124090
336,125024
337,125958
338,126892
339,127826
340,127826
341,127826
343,127826
344,127826
345,127826
346,127826
347,127826
348,127826
349,127826
350,127826
351,127826
352,127826
353,127826
354,127826
355,127826
356,127826
357,127826
358,127826
359,127826
360,127826
361,127826
362,130016
363,132351
364,133752
365,134686
366,135620
368,136554
369,137488
370,138422
371,138422
372,138422
373,138422
374,138422
375,138422
376,138422
377,138422
378,138422
379,138422
380,138422
381,138422
382,138422
383,138422
384,138422
385,138422
386,138422
387,138422
388,138422
389,138422
390,138422
392,138422
393,141346
394,143214
395,144615
396,146016
397,146950
398,147884
399,148351
400,149285
401,149285
402,149285
403,149285
404,149285
405,149285
406,149285
407,149285
408,149285
409,149285
411,149285
412,149285
413,149285
414,149285
415,149285
416,149285
417,149285
418,149285
419,149285
420,149285
421,149285
422,150541
423,152876
424,154744
425,155678
426,157079
427,158013
428,158480
429,159414
431,159881
432,159881
433,159881
434,159881
435,159881
436,159881
437,159881
438,159881
439,159881
440,159881
441,159881
442,159881
443,159881
