time(s),total_rx(bytes)
0,0
1,74
2,495
3,495
4,569
5,569
6,569
7,569
8,643
9,990
10,990
11,990
12,990
13,1032
14,1032
15,1032
16,1585
17,1585
19,1585
20,1585
21,1585
22,1974
23,1974
24,1974
25,1974
26,1974
27,1974
28,1974
29,1974
30,1974
31,2387
32,2387
33,2387
34,2387
35,2387
36,2387
37,2441
38,2441
39,2441
40,2441
41,2441
42,2441
43,2441
45,2441
46,2441
47,2441
48,2441
49,2441
50,2441
51,2441
52,2441
53,2441
54,2441
55,2441
56,2441
57,2441
58,2441
59,2441
60,2441
61,3482
62,3829
63,4176
64,4523
65,4523
66,4619
67,5519
68,5519
69,5519
70,5519
72,5519
73,5519
74,5519
75,5519
76,5519
77,5519
78,5519
79,5519
80,5519
81,5519
82,5519
83,5519
84,5519
85,5519
86,5519
87,5519
88,5519
89,5519
90,5519
91,6560
92,7254
93,7254
94,7601
95,7601
96,7601
97,7948
99,7948
100,7948
101,7948
102,7948
103,7990
104,7990
105,8890
106,8890
107,8890
108,8890
109,8890
110,8932
111,8932
112,8932
113,8932
114,8932
115,8932
116,8932
117,8932
118,8932
119,8932
120,8932
121,9345
122,9345
123,9345
125,9345
126,9345
127,9399
128,9399
129,9399
130,9399
131,9399
132,9399
133,9399
134,9399
135,9399
136,9399
137,9399
138,9399
139,9399
140,9399
141,9399
142,9399
143,9399
144,9399
145,9399
146,9399
147,9399
148,9399
149,9399
151,9399
152,10787
153,11134
154,11134
155,11481
156,11481
157,11523
158,12423
159,12423
160,12423
161,12423
162,12423
163,12477
164,12477
165,12477
166,12477
167,12477
168,12477
169,12477
170,12477
171,12477
172,12477
173,12477
174,12477
175,12477
176,12477
178,12477
179,12477
180,12477
181,12824
182,13865
183,14212
184,14212
185,14559
186,14559
187,14559
188,14906
189,14906
190,14906
191,14906
192,14906
193,14906
194,15253
195,15253
196,15253
197,15253
198,15253
199,15295
200,15295
201,15295
202,15295
204,15295
205,15295
206,15295
207,15295
208,16195
209,16195
210,16195
211,16195
212,16195
213,16237
214,16237
215,16237
216,16237
217,16237
218,16237
219,16237
220,16237
221,16237
222,16237
223,16291
224,16291
225,16291
226,16291
227,16291
228,16291
229,16291
231,16291
232,16291
233,16291
234,16291
235,16291
236,16291
237,16291
238,16291
239,16291
240,16291
241,16985
242,17679
243,18026
244,18373
245,18373
246,18415
247,18415
248,19315
249,19315
250,19315
251,19315
252,19369
253,19369
254,19369
255,19369
257,19369
258,19369
259,19369
260,19369
261,19369
262,19369
263,19369
264,19369
265,19369
266,19369
267,19369
268,19369
269,19369
270,19369
271,20410
272,20757
273,21104
274,21451
275,21451
276,21451
277,21451
278,21798
279,21798
280,21798
281,21798
282,21798
284,21798
285,22145
286,22145
