time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,60
14,60
15,60
16,522
17,522
19,522
20,522
21,522
22,642
23,642
24,642
25,642
26,642
27,642
28,642
29,642
30,642
31,964
32,964
33,964
34,964
35,964
36,964
37,1466
38,1526
39,1526
40,1586
41,1586
42,1586
43,1586
45,1586
46,1586
47,1586
48,1586
49,1586
50,1586
51,1586
52,1586
53,1586
54,1586
55,1586
56,1586
57,1586
58,1586
59,1586
60,1586
61,1586
62,1586
63,1586
64,1586
65,1586
66,1968
67,2670
68,2730
69,2730
70,2790
72,2790
73,2790
74,2790
75,2790
76,2790
77,2790
78,2790
79,2790
80,2790
81,2790
82,2790
83,2790
84,2790
85,2790
86,2790
87,2790
88,2790
89,2790
90,2790
91,2790
92,2790
93,2790
94,2790
95,2790
96,2790
97,2790
99,2790
100,2790
101,2790
102,2790
103,2850
104,2850
105,3372
106,3372
107,3372
108,3372
109,3372
110,3432
111,3432
112,3432
113,3432
114,3432
115,3432
116,3432
117,3432
118,3432
119,3432
120,3432
121,3754
122,3754
123,3754
125,3754
126,3754
127,4136
128,4256
129,4316
130,4376
131,4376
132,4376
133,4376
134,4376
135,4376
136,4376
137,4376
138,4376
139,4376
140,4376
141,4376
142,4376
143,4376
144,4376
145,4376
146,4376
147,4376
148,4376
149,4376
151,4376
152,4376
153,4376
154,4376
155,4376
156,4376
157,4436
158,4958
159,4958
160,4958
161,4958
162,4958
163,5400
164,5520
165,5520
166,5580
167,5580
168,5580
169,5580
170,5580
171,5580
172,5580
173,5580
174,5580
175,5580
176,5580
178,5580
179,5580
180,5580
181,5580
182,5580
183,5580
184,5580
185,5580
186,5580
187,5580
188,5580
189,5580
190,5580
191,5580
192,5580
193,5580
194,5580
195,5580
196,5580
197,5580
198,5580
199,5640
200,5640
201,5640
202,5640
204,5640
205,5640
206,5640
207,5640
208,6162
209,6162
210,6162
211,6162
212,6162
213,6222
214,6222
215,6222
216,6222
217,6222
218,6222
219,6222
220,6222
221,6222
222,6222
223,6724
224,6784
225,6784
226,6844
227,6844
228,6844
229,6844
231,6844
232,6844
233,6844
234,6844
235,6844
236,6844
237,6844
238,6844
239,6844
240,6844
241,6844
242,6844
243,6844
244,6844
245,6844
246,6904
247,6904
248,7426
249,7426
250,7426
251,7426
252,7748
253,7928
254,7988
255,7988
257,8048
258,8048
259,8048
260,8048
261,8048
262,8048
263,8048
264,8048
265,8048
266,8048
267,8048
268,8048
269,8048
270,8048
271,8048
272,8048
273,8048
274,8048
275,8048
276,8048
277,8048
278,8048
279,8048
280,8048
281,8048
282,8048
284,8048
285,8048
286,8048
287,8048
288,8048
289,8048
290,8108
291,8108
292,8108
293,8108
294,8108
295,8108
296,8108
297,8108
298,8630
299,8630
300,8630
301,8630
302,8630
303,8690
304,8690
305,8690
306,8690
307,8690
308,8690
310,8690
311,8690
312,8690
313,9072
314,9192
315,9252
316,9312
317,9312
318,9312
319,9312
320,9312
321,9312
322,9312
323,9312
324,9312
325,9312
326,9312
327,9312
328,9312
329,9312
330,9312
331,9312
332,9312
333,9312
334,9312
336,9312
337,9372
338,9894
339,9894
340,9894
341,9894
342,9894
343,10336
344,10396
345,10456
346,10516
347,10516
348,10516
349,10516
350,10516
351,10516
352,10516
353,10516
354,10516
355,10516
356,10516
357,10516
358,10516
359,10516
360,10516
361,10516
363,10516
364,10516
365,10516
366,10516
367,10516
368,10516
369,10516
370,10516
371,10516
372,10516
373,10516
374,10516
375,10516
376,10516
377,10516
378,10516
379,10576
380,10576
381,10576
382,10576
383,10576
384,10576
385,10576
386,10576
387,11098
389,11098
390,11098
391,11098
392,11098
393,11158
394,11158
395,11158
396,11158
397,11158
398,11158
399,11158
400,11158
401,11158
402,11158
403,11600
404,11720
405,11720
406,11780
407,11780
408,11780
409,11780
410,11780
411,11780
412,11780
413,11780
414,11780
416,11780
417,11780
418,11780
419,11780
420,11780
421,11780
422,11780
423,11780
424,11780
425,11780
426,11840
427,11840
428,12362
429,12362
430,12362
431,12362
432,12362
433,12864
434,12924
435,12924
436,12984
437,12984
438,12984
439,12984
440,12984
442,12984
443,12984
444,12984
445,12984
446,12984
447,12984
