[2019-11-28 13:49:55] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 13:49:56] 
[2019-11-28 13:49:56] 13:49:55      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 13:49:56] 13:49:56    20001      8017   26.00    2.00    0.00    0.00   28.00    12  qrail-cli
[2019-11-28 13:49:57] 13:49:57    20001      8017   97.00    3.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 13:49:58] 13:49:58    20001      8017   99.00    0.00    0.00    0.00   99.00    13  qrail-cli
[2019-11-28 13:49:59] 13:49:59    20001      8017   98.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 13:50:00] 13:50:00    20001      8017  100.00    0.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 13:50:01] 13:50:01    20001      8017   18.00    0.00    0.00    0.00   18.00    13  qrail-cli
[2019-11-28 13:50:02] 13:50:02    20001      8017    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:50:03] 13:50:03    20001      8017    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:50:04] 13:50:04    20001      8017    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:50:05] 13:50:05    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:06] 13:50:06    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:07] 13:50:07    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:08] 13:50:08    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:09] 13:50:09    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:10] 13:50:10    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:11] 13:50:11    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:12] 13:50:12    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:13] 13:50:13    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:14] 13:50:14    20001      8017    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 13:50:15] 13:50:15    20001      8017    1.00    0.00    0.00    0.00    1.00     1  qrail-cli
[2019-11-28 13:50:16] 13:50:16    20001      8017    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-28 13:50:17] 13:50:17    20001      8017    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
