[2019-11-28 12:04:25] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 12:04:26] 
[2019-11-28 12:04:26] 12:04:25      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 12:04:26] 12:04:26    20001     23125   31.00    3.00    0.00    0.00   34.00    13  qrail-cli
[2019-11-28 12:04:27] 12:04:27    20001     23125   98.00    1.00    0.00    0.00   99.00    13  qrail-cli
[2019-11-28 12:04:28] 12:04:28    20001     23125   98.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 12:04:29] 12:04:29    20001     23125   99.00    1.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 12:04:30] 12:04:30    20001     23125  100.00    0.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 12:04:31] 12:04:31    20001     23125   38.00    0.00    0.00    0.00   38.00    13  qrail-cli
[2019-11-28 12:04:32] 12:04:32    20001     23125    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 12:04:33] 12:04:33    20001     23125    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 12:04:34] 12:04:34    20001     23125   31.00    0.00    0.00    0.00   31.00    13  qrail-cli
[2019-11-28 12:04:35] 12:04:35    20001     23125   96.00    5.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 12:04:36] 12:04:36    20001     23125   95.00    5.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:04:37] 12:04:37    20001     23125  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:04:38] 12:04:38    20001     23125   43.00    0.00    0.00    0.00   43.00    12  qrail-cli
[2019-11-28 12:04:39] 12:04:39    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:40] 12:04:40    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:41] 12:04:41    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:42] 12:04:42    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:43] 12:04:43    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:44] 12:04:44    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:45] 12:04:45    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:04:46] 12:04:46    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:47] 12:04:47    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:48] 12:04:48    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:49] 12:04:49    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:50] 12:04:50    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:51] 12:04:51    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:52] 12:04:52    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:53] 12:04:53    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:54] 12:04:54    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:55] 12:04:55    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:56] 12:04:56    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:57] 12:04:57    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:58] 12:04:58    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:04:59] 12:04:59    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:00] 12:05:00    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:01] 12:05:01    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:02] 12:05:02    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:03] 12:05:03    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:04] 12:05:04    20001     23125   30.00    2.00    0.00    0.00   32.00     5  qrail-cli
[2019-11-28 12:05:05] 12:05:05    20001     23125   95.00    4.00    0.00    0.00   99.00     5  qrail-cli
[2019-11-28 12:05:06] 12:05:06    20001     23125   95.00    6.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:05:07] 12:05:07    20001     23125   42.00    1.00    0.00    0.00   43.00    12  qrail-cli
[2019-11-28 12:05:08] 12:05:08    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:09] 12:05:09    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:10] 12:05:10    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:11] 12:05:11    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:12] 12:05:12    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:13] 12:05:13    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:14] 12:05:14    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:15] 12:05:15    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:16] 12:05:16    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:17] 12:05:17    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:18] 12:05:18    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:19] 12:05:19    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:20] 12:05:20    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:21] 12:05:21    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:22] 12:05:22    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:23] 12:05:23    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:24] 12:05:24    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:25] 12:05:25    20001     23125    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:05:26] 12:05:26    20001     23125    0.00    1.00    0.00    0.00    1.00     5  qrail-cli
[2019-11-28 12:05:27] 12:05:27    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:28] 12:05:28    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:29] 12:05:29    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:30] 12:05:30    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:31] 12:05:31    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 12:05:32] 12:05:32    20001     23125    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
