[2020-02-01 02:03:11] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 02:03:12] 
[2020-02-01 02:03:12] 02:03:11      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-02-01 02:03:12] 02:03:12    20001     28315   25.74    0.99    0.00    0.00   26.73    12  qrail-cli
[2020-02-01 02:03:13] 02:03:13    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:14] 02:03:14    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:15] 02:03:15    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:16] 02:03:16    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:17] 02:03:17    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:18] 02:03:18    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:19] 02:03:19    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:20] 02:03:20    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:21] 02:03:21    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:22] 02:03:22    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:23] 02:03:23    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:24] 02:03:24    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:25] 02:03:25    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:26] 02:03:26    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:27] 02:03:27    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:28] 02:03:28    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:29] 02:03:29    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:30] 02:03:30    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:31] 02:03:31    20001     28315    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 02:03:32] 02:03:32    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:33] 02:03:33    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:34] 02:03:34    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:35] 02:03:35    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:36] 02:03:36    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:37] 02:03:37    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:38] 02:03:38    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:39] 02:03:39    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-02-01 02:03:40] 02:03:40    20001     28315    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
