[2020-01-30 07:12:39] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 07:12:40] 
[2020-01-30 07:12:40] 07:12:39      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 07:12:40] 07:12:40    20001     20132    8.00    1.00    0.00    0.00    9.00    12  qrail-cli
[2020-01-30 07:12:41] 07:12:41    20001     20132   82.00    3.00    0.00    0.00   85.00    12  qrail-cli
[2020-01-30 07:12:42] 07:12:42    20001     20132   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:12:43] 07:12:43    20001     20132   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:12:44] 07:12:44    20001     20132   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:12:45] 07:12:45    20001     20132   97.00    1.00    0.00    0.00   98.00    12  qrail-cli
[2020-01-30 07:12:46] 07:12:46    20001     20132   49.00    2.00    0.00    0.00   51.00     5  qrail-cli
[2020-01-30 07:12:47] 07:12:47    20001     20132   99.00    1.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 07:12:48] 07:12:48    20001     20132   24.00    0.00    0.00    0.00   24.00     5  qrail-cli
[2020-01-30 07:12:49] 07:12:49    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:50] 07:12:50    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:51] 07:12:51    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:52] 07:12:52    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:53] 07:12:53    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:54] 07:12:54    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:55] 07:12:55    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:56] 07:12:56    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:57] 07:12:57    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:58] 07:12:58    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:12:59] 07:12:59    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:00] 07:13:00    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:01] 07:13:01    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:02] 07:13:02    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:03] 07:13:03    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:04] 07:13:04    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:05] 07:13:05    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:06] 07:13:06    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:07] 07:13:07    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:08] 07:13:08    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:09] 07:13:09    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:10] 07:13:10    20001     20132    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2020-01-30 07:13:11] 07:13:11    20001     20132   35.00    1.00    0.00    0.00   36.00     5  qrail-cli
[2020-01-30 07:13:12] 07:13:12    20001     20132   94.00    4.00    0.00    0.00   98.00    12  qrail-cli
[2020-01-30 07:13:13] 07:13:13    20001     20132   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:13:14] 07:13:14    20001     20132   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:13:15] 07:13:15    20001     20132   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:13:16] 07:13:16    20001     20132   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:13:17] 07:13:17    20001     20132   54.00    1.00    0.00    0.00   55.00    12  qrail-cli
[2020-01-30 07:13:18] 07:13:18    20001     20132    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 07:13:19] 07:13:19    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:20] 07:13:20    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:21] 07:13:21    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:22] 07:13:22    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:23] 07:13:23    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:24] 07:13:24    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:25] 07:13:25    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:26] 07:13:26    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:27] 07:13:27    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:28] 07:13:28    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:29] 07:13:29    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:30] 07:13:30    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:31] 07:13:31    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:32] 07:13:32    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:33] 07:13:33    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:34] 07:13:34    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:35] 07:13:35    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:36] 07:13:36    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:37] 07:13:37    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:38] 07:13:38    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:39] 07:13:39    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:40] 07:13:40    20001     20132    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2020-01-30 07:13:41] 07:13:41    20001     20132   35.00    2.00    0.00    0.00   37.00     5  qrail-cli
[2020-01-30 07:13:42] 07:13:42    20001     20132   96.00    3.00    0.00    0.00   99.00     5  qrail-cli
[2020-01-30 07:13:43] 07:13:43    20001     20132   96.00    3.00    0.00    0.00   99.00     5  qrail-cli
[2020-01-30 07:13:44] 07:13:44    20001     20132   97.00    2.00    0.00    0.00   99.00     5  qrail-cli
[2020-01-30 07:13:45] 07:13:45    20001     20132   97.00    3.00    0.00    1.00  100.00     5  qrail-cli
[2020-01-30 07:13:46] 07:13:46    20001     20132   98.00    1.00    0.00    0.00   99.00     5  qrail-cli
[2020-01-30 07:13:47] 07:13:47    20001     20132   74.00    2.00    0.00    0.00   76.00    12  qrail-cli
[2020-01-30 07:13:48] 07:13:48    20001     20132   45.00    1.00    0.00    0.00   46.00    12  qrail-cli
[2020-01-30 07:13:49] 07:13:49    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:50] 07:13:50    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:51] 07:13:51    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:52] 07:13:52    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:53] 07:13:53    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:54] 07:13:54    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:55] 07:13:55    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:56] 07:13:56    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:57] 07:13:57    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:58] 07:13:58    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:13:59] 07:13:59    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:00] 07:14:00    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:01] 07:14:01    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:02] 07:14:02    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:03] 07:14:03    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:04] 07:14:04    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:05] 07:14:05    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:06] 07:14:06    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:07] 07:14:07    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:08] 07:14:08    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:09] 07:14:09    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:10] 07:14:10    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:11] 07:14:11    20001     20132   34.00    3.00    0.00    0.00   37.00    10  qrail-cli
[2020-01-30 07:14:12] 07:14:12    20001     20132   98.00    2.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 07:14:13] 07:14:13    20001     20132   97.00    2.00    0.00    0.00   99.00     5  qrail-cli
[2020-01-30 07:14:14] 07:14:14    20001     20132   96.00    4.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 07:14:15] 07:14:15    20001     20132   97.00    1.00    0.00    0.00   98.00     5  qrail-cli
[2020-01-30 07:14:16] 07:14:16    20001     20132   98.00    2.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 07:14:17] 07:14:17    20001     20132  100.00    0.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 07:14:18] 07:14:18    20001     20132   59.00    1.00    0.00    0.00   60.00     5  qrail-cli
[2020-01-30 07:14:19] 07:14:19    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:20] 07:14:20    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:21] 07:14:21    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:22] 07:14:22    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:23] 07:14:23    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:24] 07:14:24    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:25] 07:14:25    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:26] 07:14:26    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:27] 07:14:27    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:28] 07:14:28    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:29] 07:14:29    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:30] 07:14:30    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:31] 07:14:31    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:32] 07:14:32    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:33] 07:14:33    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:34] 07:14:34    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:35] 07:14:35    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:36] 07:14:36    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:37] 07:14:37    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:38] 07:14:38    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:39] 07:14:39    20001     20132    1.00    0.00    0.00    0.00    1.00    10  qrail-cli
[2020-01-30 07:14:40] 07:14:40    20001     20132    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 07:14:41] 07:14:41    20001     20132   35.00    3.00    0.00    0.00   38.00     5  qrail-cli
[2020-01-30 07:14:42] 07:14:42    20001     20132   95.00    3.00    0.00    0.00   98.00     5  qrail-cli
[2020-01-30 07:14:43] 07:14:43    20001     20132   98.00    1.00    0.00    0.00   99.00     5  qrail-cli
[2020-01-30 07:14:44] 07:14:44    20001     20132   98.00    2.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 07:14:45] 07:14:45    20001     20132   97.00    1.00    0.00    0.00   98.00    12  qrail-cli
[2020-01-30 07:14:46] 07:14:46    20001     20132   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:14:47] 07:14:47    20001     20132   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:14:48] 07:14:48    20001     20132   89.00    1.00    0.00    0.00   90.00    12  qrail-cli
[2020-01-30 07:14:49] 07:14:49    20001     20132    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 07:14:50] 07:14:50    20001     20132    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 07:14:51] 07:14:51    20001     20132    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 07:14:52] 07:14:52    20001     20132    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
