[2019-11-29 10:28:34] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/29/19 	_x86_64_	(16 CPU)
[2019-11-29 10:28:34] 
[2019-11-29 10:28:34] 10:28:33      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-29 10:28:34] 10:28:34    20001     10071   27.00    0.00    0.00    0.00   27.00    12  qrail-cli
[2019-11-29 10:28:35] 10:28:35    20001     10071   81.00    5.00    0.00    0.00   86.00    12  qrail-cli
[2019-11-29 10:28:36] 10:28:36    20001     10071   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 10:28:37] 10:28:37    20001     10071   99.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 10:28:38] 10:28:38    20001     10071   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2019-11-29 10:28:39] 10:28:39    20001     10071   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 10:28:40] 10:28:40    20001     10071   75.00    0.00    0.00    0.00   75.00    13  qrail-cli
[2019-11-29 10:28:41] 10:28:41    20001     10071   34.00    0.00    0.00    0.00   34.00    13  qrail-cli
[2019-11-29 10:28:42] 10:28:42    20001     10071    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-29 10:28:43] 10:28:43    20001     10071    0.00    1.00    0.00    0.00    1.00     9  qrail-cli
[2019-11-29 10:28:44] 10:28:44    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:45] 10:28:45    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:46] 10:28:46    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:47] 10:28:47    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:48] 10:28:48    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:49] 10:28:49    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:50] 10:28:50    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:51] 10:28:51    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:52] 10:28:52    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:53] 10:28:53    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:54] 10:28:54    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:55] 10:28:55    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:56] 10:28:56    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:57] 10:28:57    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:58] 10:28:58    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:28:59] 10:28:59    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:29:00] 10:29:00    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:29:01] 10:29:01    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:29:02] 10:29:02    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:29:03] 10:29:03    20001     10071    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2019-11-29 10:29:04] 10:29:04    20001     10071    2.00    0.00    0.00    0.00    2.00     9  qrail-cli
[2019-11-29 10:29:05] 10:29:05    20001     10071   98.00    2.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-29 10:29:06] 10:29:06    20001     10071   99.00    1.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-29 10:29:07] 10:29:07    20001     10071   97.00    2.00    0.00    0.00   99.00     4  qrail-cli
[2019-11-29 10:29:08] 10:29:08    20001     10071   99.00    2.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-29 10:29:09] 10:29:09    20001     10071   99.00    0.00    0.00    0.00   99.00     4  qrail-cli
[2019-11-29 10:29:10] 10:29:10    20001     10071   47.00    1.00    0.00    0.00   48.00     4  qrail-cli
[2019-11-29 10:29:11] 10:29:11    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-29 10:29:12] 10:29:12    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-29 10:29:13] 10:29:13    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-29 10:29:14] 10:29:14    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-29 10:29:15] 10:29:15    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-29 10:29:16] 10:29:16    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-29 10:29:17] 10:29:17    20001     10071    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
