[2020-01-31 02:40:40] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 02:40:41] 
[2020-01-31 02:40:41] 02:40:40      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-31 02:40:41] 02:40:41    20001     16837   26.00    1.00    0.00    0.00   27.00    12  qrail-cli
[2020-01-31 02:40:42] 02:40:42    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:43] 02:40:43    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:44] 02:40:44    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:45] 02:40:45    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:46] 02:40:46    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:47] 02:40:47    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:48] 02:40:48    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:49] 02:40:49    20001     16837    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:40:50] 02:40:50    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:51] 02:40:51    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:52] 02:40:52    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:53] 02:40:53    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:54] 02:40:54    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:55] 02:40:55    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:56] 02:40:56    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:40:57] 02:40:57    20001     16837   97.00    2.00    0.00    0.00   99.00    10  qrail-cli
[2020-01-31 02:40:58] 02:40:58    20001     16837   99.00    1.00    0.00    0.00  100.00    10  qrail-cli
[2020-01-31 02:40:59] 02:40:59    20001     16837   98.00    2.00    0.00    0.00  100.00    10  qrail-cli
[2020-01-31 02:41:00] 02:41:00    20001     16837   99.00    0.00    0.00    0.00   99.00    10  qrail-cli
[2020-01-31 02:41:01] 02:41:01    20001     16837  100.00    1.00    0.00    0.00  100.00    10  qrail-cli
[2020-01-31 02:41:02] 02:41:02    20001     16837   46.00    0.00    0.00    0.00   46.00    10  qrail-cli
[2020-01-31 02:41:03] 02:41:03    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:04] 02:41:04    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:05] 02:41:05    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:06] 02:41:06    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:07] 02:41:07    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:08] 02:41:08    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:09] 02:41:09    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:10] 02:41:10    20001     16837    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-31 02:41:11] 02:41:11    20001     16837   19.00    0.00    0.00    0.00   19.00    10  qrail-cli
[2020-01-31 02:41:12] 02:41:12    20001     16837   98.00    1.00    0.00    0.00   99.00    10  qrail-cli
[2020-01-31 02:41:13] 02:41:13    20001     16837  100.00    0.00    0.00    0.00  100.00    10  qrail-cli
[2020-01-31 02:41:14] 02:41:14    20001     16837   99.00    1.00    0.00    0.00  100.00    10  qrail-cli
