[2020-01-30 04:18:07] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 04:18:08] 
[2020-01-30 04:18:08] 04:18:07      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 04:18:08] 04:18:08    20001     29318   3067.00      0.00  432136   24532   0.20  qrail-cli
[2020-01-30 04:18:09] 04:18:09    20001     29318  10836.00      0.00  451012   44276   0.36  qrail-cli
[2020-01-30 04:18:10] 04:18:10    20001     29318   3026.00      0.00  460220   53340   0.43  qrail-cli
[2020-01-30 04:18:11] 04:18:11    20001     29318   8088.00      0.00  469840   63132   0.51  qrail-cli
[2020-01-30 04:18:12] 04:18:12    20001     29318   2681.19      0.00  477296   70520   0.57  qrail-cli
[2020-01-30 04:18:13] 04:18:13    20001     29318    793.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:14] 04:18:14    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:15] 04:18:15    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:16] 04:18:16    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:17] 04:18:17    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:18] 04:18:18    20001     29318     27.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:19] 04:18:19    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:20] 04:18:20    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:21] 04:18:21    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:22] 04:18:22    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:23] 04:18:23    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:24] 04:18:24    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:25] 04:18:25    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:26] 04:18:26    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:27] 04:18:27    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:28] 04:18:28    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:29] 04:18:29    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:30] 04:18:30    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:31] 04:18:31    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:32] 04:18:32    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:33] 04:18:33    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:34] 04:18:34    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:35] 04:18:35    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:36] 04:18:36    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:37] 04:18:37    20001     29318      0.00      0.00  478664   71920   0.59  qrail-cli
[2020-01-30 04:18:38] 04:18:38    20001     29318    780.00      0.00  480928   73896   0.60  qrail-cli
[2020-01-30 04:18:39] 04:18:39    20001     29318      5.00      0.00  480928   74100   0.60  qrail-cli
[2020-01-30 04:18:40] 04:18:40    20001     29318     20.00      0.00  480928   74100   0.60  qrail-cli
[2020-01-30 04:18:41] 04:18:41    20001     29318      2.00      0.00  480928   74100   0.60  qrail-cli
[2020-01-30 04:18:42] 04:18:42    20001     29318      0.00      0.00  480928   74100   0.60  qrail-cli
[2020-01-30 04:18:43] 04:18:43    20001     29318     42.00      0.00  480928   74356   0.61  qrail-cli
[2020-01-30 04:18:44] 04:18:44    20001     29318   4626.00      0.00  480928   74368   0.61  qrail-cli
[2020-01-30 04:18:45] 04:18:45    20001     29318     11.00      0.00  480928   74368   0.61  qrail-cli
[2020-01-30 04:18:46] 04:18:46    20001     29318     13.00      0.00  480928   74368   0.61  qrail-cli
[2020-01-30 04:18:47] 04:18:47    20001     29318    582.00      0.00  480928   74388   0.61  qrail-cli
[2020-01-30 04:18:48] 04:18:48    20001     29318   2757.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:49] 04:18:49    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:50] 04:18:50    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:51] 04:18:51    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:52] 04:18:52    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:53] 04:18:53    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:54] 04:18:54    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:55] 04:18:55    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:56] 04:18:56    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:57] 04:18:57    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:58] 04:18:58    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:18:59] 04:18:59    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:00] 04:19:00    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:01] 04:19:01    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:02] 04:19:02    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:03] 04:19:03    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:04] 04:19:04    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:05] 04:19:05    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:06] 04:19:06    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:07] 04:19:07    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:08] 04:19:08    20001     29318    220.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:09] 04:19:09    20001     29318      0.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:10] 04:19:10    20001     29318    504.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:11] 04:19:11    20001     29318   2488.00      0.00  480928   74468   0.61  qrail-cli
[2020-01-30 04:19:12] 04:19:12    20001     29318   8208.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:13] 04:19:13    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:14] 04:19:14    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:15] 04:19:15    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:16] 04:19:16    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:17] 04:19:17    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:18] 04:19:18    20001     29318     24.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:19] 04:19:19    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:20] 04:19:20    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:21] 04:19:21    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:22] 04:19:22    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:23] 04:19:23    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:24] 04:19:24    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:25] 04:19:25    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:26] 04:19:26    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:27] 04:19:27    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:28] 04:19:28    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:29] 04:19:29    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:30] 04:19:30    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:31] 04:19:31    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:32] 04:19:32    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:33] 04:19:33    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:34] 04:19:34    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:35] 04:19:35    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:36] 04:19:36    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:37] 04:19:37    20001     29318      0.00      0.00  480928   74564   0.61  qrail-cli
[2020-01-30 04:19:38] 04:19:38    20001     29318  10911.00      0.00  483488   76572   0.62  qrail-cli
[2020-01-30 04:19:39] 04:19:39    20001     29318  11609.00      0.00  481488   75260   0.61  qrail-cli
[2020-01-30 04:19:40] 04:19:40    20001     29318  16906.00      0.00  481324   75260   0.61  qrail-cli
[2020-01-30 04:19:41] 04:19:41    20001     29318  12022.00      0.00  483484   76312   0.62  qrail-cli
[2020-01-30 04:19:42] 04:19:42    20001     29318  11032.00      0.00  481552   75284   0.61  qrail-cli
[2020-01-30 04:19:43] 04:19:43    20001     29318  10669.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:44] 04:19:44    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:45] 04:19:45    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:46] 04:19:46    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:47] 04:19:47    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:48] 04:19:48    20001     29318     27.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:49] 04:19:49    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:50] 04:19:50    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:51] 04:19:51    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:52] 04:19:52    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:53] 04:19:53    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:54] 04:19:54    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:55] 04:19:55    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:56] 04:19:56    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:57] 04:19:57    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:58] 04:19:58    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:19:59] 04:19:59    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:00] 04:20:00    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:01] 04:20:01    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:02] 04:20:02    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:03] 04:20:03    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:04] 04:20:04    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:05] 04:20:05    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:06] 04:20:06    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:07] 04:20:07    20001     29318      0.00      0.00  481320   75260   0.61  qrail-cli
[2020-01-30 04:20:08] 04:20:08    20001     29318  14749.00      0.00  480780   74436   0.61  qrail-cli
[2020-01-30 04:20:09] 04:20:09    20001     29318  11830.00      0.00  482876   75748   0.62  qrail-cli
[2020-01-30 04:20:10] 04:20:10    20001     29318  11507.00      0.00  482952   76036   0.62  qrail-cli
[2020-01-30 04:20:11] 04:20:11    20001     29318  11754.00      0.00  481040   74680   0.61  qrail-cli
