time(s),mem(%)
0,0.17
1,0.17
2,0.17
3,0.17
4,0.17
5,0.17
6,0.17
7,0.17
8,0.17
9,0.17
10,0.17
11,0.17
12,0.17
13,0.17
14,0.17
15,0.17
16,0.17
17,0.17
18,0.17
19,0.17
20,0.17
21,0.17
22,0.17
23,0.17
24,0.17
25,0.17
26,0.17
27,0.17
28,0.17
29,0.28
30,0.41
31,0.49
32,0.57
33,0.59
34,0.59
35,0.59
36,0.59
37,0.59
38,0.59
39,0.59
40,0.59
41,0.59
42,0.59
43,0.59
44,0.59
45,0.59
46,0.59
47,0.59
48,0.59
49,0.59
50,0.59
51,0.59
52,0.59
53,0.59
54,0.59
55,0.59
56,0.59
57,0.59
58,0.59
59,0.59
60,0.59
61,0.59
62,0.59
63,0.59
64,0.59
65,0.59
66,0.60
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.60
152,0.60
153,0.60
154,0.60
155,0.60
156,0.60
157,0.60
158,0.60
159,0.60
160,0.60
161,0.60
162,0.60
163,0.60
164,0.60
165,0.60
166,0.60
167,0.60
168,0.60
169,0.60
170,0.60
171,0.60
172,0.60
173,0.60
174,0.60
175,0.60
176,0.60
177,0.60
178,0.60
179,0.60
180,0.60
181,0.60
182,0.60
183,0.60
184,0.60
185,0.60
186,0.60
187,0.60
188,0.60
189,0.60
190,0.60
191,0.60
192,0.60
193,0.59
194,0.60
195,0.58
196,0.58
197,0.58
198,0.58
199,0.58
200,0.58
201,0.58
202,0.58
203,0.58
204,0.58
205,0.58
206,0.58
207,0.58
208,0.58
209,0.59
210,0.60
211,0.60
212,0.59
213,0.59
214,0.59
215,0.59
216,0.59
217,0.59
218,0.59
219,0.59
220,0.59
221,0.59
222,0.59
223,0.59
224,0.59
225,0.59
226,0.59
227,0.59
228,0.59
229,0.59
230,0.59
231,0.59
232,0.59
233,0.59
234,0.59
235,0.59
236,0.59
237,0.59
238,0.59
239,0.59
240,0.59
241,0.59
242,0.59
243,0.59
244,0.59
245,0.59
246,0.59
247,0.59
248,0.59
249,0.59
250,0.59
251,0.59
252,0.59
253,0.60
254,0.60
255,0.59
256,0.60
257,0.58
258,0.58
259,0.58
260,0.58
261,0.58
262,0.58
263,0.58
264,0.58
265,0.58
266,0.58
267,0.58
268,0.58
269,0.58
270,0.60
271,0.59
272,0.58
273,0.58
274,0.58
275,0.58
276,0.58
277,0.58
278,0.58
279,0.58
280,0.58
281,0.58
282,0.58
283,0.58
284,0.58
285,0.58
286,0.58
287,0.58
288,0.58
289,0.58
290,0.58
291,0.58
292,0.58
293,0.58
294,0.58
295,0.58
296,0.58
297,0.58
298,0.58
299,0.58
300,0.58
301,0.58
302,0.58
303,0.58
304,0.58
305,0.58
306,0.58
307,0.58
308,0.58
309,0.58
310,0.58
311,0.58
312,0.59
313,0.59
314,0.58
315,0.58
316,0.58
317,0.58
318,0.58
319,0.58
320,0.58
321,0.58
322,0.58
323,0.58
324,0.58
325,0.58
326,0.58
327,0.58
328,0.58
329,0.58
330,0.60
331,0.58
332,0.60
333,0.58
334,0.58
335,0.58
336,0.58
337,0.58
338,0.58
339,0.58
340,0.58
341,0.58
342,0.58
343,0.58
344,0.58
345,0.58
346,0.58
347,0.58
348,0.58
349,0.58
350,0.58
351,0.58
352,0.58
353,0.58
354,0.58
355,0.58
356,0.58
357,0.58
358,0.58
359,0.58
360,0.58
361,0.58
362,0.58
363,0.58
364,0.58
