[2020-01-30 14:49:50] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 14:49:51] 
[2020-01-30 14:49:51] 14:49:50      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 14:49:51] 14:49:51    20001      8632   1807.92      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:52] 14:49:52    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:53] 14:49:53    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:54] 14:49:54    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:55] 14:49:55    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:56] 14:49:56    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:57] 14:49:57    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:58] 14:49:58    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:49:59] 14:49:59    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:00] 14:50:00    20001      8632      1.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:01] 14:50:01    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:02] 14:50:02    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:03] 14:50:03    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:04] 14:50:04    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:05] 14:50:05    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:06] 14:50:06    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:07] 14:50:07    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:08] 14:50:08    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:09] 14:50:09    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:10] 14:50:10    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:11] 14:50:11    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:12] 14:50:12    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:13] 14:50:13    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:14] 14:50:14    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:15] 14:50:15    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:16] 14:50:16    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:17] 14:50:17    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:18] 14:50:18    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:19] 14:50:19    20001      8632      0.00      0.00  429444   21236   0.17  qrail-cli
[2020-01-30 14:50:20] 14:50:20    20001      8632   4704.00      0.00  440856   34200   0.28  qrail-cli
[2020-01-30 14:50:21] 14:50:21    20001      8632   8474.00      0.00  456484   50044   0.41  qrail-cli
[2020-01-30 14:50:22] 14:50:22    20001      8632   3248.00      0.00  466580   59988   0.49  qrail-cli
[2020-01-30 14:50:23] 14:50:23    20001      8632   3120.00      0.00  476240   69764   0.57  qrail-cli
[2020-01-30 14:50:24] 14:50:24    20001      8632   1227.00      0.00  478748   72248   0.59  qrail-cli
[2020-01-30 14:50:25] 14:50:25    20001      8632   2107.00      0.00  478748   72264   0.59  qrail-cli
[2020-01-30 14:50:26] 14:50:26    20001      8632    573.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:27] 14:50:27    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:28] 14:50:28    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:29] 14:50:29    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:30] 14:50:30    20001      8632     26.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:31] 14:50:31    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:32] 14:50:32    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:33] 14:50:33    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:34] 14:50:34    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:35] 14:50:35    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:36] 14:50:36    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:37] 14:50:37    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:38] 14:50:38    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:39] 14:50:39    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:40] 14:50:40    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:41] 14:50:41    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:42] 14:50:42    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:43] 14:50:43    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:44] 14:50:44    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:45] 14:50:45    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:46] 14:50:46    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:47] 14:50:47    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:48] 14:50:48    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:49] 14:50:49    20001      8632      0.00      0.00  478748   72276   0.59  qrail-cli
[2020-01-30 14:50:50] 14:50:50    20001      8632     40.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:51] 14:50:51    20001      8632      0.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:52] 14:50:52    20001      8632      0.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:53] 14:50:53    20001      8632      0.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:54] 14:50:54    20001      8632      0.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:55] 14:50:55    20001      8632      0.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:56] 14:50:56    20001      8632      0.00      0.00  478748   72288   0.59  qrail-cli
[2020-01-30 14:50:57] 14:50:57    20001      8632   3038.00      0.00  479788   73352   0.60  qrail-cli
[2020-01-30 14:50:58] 14:50:58    20001      8632   3135.00      0.00  479788   73500   0.60  qrail-cli
[2020-01-30 14:50:59] 14:50:59    20001      8632   2672.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:00] 14:51:00    20001      8632     26.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:01] 14:51:01    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:02] 14:51:02    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:03] 14:51:03    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:04] 14:51:04    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:05] 14:51:05    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:06] 14:51:06    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:07] 14:51:07    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:08] 14:51:08    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:09] 14:51:09    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:10] 14:51:10    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:11] 14:51:11    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:12] 14:51:12    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
[2020-01-30 14:51:13] 14:51:13    20001      8632      0.00      0.00  479788   73512   0.60  qrail-cli
