time(s),mem(%)
0,0.20
1,0.36
2,0.45
3,0.51
4,0.57
5,0.59
6,0.59
7,0.59
8,0.61
9,0.61
10,0.61
11,0.61
12,0.61
13,0.61
14,0.61
15,0.61
16,0.61
17,0.61
18,0.61
19,0.61
20,0.61
21,0.61
22,0.61
23,0.61
24,0.61
25,0.61
26,0.61
27,0.61
28,0.61
29,0.61
30,0.61
31,0.61
32,0.61
33,0.61
34,0.61
35,0.61
36,0.61
37,0.61
38,0.60
39,0.60
40,0.62
41,0.60
42,0.60
43,0.60
44,0.60
45,0.61
46,0.61
47,0.61
48,0.61
49,0.61
50,0.61
51,0.61
52,0.61
53,0.61
54,0.61
55,0.61
56,0.61
57,0.61
58,0.61
59,0.61
60,0.61
61,0.61
62,0.61
63,0.61
64,0.61
65,0.61
66,0.61
67,0.61
68,0.60
69,0.60
70,0.60
71,0.62
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.62
129,0.62
130,0.62
131,0.63
132,0.62
133,0.62
134,0.63
135,0.62
136,0.64
137,0.62
138,0.62
139,0.62
140,0.62
141,0.62
142,0.62
143,0.62
144,0.62
145,0.62
146,0.62
147,0.62
148,0.62
149,0.62
150,0.62
151,0.62
152,0.62
153,0.62
154,0.62
155,0.62
156,0.62
157,0.62
158,0.62
159,0.61
160,0.61
161,0.61
162,0.61
163,0.61
164,0.61
165,0.61
166,0.61
167,0.61
168,0.61
169,0.61
170,0.61
171,0.61
172,0.61
173,0.61
174,0.61
175,0.61
176,0.61
177,0.61
178,0.61
179,0.61
180,0.61
181,0.61
182,0.61
183,0.61
184,0.61
185,0.61
186,0.61
187,0.61
188,0.63
189,0.61
190,0.62
191,0.63
192,0.62
193,0.62
194,0.62
195,0.62
196,0.62
197,0.62
198,0.62
199,0.62
200,0.62
201,0.62
202,0.62
203,0.62
204,0.62
205,0.62
206,0.62
207,0.62
208,0.62
209,0.62
210,0.62
211,0.62
212,0.62
213,0.62
214,0.62
215,0.62
216,0.62
217,0.62
218,0.63
219,0.63
220,0.62
221,0.63
222,0.63
223,0.62
224,0.63
225,0.62
226,0.62
227,0.62
228,0.62
229,0.62
230,0.62
231,0.62
232,0.62
233,0.62
234,0.62
235,0.62
236,0.62
237,0.62
238,0.62
239,0.62
240,0.62
241,0.62
242,0.62
243,0.62
244,0.62
245,0.62
246,0.62
247,0.62
248,0.61
249,0.61
250,0.62
251,0.61
252,0.61
253,0.61
254,0.61
255,0.61
256,0.61
257,0.61
258,0.61
259,0.61
260,0.61
261,0.61
262,0.61
263,0.61
264,0.61
265,0.61
266,0.61
267,0.61
268,0.61
269,0.61
270,0.61
271,0.61
272,0.61
273,0.61
274,0.61
275,0.61
276,0.61
277,0.61
278,0.62
279,0.62
280,0.63
281,0.62
282,0.63
283,0.62
284,0.62
285,0.62
286,0.62
287,0.62
288,0.62
289,0.62
290,0.62
291,0.62
292,0.62
293,0.62
294,0.62
295,0.62
296,0.62
297,0.62
298,0.62
299,0.62
300,0.62
301,0.62
302,0.62
303,0.62
304,0.62
305,0.62
306,0.62
307,0.62
308,0.62
309,0.62
310,0.62
311,0.63
312,0.63
313,0.61
314,0.62
315,0.62
316,0.62
317,0.62
318,0.62
319,0.62
320,0.62
321,0.62
322,0.62
323,0.62
324,0.62
325,0.62
326,0.62
327,0.62
328,0.62
329,0.62
330,0.62
331,0.62
332,0.62
333,0.62
334,0.62
335,0.62
336,0.62
337,0.62
338,0.63
339,0.62
340,0.62
341,0.62
342,0.62
343,0.63
344,0.62
345,0.62
346,0.62
347,0.62
348,0.62
349,0.62
350,0.62
351,0.62
352,0.62
353,0.62
354,0.62
355,0.62
356,0.62
357,0.62
358,0.62
359,0.62
360,0.62
361,0.62
362,0.62
363,0.62
364,0.62
365,0.62
366,0.62
367,0.62
368,0.62
369,0.61
370,0.62
371,0.61
372,0.61
373,0.61
374,0.61
375,0.61
376,0.61
377,0.61
378,0.61
379,0.61
380,0.61
381,0.61
382,0.61
383,0.61
384,0.61
385,0.61
386,0.61
387,0.61
388,0.61
389,0.61
390,0.61
391,0.61
392,0.61
393,0.61
394,0.61
395,0.61
396,0.61
397,0.61
398,0.61
399,0.61
400,0.62
401,0.61
402,0.61
403,0.61
404,0.61
405,0.61
406,0.61
407,0.61
408,0.61
409,0.61
410,0.61
411,0.61
412,0.61
413,0.61
414,0.61
415,0.61
416,0.61
417,0.61
418,0.61
419,0.61
420,0.61
421,0.61
422,0.61
423,0.61
424,0.61
425,0.61
426,0.61
427,0.61
428,0.62
429,0.62
430,0.62
431,0.62
432,0.62
433,0.62
434,0.62
435,0.62
436,0.62
437,0.62
438,0.62
439,0.62
440,0.62
441,0.62
442,0.62
443,0.62
444,0.62
445,0.62
446,0.62
447,0.62
448,0.62
449,0.62
450,0.62
451,0.62
452,0.62
453,0.62
454,0.62
455,0.62
456,0.62
457,0.62
458,0.62
459,0.62
460,0.63
461,0.62
462,0.62
463,0.62
464,0.62
465,0.62
466,0.62
467,0.62
468,0.62
469,0.62
470,0.62
471,0.62
472,0.62
473,0.62
474,0.62
475,0.62
476,0.62
477,0.62
478,0.62
479,0.62
480,0.62
481,0.62
482,0.62
483,0.62
484,0.62
485,0.62
486,0.62
487,0.62
488,0.63
489,0.64
490,0.63
491,0.63
492,0.64
493,0.64
494,0.63
495,0.63
496,0.63
497,0.63
498,0.63
499,0.63
500,0.63
501,0.63
502,0.63
503,0.63
504,0.63
505,0.63
506,0.63
507,0.63
508,0.63
