[2020-02-01 10:31:07] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 10:31:08] 
[2020-02-01 10:31:08] 10:31:07      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 10:31:08] 10:31:08    20001     22406   2337.00      0.00  430824   24628   0.20  qrail-cli
[2020-02-01 10:31:09] 10:31:09    20001     22406  11296.00      0.00  450768   44572   0.36  qrail-cli
[2020-02-01 10:31:10] 10:31:10    20001     22406   3837.00      0.00  462504   56288   0.46  qrail-cli
[2020-02-01 10:31:11] 10:31:11    20001     22406   7829.00      0.00  472168   65928   0.54  qrail-cli
[2020-02-01 10:31:12] 10:31:12    20001     22406   2841.00      0.00  479500   73396   0.60  qrail-cli
[2020-02-01 10:31:13] 10:31:13    20001     22406     50.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:14] 10:31:14    20001     22406      0.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:15] 10:31:15    20001     22406      0.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:16] 10:31:16    20001     22406      0.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:17] 10:31:17    20001     22406      0.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:18] 10:31:18    20001     22406     27.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:19] 10:31:19    20001     22406      0.00      0.00  479500   73488   0.60  qrail-cli
[2020-02-01 10:31:20] 10:31:20    20001     22406  13594.00      0.00  481760   75456   0.61  qrail-cli
[2020-02-01 10:31:21] 10:31:21    20001     22406  16712.00      0.00  481756   75472   0.61  qrail-cli
[2020-02-01 10:31:22] 10:31:22    20001     22406  19357.00      0.00  483896   76960   0.63  qrail-cli
[2020-02-01 10:31:23] 10:31:23    20001     22406  13227.00      0.00  481140   75252   0.61  qrail-cli
[2020-02-01 10:31:24] 10:31:24    20001     22406  14266.00      0.00  481796   75912   0.62  qrail-cli
[2020-02-01 10:31:25] 10:31:25    20001     22406  12448.00      0.00  481796   75916   0.62  qrail-cli
[2020-02-01 10:31:26] 10:31:26    20001     22406  10873.00      0.00  481796   75916   0.62  qrail-cli
[2020-02-01 10:31:27] 10:31:27    20001     22406  11811.00      0.00  482060   75928   0.62  qrail-cli
[2020-02-01 10:31:28] 10:31:28    20001     22406  11153.00      0.00  484592   77300   0.63  qrail-cli
[2020-02-01 10:31:29] 10:31:29    20001     22406   4922.00      0.00  481800   75984   0.62  qrail-cli
[2020-02-01 10:31:30] 10:31:30    20001     22406   6836.00      0.00  483396   77476   0.63  qrail-cli
[2020-02-01 10:31:31] 10:31:31    20001     22406   1859.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:32] 10:31:32    20001     22406      0.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:33] 10:31:33    20001     22406      0.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:34] 10:31:34    20001     22406      0.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:35] 10:31:35    20001     22406      0.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:36] 10:31:36    20001     22406      0.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:37] 10:31:37    20001     22406      0.00      0.00  483528   77672   0.63  qrail-cli
[2020-02-01 10:31:38] 10:31:38    20001     22406     52.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:39] 10:31:39    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:40] 10:31:40    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:41] 10:31:41    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:42] 10:31:42    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:43] 10:31:43    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:44] 10:31:44    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:45] 10:31:45    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
[2020-02-01 10:31:46] 10:31:46    20001     22406      0.00      0.00  483528   77676   0.63  qrail-cli
