time(s),mem(%)
0,0.18
1,0.18
2,0.18
3,0.18
4,0.18
5,0.18
6,0.18
7,0.18
8,0.18
9,0.18
10,0.18
11,0.18
12,0.18
13,0.18
14,0.18
15,0.18
16,0.18
17,0.18
18,0.18
19,0.18
20,0.18
21,0.18
22,0.18
23,0.18
24,0.18
25,0.18
26,0.18
27,0.18
28,0.18
29,0.18
30,0.18
31,0.18
32,0.18
33,0.18
34,0.35
35,0.43
36,0.52
37,0.59
38,0.58
39,0.58
40,0.58
41,0.58
42,0.58
43,0.58
44,0.58
45,0.58
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
52,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.58
58,0.58
59,0.58
60,0.58
61,0.58
62,0.59
63,0.60
64,0.59
65,0.60
66,0.59
67,0.59
68,0.59
69,0.59
70,0.59
71,0.59
72,0.59
73,0.59
74,0.59
75,0.59
76,0.59
77,0.59
78,0.59
79,0.59
80,0.59
81,0.59
82,0.59
83,0.59
84,0.59
85,0.59
86,0.59
87,0.59
88,0.59
89,0.59
90,0.59
91,0.59
92,0.60
93,0.61
94,0.61
95,0.61
96,0.61
97,0.61
98,0.61
99,0.61
100,0.61
101,0.61
102,0.61
103,0.61
104,0.61
105,0.61
106,0.61
107,0.61
108,0.61
109,0.61
110,0.61
111,0.61
112,0.61
113,0.61
114,0.61
115,0.61
116,0.61
117,0.61
118,0.61
119,0.61
120,0.61
121,0.61
122,0.61
123,0.61
124,0.60
125,0.61
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.60
152,0.62
153,0.62
154,0.62
155,0.61
156,0.61
157,0.61
158,0.61
159,0.61
160,0.61
161,0.61
162,0.61
163,0.61
164,0.61
165,0.61
166,0.61
167,0.61
168,0.61
169,0.61
170,0.61
171,0.61
172,0.61
173,0.61
174,0.61
175,0.61
176,0.61
177,0.61
178,0.61
179,0.61
180,0.61
181,0.61
182,0.61
183,0.61
184,0.61
185,0.61
186,0.61
187,0.61
188,0.61
189,0.61
190,0.61
191,0.61
192,0.61
193,0.61
194,0.61
195,0.61
196,0.61
197,0.61
198,0.61
199,0.61
200,0.61
201,0.61
202,0.61
203,0.61
204,0.61
205,0.61
206,0.61
207,0.61
208,0.61
209,0.61
210,0.61
211,0.61
212,0.61
213,0.60
214,0.60
215,0.60
216,0.60
217,0.60
218,0.60
219,0.60
220,0.60
221,0.60
222,0.60
223,0.60
224,0.60
225,0.60
226,0.60
227,0.60
228,0.60
229,0.60
230,0.60
231,0.60
232,0.60
233,0.60
234,0.60
235,0.60
236,0.60
237,0.60
238,0.60
239,0.60
240,0.60
241,0.60
242,0.60
243,0.60
244,0.60
245,0.60
246,0.60
247,0.60
248,0.60
249,0.60
250,0.60
251,0.60
252,0.60
253,0.60
254,0.60
255,0.60
256,0.60
257,0.60
258,0.60
259,0.60
260,0.60
261,0.60
262,0.60
263,0.60
264,0.60
265,0.60
266,0.60
267,0.60
268,0.60
269,0.60
270,0.60
271,0.60
272,0.61
273,0.61
274,0.60
275,0.60
276,0.60
277,0.60
278,0.60
279,0.60
280,0.60
281,0.60
282,0.60
283,0.60
284,0.60
285,0.60
286,0.60
287,0.60
288,0.60
289,0.60
290,0.60
291,0.60
292,0.60
293,0.60
294,0.60
295,0.60
296,0.60
297,0.60
298,0.60
299,0.60
300,0.60
301,0.60
302,0.60
303,0.60
304,0.60
305,0.60
306,0.60
307,0.60
308,0.60
309,0.60
310,0.60
311,0.60
312,0.60
