time(s),mem(%)
0,0.15
1,0.27
2,0.35
3,0.41
4,0.46
5,0.53
6,0.53
7,0.57
8,0.57
9,0.57
10,0.57
11,0.57
12,0.57
13,0.57
14,0.57
15,0.57
16,0.57
17,0.57
18,0.57
19,0.57
20,0.57
21,0.57
22,0.57
23,0.57
24,0.57
25,0.57
26,0.57
27,0.57
28,0.57
29,0.57
30,0.57
31,0.58
32,0.59
33,0.61
34,0.60
35,0.61
36,0.61
37,0.59
38,0.59
39,0.59
40,0.59
41,0.59
42,0.59
43,0.59
44,0.59
45,0.59
46,0.59
47,0.59
48,0.59
49,0.59
50,0.59
51,0.59
52,0.59
53,0.59
54,0.59
55,0.59
56,0.59
57,0.59
58,0.59
59,0.59
60,0.59
61,0.61
62,0.61
63,0.61
64,0.62
65,0.62
66,0.63
67,0.63
68,0.62
69,0.62
70,0.62
71,0.62
72,0.62
73,0.62
74,0.62
75,0.62
76,0.62
77,0.62
78,0.62
79,0.62
80,0.62
81,0.62
82,0.62
83,0.62
84,0.62
85,0.62
86,0.62
87,0.62
88,0.62
89,0.62
90,0.62
91,0.63
92,0.64
93,0.64
94,0.65
95,0.65
96,0.65
97,0.65
98,0.65
99,0.65
100,0.65
101,0.65
102,0.65
103,0.65
104,0.65
105,0.65
106,0.65
107,0.65
108,0.65
109,0.65
110,0.65
111,0.65
112,0.65
113,0.65
114,0.65
115,0.65
116,0.65
117,0.65
118,0.65
119,0.65
120,0.65
121,0.65
122,0.66
123,0.67
124,0.67
125,0.68
126,0.68
127,0.68
128,0.68
129,0.68
130,0.68
131,0.68
132,0.68
133,0.68
134,0.68
135,0.68
136,0.68
137,0.68
138,0.68
139,0.68
140,0.68
141,0.68
142,0.68
143,0.68
144,0.68
145,0.68
146,0.68
147,0.68
148,0.68
149,0.68
150,0.68
151,0.68
152,0.69
153,0.70
154,0.70
155,0.70
156,0.71
157,0.69
158,0.71
159,0.71
160,0.71
161,0.71
162,0.71
163,0.71
164,0.71
165,0.71
166,0.71
167,0.71
168,0.71
169,0.71
170,0.71
171,0.71
172,0.71
173,0.71
174,0.71
175,0.71
176,0.71
177,0.71
178,0.71
179,0.71
180,0.71
181,0.71
182,0.70
183,0.73
184,0.73
185,0.73
186,0.74
187,0.74
188,0.74
189,0.74
190,0.74
191,0.74
192,0.74
193,0.74
194,0.74
195,0.74
196,0.74
197,0.74
198,0.74
199,0.74
200,0.74
201,0.74
202,0.74
203,0.74
204,0.74
205,0.74
206,0.74
207,0.74
208,0.74
209,0.74
210,0.74
211,0.74
212,0.75
213,0.75
214,0.76
215,0.76
216,0.76
217,0.77
218,0.77
219,0.76
220,0.76
221,0.76
222,0.76
223,0.76
224,0.76
225,0.76
226,0.76
227,0.76
228,0.76
229,0.76
230,0.76
231,0.76
232,0.76
233,0.76
234,0.76
235,0.76
236,0.76
237,0.76
238,0.76
239,0.76
240,0.76
241,0.77
242,0.78
243,0.78
244,0.79
245,0.79
246,0.80
247,0.79
248,0.79
249,0.79
250,0.79
251,0.79
252,0.79
253,0.79
254,0.79
255,0.79
256,0.79
257,0.79
258,0.79
259,0.79
260,0.79
261,0.79
262,0.79
263,0.79
264,0.79
265,0.79
266,0.79
267,0.79
268,0.79
269,0.79
270,0.79
271,0.79
272,0.81
273,0.81
274,0.81
275,0.82
276,0.82
277,0.82
278,0.82
279,0.82
280,0.82
281,0.82
282,0.82
283,0.82
284,0.82
285,0.82
286,0.82
287,0.82
288,0.82
289,0.82
290,0.82
291,0.82
292,0.82
293,0.82
294,0.82
295,0.82
296,0.82
297,0.82
298,0.82
299,0.82
300,0.82
301,0.82
302,0.83
303,0.84
304,0.84
