[2020-01-30 07:12:39] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 07:12:40] 
[2020-01-30 07:12:40] 07:12:39      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 07:12:40] 07:12:40    20001     20132   1731.00      0.00  270124   18636   0.15  qrail-cli
[2020-01-30 07:12:41] 07:12:41    20001     20132   7960.00      0.00  439684   33044   0.27  qrail-cli
[2020-01-30 07:12:42] 07:12:42    20001     20132   9551.00      0.00  450252   43584   0.35  qrail-cli
[2020-01-30 07:12:43] 07:12:43    20001     20132   4053.00      0.00  456564   50264   0.41  qrail-cli
[2020-01-30 07:12:44] 07:12:44    20001     20132   3989.00      0.00  462892   56592   0.46  qrail-cli
[2020-01-30 07:12:45] 07:12:45    20001     20132   4393.00      0.00  472612   65060   0.53  qrail-cli
[2020-01-30 07:12:46] 07:12:46    20001     20132   6679.00      0.00  471492   65192   0.53  qrail-cli
[2020-01-30 07:12:47] 07:12:47    20001     20132   2771.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:48] 07:12:48    20001     20132     39.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:49] 07:12:49    20001     20132     12.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:50] 07:12:50    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:51] 07:12:51    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:52] 07:12:52    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:53] 07:12:53    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:54] 07:12:54    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:55] 07:12:55    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:56] 07:12:56    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:57] 07:12:57    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:58] 07:12:58    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:12:59] 07:12:59    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:00] 07:13:00    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:01] 07:13:01    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:02] 07:13:02    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:03] 07:13:03    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:04] 07:13:04    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:05] 07:13:05    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:06] 07:13:06    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:07] 07:13:07    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:08] 07:13:08    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:09] 07:13:09    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:10] 07:13:10    20001     20132      0.00      0.00  475736   69436   0.57  qrail-cli
[2020-01-30 07:13:11] 07:13:11    20001     20132   4062.00      0.00  478428   71640   0.58  qrail-cli
[2020-01-30 07:13:12] 07:13:12    20001     20132   5715.00      0.00  480316   72844   0.59  qrail-cli
[2020-01-30 07:13:13] 07:13:13    20001     20132   4495.00      0.00  482228   74384   0.61  qrail-cli
[2020-01-30 07:13:14] 07:13:14    20001     20132   8750.50      0.00  479488   73200   0.60  qrail-cli
[2020-01-30 07:13:15] 07:13:15    20001     20132   3882.00      0.00  482576   75120   0.61  qrail-cli
[2020-01-30 07:13:16] 07:13:16    20001     20132   8873.00      0.00  482568   75100   0.61  qrail-cli
[2020-01-30 07:13:17] 07:13:17    20001     20132   1596.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:18] 07:13:18    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:19] 07:13:19    20001     20132     12.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:20] 07:13:20    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:21] 07:13:21    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:22] 07:13:22    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:23] 07:13:23    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:24] 07:13:24    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:25] 07:13:25    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:26] 07:13:26    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:27] 07:13:27    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:28] 07:13:28    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:29] 07:13:29    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:30] 07:13:30    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:31] 07:13:31    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:32] 07:13:32    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:33] 07:13:33    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:34] 07:13:34    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:35] 07:13:35    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:36] 07:13:36    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:37] 07:13:37    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:38] 07:13:38    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:39] 07:13:39    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:40] 07:13:40    20001     20132      0.00      0.00  479220   72948   0.59  qrail-cli
[2020-01-30 07:13:41] 07:13:41    20001     20132   4147.00      0.00  480864   74376   0.61  qrail-cli
[2020-01-30 07:13:42] 07:13:42    20001     20132   6423.00      0.00  481568   74916   0.61  qrail-cli
