time(s),mem(%)
0,undefined
1,0.17
2,0.17
3,0.17
4,0.17
5,0.17
6,0.17
7,0.17
8,0.17
9,0.17
10,0.17
11,0.17
12,0.17
13,0.17
14,0.17
15,0.17
16,0.17
17,0.17
18,0.17
19,0.17
20,0.17
21,0.17
22,0.17
23,0.17
24,0.17
25,0.17
26,0.17
27,0.17
28,0.17
29,0.17
30,0.17
31,0.17
32,0.17
33,0.17
34,0.17
35,0.17
36,0.17
37,0.17
38,0.17
39,0.17
40,0.17
41,0.17
42,0.17
43,0.17
44,0.17
45,0.17
46,0.17
47,0.28
48,0.37
49,0.43
50,0.48
51,0.53
52,0.57
53,0.55
54,0.55
55,0.55
56,0.55
57,0.55
58,0.55
59,0.55
60,0.55
61,0.55
62,0.55
63,0.55
64,0.55
65,0.55
66,0.55
67,0.55
68,0.55
69,0.55
70,0.55
71,0.55
72,0.55
73,0.55
74,0.55
75,0.55
76,0.55
77,0.55
78,0.55
79,0.55
80,0.55
81,0.55
82,0.55
83,0.55
84,0.55
85,0.55
86,0.55
87,0.55
88,0.55
89,0.55
90,0.55
91,0.55
92,0.55
93,0.55
94,0.55
95,0.55
96,0.55
97,0.55
98,0.55
99,0.55
100,0.55
101,0.55
102,0.55
103,0.55
104,0.55
105,0.55
106,0.55
107,0.55
108,0.55
109,0.55
110,0.55
111,0.55
112,0.55
113,0.55
114,0.55
115,0.55
116,0.55
117,0.55
118,0.55
119,0.55
120,0.55
121,0.55
122,0.55
123,0.55
124,0.55
125,0.55
126,0.55
127,0.55
128,0.55
129,0.55
130,0.55
131,0.55
132,0.55
133,0.55
134,0.55
135,0.55
136,0.55
137,0.55
138,0.55
139,0.55
140,0.55
141,0.55
142,0.55
143,0.55
144,0.55
145,0.55
146,0.55
147,0.55
148,0.55
149,0.55
150,0.55
151,0.55
152,0.55
153,0.55
154,0.55
155,0.55
156,0.55
157,0.55
158,0.55
159,0.55
160,0.55
161,0.55
162,0.55
163,0.55
164,0.55
165,0.55
166,0.55
167,0.55
168,0.55
169,0.55
170,0.55
171,0.55
172,0.55
173,0.55
174,0.55
175,0.55
176,0.55
177,0.55
178,0.55
179,0.55
180,0.55
181,0.55
182,0.55
183,0.55
184,0.55
185,0.55
186,0.55
187,0.55
188,0.55
189,0.55
190,0.55
191,0.55
192,0.55
193,0.55
194,0.55
195,0.55
196,0.55
197,0.55
198,0.55
199,0.55
200,0.55
201,0.55
202,0.55
203,0.55
204,0.55
205,0.55
206,0.55
207,0.55
208,0.55
209,0.55
210,0.55
211,0.55
212,0.55
213,0.55
214,0.55
215,0.55
216,0.55
217,0.55
218,0.55
219,0.55
220,0.55
221,0.55
222,0.55
223,0.55
224,0.55
225,0.55
226,0.55
227,0.55
228,0.55
229,0.55
230,0.55
231,0.55
232,0.55
233,0.55
234,0.55
235,0.55
236,0.55
237,0.55
238,0.55
239,0.55
240,0.55
241,0.55
242,0.55
243,0.55
244,0.55
245,0.55
246,0.55
247,0.55
248,0.55
249,0.59
250,0.59
251,0.61
252,0.60
253,0.60
254,0.59
255,0.59
256,0.59
257,0.59
258,0.59
259,0.59
260,0.59
261,0.59
262,0.59
263,0.59
264,0.59
265,0.59
266,0.59
267,0.59
268,0.59
269,0.59
270,0.59
271,0.59
272,0.59
273,0.59
274,0.59
275,0.59
276,0.59
277,0.59
278,0.59
279,0.59
280,0.59
281,0.59
282,0.59
283,0.59
284,0.59
285,0.59
286,0.59
287,0.59
288,0.59
289,0.59
290,0.59
291,0.59
292,0.59
293,0.59
294,0.59
295,0.59
296,0.59
297,0.59
298,0.62
299,0.61
300,0.62
301,0.62
302,0.62
303,0.63
304,0.62
305,0.62
306,0.62
307,0.62
308,0.62
309,0.62
310,0.62
311,0.62
312,0.62
313,0.62
314,0.62
315,0.62
316,0.62
317,0.62
318,0.62
319,0.62
320,0.62
321,0.62
322,0.62
323,0.62
324,0.62
325,0.62
326,0.62
327,0.62
328,0.62
329,0.62
330,0.62
331,0.62
332,0.62
333,0.62
334,0.62
335,0.62
336,0.62
337,0.62
338,0.63
339,0.64
340,0.65
341,0.65
342,0.65
343,0.66
344,0.67
345,0.64
346,0.64
347,0.64
348,0.64
349,0.64
350,0.64
351,0.64
352,0.64
353,0.64
354,0.64
355,0.64
356,0.64
357,0.64
358,0.64
359,0.64
360,0.64
361,0.64
362,0.64
363,0.64
364,0.64
365,0.64
366,0.64
367,0.64
368,0.64
369,0.64
370,0.64
371,0.64
372,0.64
373,0.64
374,0.64
375,0.64
376,0.64
377,0.64
378,0.64
379,0.64
380,0.64
381,0.64
382,0.64
383,0.64
384,0.64
385,0.64
386,0.64
387,0.64
388,0.64
389,0.64
390,0.64
391,0.64
392,0.64
393,0.64
394,0.64
395,0.64
396,0.64
397,0.64
398,0.64
399,0.64
400,0.64
401,0.64
402,0.64
403,0.64
404,0.64
405,0.64
406,0.64
407,0.64
408,0.64
409,0.64
410,0.64
411,0.64
412,0.64
413,0.64
414,0.64
415,0.64
416,0.64
417,0.64
418,0.64
419,0.64
420,0.64
421,0.64
422,0.64
423,0.64
424,0.64
425,0.64
426,0.64
427,0.64
428,0.64
429,0.64
430,0.64
431,0.64
432,0.64
433,0.64
434,0.64
435,0.64
436,0.64
437,0.64
438,0.64
439,0.64
440,0.64
441,0.64
442,0.64
443,0.64
444,0.64
445,0.64
446,0.64
447,0.64
448,0.64
449,0.64
450,0.64
451,0.64
452,0.64
453,0.64
454,0.64
455,0.64
456,0.64
457,0.64
458,0.64
459,0.64
460,0.64
461,0.64
462,0.64
463,0.64
464,0.64
465,0.64
466,0.64
467,0.64
468,0.64
469,0.64
470,0.64
471,0.64
472,0.64
473,0.64
474,0.64
475,0.64
476,0.64
477,0.64
478,0.64
479,0.64
480,0.64
481,0.64
482,0.64
483,0.64
484,0.64
485,0.64
486,0.64
487,0.64
488,0.64
489,0.64
490,0.64
491,0.64
492,0.64
493,0.64
494,0.64
495,0.64
496,0.64
497,0.64
498,0.64
499,0.64
500,0.64
501,0.64
502,0.64
503,0.64
504,0.64
505,0.64
506,0.64
507,0.64
508,0.64
509,0.64
510,0.64
511,0.64
512,0.64
513,0.64
514,0.64
515,0.64
516,0.64
517,0.64
518,0.64
519,0.64
520,0.64
521,0.64
522,0.64
523,0.64
524,0.64
525,0.64
526,0.64
527,0.64
528,0.64
529,0.64
530,0.64
531,0.64
532,0.64
533,0.64
534,0.64
535,0.64
536,0.64
537,0.64
538,0.64
539,0.64
540,0.64
541,0.64
542,0.64
543,0.64
544,0.64
545,0.64
546,0.64
547,0.64
548,0.66
549,0.68
550,0.67
551,0.67
552,0.68
553,0.68
554,0.70
555,0.67
