[2019-11-29 10:28:34] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/29/19 	_x86_64_	(16 CPU)
[2019-11-29 10:28:34] 
[2019-11-29 10:28:34] 10:28:33      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2019-11-29 10:28:34] 10:28:34    20001     10071   1606.00      0.00  270124   18772   0.15  qrail-cli
[2019-11-29 10:28:35] 10:28:35    20001     10071  10667.00      0.00  443956   37080   0.30  qrail-cli
[2019-11-29 10:28:36] 10:28:36    20001     10071   6609.00      0.00  452180   45788   0.37  qrail-cli
[2019-11-29 10:28:37] 10:28:37    20001     10071   8192.00      0.00  460960   54444   0.44  qrail-cli
[2019-11-29 10:28:38] 10:28:38    20001     10071   4447.00      0.00  465924   59528   0.48  qrail-cli
[2019-11-29 10:28:39] 10:28:39    20001     10071   3219.00      0.00  471708   65316   0.53  qrail-cli
[2019-11-29 10:28:40] 10:28:40    20001     10071   2110.00      0.00  477736   70252   0.57  qrail-cli
[2019-11-29 10:28:41] 10:28:41    20001     10071    170.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:42] 10:28:42    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:43] 10:28:43    20001     10071     14.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:44] 10:28:44    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:45] 10:28:45    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:46] 10:28:46    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:47] 10:28:47    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:48] 10:28:48    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:49] 10:28:49    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:50] 10:28:50    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:51] 10:28:51    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:52] 10:28:52    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:53] 10:28:53    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:54] 10:28:54    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:55] 10:28:55    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:56] 10:28:56    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:57] 10:28:57    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:58] 10:28:58    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:28:59] 10:28:59    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:29:00] 10:29:00    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:29:01] 10:29:01    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:29:02] 10:29:02    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:29:03] 10:29:03    20001     10071      0.00      0.00  475280   68888   0.56  qrail-cli
[2019-11-29 10:29:04] 10:29:04    20001     10071    696.00      0.00  478412   71012   0.58  qrail-cli
[2019-11-29 10:29:05] 10:29:05    20001     10071   8400.00      0.00  478012   71264   0.58  qrail-cli
[2019-11-29 10:29:06] 10:29:06    20001     10071   3490.00      0.00  478116   71516   0.58  qrail-cli
[2019-11-29 10:29:07] 10:29:07    20001     10071   8044.00      0.00  478740   72292   0.59  qrail-cli
[2019-11-29 10:29:08] 10:29:08    20001     10071   4021.00      0.00  481784   74232   0.60  qrail-cli
[2019-11-29 10:29:09] 10:29:09    20001     10071   7229.00      0.00  481780   74336   0.61  qrail-cli
[2019-11-29 10:29:10] 10:29:10    20001     10071   2999.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:11] 10:29:11    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:12] 10:29:12    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:13] 10:29:13    20001     10071     14.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:14] 10:29:14    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:15] 10:29:15    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:16] 10:29:16    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:17] 10:29:17    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:18] 10:29:18    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:19] 10:29:19    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:20] 10:29:20    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:21] 10:29:21    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:22] 10:29:22    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:23] 10:29:23    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:24] 10:29:24    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:25] 10:29:25    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:26] 10:29:26    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:27] 10:29:27    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:28] 10:29:28    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:29] 10:29:29    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:30] 10:29:30    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:31] 10:29:31    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:32] 10:29:32    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
[2019-11-29 10:29:33] 10:29:33    20001     10071      0.00      0.00  478432   72068   0.59  qrail-cli
