time(s),mem(%)
0,0.17
1,0.17
2,0.17
3,0.17
4,0.17
5,0.17
6,0.17
7,0.17
8,0.17
9,0.17
10,0.17
11,0.17
12,0.17
13,0.17
14,0.17
15,0.17
16,0.32
17,0.40
18,0.47
19,0.52
20,0.55
21,0.55
22,0.55
23,0.55
24,0.55
25,0.55
26,0.55
27,0.55
28,0.55
29,0.55
30,0.57
31,0.58
32,0.59
33,0.59
34,0.59
35,0.58
36,0.58
37,0.58
38,0.58
39,0.58
40,0.58
41,0.58
42,0.58
43,0.58
44,0.58
45,0.58
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
52,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.58
58,0.58
59,0.58
60,0.58
61,0.58
62,0.58
63,0.58
64,0.58
65,0.58
66,0.58
67,0.61
68,0.61
69,0.62
70,0.61
71,0.61
72,0.63
73,0.61
74,0.61
75,0.61
76,0.61
77,0.61
78,0.61
79,0.61
80,0.61
81,0.61
82,0.61
83,0.61
84,0.61
85,0.61
86,0.61
87,0.61
88,0.61
89,0.61
90,0.61
91,0.61
92,0.61
93,0.61
94,0.61
95,0.61
96,0.61
97,0.61
98,0.61
99,0.61
100,0.61
101,0.61
102,0.61
103,0.61
104,0.64
105,0.62
106,0.65
107,0.64
108,0.64
109,0.65
110,0.63
111,0.63
112,0.63
113,0.63
114,0.63
115,0.63
116,0.63
117,0.63
118,0.63
119,0.63
120,0.65
121,0.67
122,0.67
123,0.67
124,0.67
125,0.66
126,0.68
127,0.66
128,0.66
129,0.66
130,0.66
131,0.66
132,0.66
133,0.66
134,0.66
135,0.66
136,0.66
137,0.66
138,0.66
139,0.66
140,0.66
141,0.66
142,0.66
143,0.66
144,0.66
145,0.66
146,0.66
147,0.66
148,0.66
149,0.66
150,0.66
151,0.66
152,0.66
153,0.66
154,0.66
155,0.66
156,0.66
157,0.68
158,0.70
159,0.69
160,0.69
161,0.69
162,0.69
163,0.71
164,0.68
165,0.68
166,0.68
167,0.68
168,0.68
169,0.68
170,0.68
171,0.68
172,0.68
173,0.68
174,0.68
175,0.68
176,0.68
177,0.68
178,0.68
179,0.68
180,0.68
181,0.68
182,0.68
183,0.68
184,0.68
185,0.68
186,0.68
187,0.68
188,0.68
189,0.68
190,0.68
191,0.68
192,0.68
193,0.68
194,0.68
195,0.68
196,0.68
197,0.68
198,0.68
199,0.68
200,0.68
201,0.68
202,0.68
203,0.68
204,0.68
205,0.68
206,0.68
207,0.70
208,0.72
209,0.71
210,0.71
211,0.71
212,0.72
213,0.73
214,0.71
215,0.71
216,0.71
217,0.71
218,0.71
219,0.71
220,0.71
221,0.71
222,0.71
223,0.71
224,0.71
225,0.71
226,0.71
227,0.71
228,0.71
229,0.71
230,0.71
231,0.71
232,0.71
233,0.71
234,0.71
235,0.71
236,0.71
237,0.71
238,0.71
239,0.71
240,0.71
241,0.71
242,0.71
243,0.71
244,0.71
245,0.71
246,0.71
247,0.74
248,0.74
249,0.73
250,0.73
251,0.74
252,0.74
253,0.76
254,0.73
255,0.73
256,0.73
257,0.73
258,0.73
259,0.73
260,0.73
261,0.73
262,0.73
263,0.73
264,0.73
265,0.73
266,0.73
267,0.73
268,0.73
269,0.73
270,0.73
271,0.73
272,0.73
273,0.73
274,0.73
275,0.73
276,0.73
277,0.73
278,0.73
279,0.73
280,0.73
281,0.73
282,0.73
283,0.73
284,0.73
285,0.73
286,0.73
287,0.73
288,0.73
289,0.73
290,0.73
291,0.73
292,0.73
293,0.73
294,0.73
295,0.73
296,0.73
297,0.75
298,0.76
299,0.76
300,0.76
301,0.76
302,0.76
303,0.76
304,0.78
305,0.75
306,0.75
307,0.75
308,0.75
309,0.75
310,0.75
311,0.75
312,0.75
313,0.75
314,0.75
315,0.75
316,0.75
317,0.75
318,0.75
319,0.75
320,0.75
321,0.75
322,0.75
323,0.75
324,0.75
325,0.75
326,0.75
327,0.75
328,0.75
329,0.75
330,0.75
331,0.75
332,0.75
333,0.75
334,0.75
335,0.75
336,0.75
337,0.78
338,0.79
339,0.78
340,0.79
341,0.79
342,0.78
343,0.80
344,0.78
345,0.78
346,0.78
347,0.78
348,0.78
349,0.78
350,0.78
351,0.78
352,0.78
353,0.78
354,0.78
355,0.78
356,0.78
357,0.78
358,0.78
359,0.78
360,0.78
361,0.78
362,0.78
363,0.78
364,0.78
