time(s),cpu(%)
0,1.00
1,0.00
2,1.00
3,0.00
4,0.00
5,1.00
6,0.00
7,1.00
8,0.00
9,2.00
10,0.00
11,0.00
12,1.00
13,0.00
14,5.00
15,1.00
16,0.00
17,0.00
18,1.00
19,1.00
20,0.00
21,1.00
22,0.00
23,0.00
24,1.00
25,0.00
26,1.00
27,0.00
28,1.00
29,0.00
30,0.99
31,0.00
32,0.00
33,1.00
34,0.00
35,1.00
36,0.00
37,1.00
38,0.00
39,2.00
40,1.00
41,1.00
42,0.00
43,1.00
44,10.00
45,1.00
46,0.00
47,1.00
48,0.00
49,1.00
50,0.00
51,1.00
52,0.00
53,1.00
54,0.00
55,1.00
56,1.00
57,0.00
58,1.00
59,0.00
60,0.00
61,1.00
62,1.00
63,0.00
64,1.00
65,1.00
66,0.00
67,1.00
68,0.00
69,4.00
70,0.00
71,1.00
72,0.00
73,1.00
74,6.00
75,0.00
76,1.00
77,0.00
78,1.00
79,0.00
80,0.00
81,1.00
82,0.00
83,1.00
84,0.00
85,1.00
86,1.00
87,0.00
88,1.00
89,0.00
90,1.00
91,0.00
92,0.00
93,1.00
94,1.00
95,0.00
96,1.00
97,0.00
98,1.00
99,2.00
100,1.00
101,1.00
102,0.00
103,0.00
104,6.00
105,1.00
106,0.00
107,1.00
108,0.00
109,1.00
110,0.00
111,1.00
112,0.00
113,0.00
114,1.00
115,1.00
116,1.00
117,0.00
118,1.00
119,0.00
120,1.00
121,1.00
122,0.00
123,1.00
124,0.00
125,1.00
126,1.00
127,0.00
128,1.00
129,2.00
130,1.00
131,0.00
132,2.00
133,0.00
134,11.00
135,1.00
136,0.00
137,1.00
138,0.00
139,1.00
140,1.00
141,0.00
142,0.00
143,1.00
144,1.00
145,1.00
146,1.00
147,0.00
148,1.00
149,2.00
150,0.00
151,1.00
152,0.00
153,1.00
154,0.00
155,1.00
156,1.00
157,0.00
158,1.00
159,5.00
160,1.00
161,1.00
162,0.00
163,0.00
164,5.00
165,1.00
166,0.00
167,0.99
168,1.00
169,0.00
170,1.00
171,1.00
172,0.00
173,1.00
174,1.00
175,1.00
176,1.00
177,0.00
178,0.00
179,1.00
180,1.00
181,0.00
182,2.00
183,0.00
184,1.00
185,1.00
186,0.00
187,1.00
188,1.00
189,2.00
190,1.00
191,1.00
192,0.00
193,1.00
194,5.00
195,1.00
196,1.00
197,0.00
198,0.00
199,1.00
200,1.00
201,1.00
202,0.00
203,1.00
204,1.00
205,0.00
206,2.00
207,1.00
208,0.00
209,1.00
210,0.00
211,1.00
212,1.00
213,1.00
214,1.00
215,0.00
216,1.00
217,0.00
218,1.00
219,3.00
220,1.00
221,1.00
222,1.00
223,1.00
224,12.00
225,1.00
226,0.00
227,1.00
228,1.00
229,0.00
230,2.00
231,1.00
232,1.00
233,0.00
234,1.00
235,1.00
236,1.00
237,0.00
238,1.00
239,1.00
240,1.00
241,1.00
242,0.00
243,1.00
244,1.00
245,1.00
246,0.00
247,2.00
248,1.00
249,4.00
250,1.00
251,0.00
252,1.00
253,1.00
254,5.00
255,0.00
256,1.00
257,1.00
258,0.00
259,1.00
260,2.00
261,1.00
262,1.00
263,0.00
264,1.00
265,0.00
266,1.00
267,1.00
268,1.00
269,1.00
270,0.00
271,1.00
272,1.00
273,1.00
274,1.00
275,1.00
276,0.00
277,1.00
278,2.00
279,2.00
280,0.00
281,1.00
282,1.00
283,1.00
284,12.00
285,1.00
286,1.00
287,1.00
288,0.00
289,1.00
290,1.00
291,2.00
292,0.00
293,1.00
294,1.00
295,1.00
296,1.00
297,1.00
298,0.99
299,1.00
300,1.00
301,1.00
302,1.00
303,1.00
304,0.00
305,2.00
306,1.00
307,0.00
308,2.00
309,5.00
310,0.00
311,1.00
312,2.00
313,0.00
314,5.00
315,1.00
316,2.00
317,0.00
318,1.00
319,1.00
320,1.00
321,1.00
322,1.00
323,1.00
324,1.00
325,1.00
326,0.00
327,1.00
328,2.00
329,0.00
330,2.00
331,1.00
332,1.00
333,1.00
334,1.00
335,0.00
336,1.00
337,1.00
338,2.00
339,2.00
340,1.00
341,1.00
342,1.00
343,1.00
344,12.00
345,1.00
346,1.00
347,1.00
348,1.00
349,1.00
350,1.00
351,1.00
352,0.00
353,2.00
354,0.00
355,1.00
356,1.00
357,1.00
358,1.00
359,1.00
360,2.00
361,0.00
362,2.00
363,1.00
364,1.00
365,1.00
366,1.00
367,1.00
368,1.00
369,5.00
370,1.00
371,0.00
372,1.00
373,1.00
374,6.00
375,1.00
376,1.00
377,1.00
378,2.00
379,1.00
380,1.00
381,1.00
382,1.00
383,0.00
384,1.00
385,1.00
386,1.00
387,1.00
388,2.00
389,1.00
390,1.00
391,1.00
392,1.00
393,1.00
394,1.00
395,1.00
396,1.00
397,1.00
398,1.00
399,4.00
400,2.00
401,1.00
402,1.00
403,1.00
404,11.00
405,2.00
406,1.00
407,1.00
408,1.00
409,1.00
410,1.00
411,1.00
412,2.00
413,0.00
414,1.00
415,2.00
416,1.00
417,1.00
418,1.00
419,1.00
420,1.00
421,1.00
422,1.00
423,1.00
424,2.00
425,1.00
426,1.00
427,1.00
428,1.00
429,5.00
430,1.00
431,1.98
432,1.00
433,1.00
434,6.00
435,1.00
436,1.00
437,1.00
438,1.00
439,1.00
440,1.00
441,1.00
442,1.00
443,2.00
444,1.00
445,1.00
446,1.00
447,1.00
448,1.00
449,2.00
450,1.00
451,1.00
452,1.00
453,1.00
454,1.00
455,1.00
456,2.00
457,1.00
458,1.00
459,3.00
460,1.00
461,1.00
462,1.00
463,1.00
464,12.00
465,2.00
466,1.00
467,1.00
468,1.00
469,1.00
470,2.00
471,1.00
472,8.00
473,9.00
474,1.00
475,1.00
476,1.00
477,3.00
478,1.00
479,1.00
480,2.00
481,1.00
482,2.00
483,1.00
484,2.00
485,2.00
486,2.00
487,1.00
488,1.00
489,6.00
490,1.00
491,2.00
492,1.00
493,2.00
494,6.00
495,3.00
496,3.00
497,2.00
498,3.00
499,1.00
500,1.00
501,3.00
502,1.00
503,2.00
504,1.00
505,2.00
506,1.00
507,2.00
508,2.00
509,1.00
510,1.00
511,1.00
512,2.00
513,2.00
514,1.00
515,1.00
516,2.00
517,1.00
518,1.00
519,4.00
520,1.00
521,2.00
522,1.00
523,3.00
524,11.00
525,4.00
526,3.00
527,1.00
528,2.00
529,1.00
530,1.00
531,2.00
532,1.00
533,2.00
534,1.00
535,2.00
536,2.00
537,1.00
538,1.00
539,1.00
540,3.00
541,1.00
542,1.00
543,1.00
544,2.00
545,2.00
546,2.00
547,2.00
548,1.00
549,5.00
550,1.00
551,2.00
552,2.00
553,1.00
554,8.00
555,1.00
556,1.00
557,3.00
558,2.00
559,1.00
560,2.00
561,1.00
562,2.00
563,2.00
564,0.99
565,2.00
566,1.00
567,2.00
568,1.00
569,2.00
570,1.00
571,1.00
572,2.00
573,1.00
574,2.00
575,1.00
576,1.00
577,2.00
578,1.00
579,4.00
580,1.00
581,1.00
582,2.00
583,1.00
584,12.00
585,2.00
586,2.00
587,1.00
588,2.00
589,1.00
590,2.00
591,1.00
592,2.00
593,1.00
594,1.00
595,2.00
596,1.00
597,2.00
598,2.00
599,1.00
600,1.00
601,2.00
602,3.00
603,1.00
604,2.00
605,1.00
606,2.00
607,1.00
608,2.00
609,5.00
610,1.00
611,2.00
612,1.00
613,1.00
614,7.00
615,1.00
616,1.00
617,1.00
618,2.00
619,1.00
620,2.00
621,2.00
622,1.00
623,2.00
624,2.00
625,1.00
626,1.00
627,1.00
628,2.00
629,3.00
630,1.00
631,2.00
632,1.00
633,2.00
634,1.00
635,2.00
636,2.00
637,1.00
638,1.00
639,4.00
640,1.00
641,2.00
642,1.00
643,1.00
644,12.00
645,1.00
646,2.00
647,2.00
648,1.00
649,1.00
650,2.00
651,2.00
652,8.00
653,9.00
654,2.00
655,2.00
656,1.00
657,3.00
658,1.00
659,2.00
660,2.00
661,2.00
662,3.00
663,2.00
664,1.00
665,3.00
666,2.00
667,1.00
668,3.00
669,7.00
670,3.00
671,4.00
672,2.00
673,1.00
674,7.00
675,3.00
676,2.00
677,2.00
678,2.00
679,2.00
680,2.00
681,1.00
682,2.00
683,2.00
684,2.00
685,1.00
686,3.00
687,2.00
688,1.00
689,1.00
690,3.00
691,2.00
692,2.97
693,2.00
694,2.00
695,2.00
696,3.00
697,2.00
698,1.00
699,4.00
700,2.00
701,2.00
702,2.00
703,2.00
704,11.00
705,2.00
706,1.00
707,2.00
708,2.00
709,1.00
710,2.00
711,2.00
712,1.00
713,2.00
714,1.00
715,3.00
716,2.00
717,2.00
