[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-29 14:02:21] 14:02:21    20001     22897    1.00    0.00    0.00    0.00    1.00     0  node /users/dyv
[2020-01-29 14:02:22] 14:02:22    20001     22897    0.00    0.00    0.00    0.00    0.00     0  node /users/dyv
[2020-01-29 14:02:23] 14:02:23    20001     22897    1.00    0.00    0.00    0.00    1.00     0  node /users/dyv
[2020-01-29 14:02:24] 14:02:24    20001     22897    0.00    0.00    0.00    0.00    0.00     0  node /users/dyv
[2020-01-29 14:02:25] 14:02:25    20001     22897    0.00    0.00    0.00    0.00    0.00    15  node /users/dyv
[2020-01-29 14:02:26] 14:02:26    20001     22897    1.00    0.00    0.00    0.00    1.00    12  node /users/dyv
[2020-01-29 14:02:27] 14:02:27    20001     22897    0.00    0.00    0.00    0.00    0.00    12  node /users/dyv
[2020-01-29 14:02:28] 14:02:28    20001     22897    1.00    0.00    0.00    0.00    1.00     0  node /users/dyv
[2020-01-29 14:02:29] 14:02:29    20001     22897    0.00    0.00    0.00    0.00    0.00     2  node /users/dyv
[2020-01-29 14:02:30] 14:02:30    20001     22897    2.00    0.00    0.00    0.00    2.00     2  node /users/dyv
[2020-01-29 14:02:31] 14:02:31    20001     22897    0.00    0.00    0.00    0.00    0.00    12  node /users/dyv
[2020-01-29 14:02:32] 14:02:32    20001     22897    0.00    0.00    0.00    0.00    0.00     2  node /users/dyv
[2020-01-29 14:02:33] 14:02:33    20001     22897    1.00    0.00    0.00    0.00    1.00     4  node /users/dyv
[2020-01-29 14:02:34] 14:02:34    20001     22897    0.00    0.00    0.00    0.00    0.00    14  node /users/dyv
[2020-01-29 14:02:35] 14:02:35    20001     22897    5.00    0.00    0.00    0.00    5.00    14  node /users/dyv
[2020-01-29 14:02:36] 14:02:36    20001     22897    1.00    0.00    0.00    0.00    1.00    14  node /users/dyv
[2020-01-29 14:02:37] 14:02:37    20001     22897    0.00    0.00    0.00    0.00    0.00     3  node /users/dyv
[2020-01-29 14:02:38] 14:02:38    20001     22897    0.00    0.00    0.00    0.00    0.00    14  node /users/dyv
[2020-01-29 14:02:39] 14:02:39    20001     22897    1.00    0.00    0.00    0.00    1.00    14  node /users/dyv
[2020-01-29 14:02:40] 14:02:40    20001     22897    0.00    1.00    0.00    0.00    1.00     3  node /users/dyv
[2020-01-29 14:02:41] 14:02:41    20001     22897    0.00    0.00    0.00    0.00    0.00     6  node /users/dyv
[2020-01-29 14:02:42] 14:02:42    20001     22897    1.00    0.00    0.00    0.00    1.00     0  node /users/dyv
[2020-01-29 14:02:43] 14:02:43    20001     22897    0.00    0.00    0.00    0.00    0.00     0  node /users/dyv
[2020-01-29 14:02:44] 14:02:44    20001     22897    0.00    0.00    0.00    0.00    0.00     4  node /users/dyv
[2020-01-29 14:02:45] 14:02:45    20001     22897    1.00    0.00    0.00    0.00    1.00     2  node /users/dyv
[2020-01-29 14:02:46] 14:02:46    20001     22897    0.00    0.00    0.00    0.00    0.00     7  node /users/dyv
[2020-01-29 14:02:47] 14:02:47    20001     22897    1.00    0.00    0.00    0.00    1.00    12  node /users/dyv
[2020-01-29 14:02:48] 14:02:48    20001     22897    0.00    0.00    0.00    0.00    0.00     2  node /users/dyv
[2020-01-29 14:02:49] 14:02:49    20001     22897    1.00    0.00    0.00    0.00    1.00     4  node /users/dyv
[2020-01-29 14:02:50] 14:02:50    20001     22897    0.00    0.00    0.00    0.00    0.00     4  node /users/dyv
[2020-01-29 14:02:51] 14:02:51    20001     22897    0.99    0.00    0.00    0.00    0.99     5  node /users/dyv
[2020-01-29 14:02:52] 14:02:52    20001     22897    0.00    0.00    0.00    0.00    0.00     5  node /users/dyv
[2020-01-29 14:02:53] 14:02:53    20001     22897    0.00    0.00    0.00    0.00    0.00     3  node /users/dyv
[2020-01-29 14:02:54] 14:02:54    20001     22897    1.00    0.00    0.00    0.00    1.00     3  node /users/dyv
[2020-01-29 14:02:55] 14:02:55    20001     22897    0.00    0.00    0.00    0.00    0.00     5  node /users/dyv
