[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:02:21] 14:02:21    20001     22897    116.00      0.00 1687788  489180   3.98  node /users/dyv
[2020-01-29 14:02:22] 14:02:22    20001     22897    128.00      0.00 1687788  489708   3.99  node /users/dyv
[2020-01-29 14:02:23] 14:02:23    20001     22897    119.00      0.00 1687788  490236   3.99  node /users/dyv
[2020-01-29 14:02:24] 14:02:24    20001     22897    135.00      0.00 1687788  490764   4.00  node /users/dyv
[2020-01-29 14:02:25] 14:02:25    20001     22897    121.00      0.00 1687788  491288   4.00  node /users/dyv
[2020-01-29 14:02:26] 14:02:26    20001     22897    137.00      0.00 1687788  491816   4.00  node /users/dyv
[2020-01-29 14:02:27] 14:02:27    20001     22897    120.00      0.00 1687788  492080   4.01  node /users/dyv
[2020-01-29 14:02:28] 14:02:28    20001     22897    135.00      0.00 1687788  492864   4.01  node /users/dyv
[2020-01-29 14:02:29] 14:02:29    20001     22897    117.00      0.00 1687788  493128   4.01  node /users/dyv
[2020-01-29 14:02:30] 14:02:30    20001     22897    871.00      0.00 1687788  496608   4.04  node /users/dyv
[2020-01-29 14:02:31] 14:02:31    20001     22897    130.00      0.00 1687788  496872   4.04  node /users/dyv
[2020-01-29 14:02:32] 14:02:32    20001     22897    121.00      0.00 1687788  497396   4.05  node /users/dyv
[2020-01-29 14:02:33] 14:02:33    20001     22897    132.00      0.00 1687788  497920   4.05  node /users/dyv
[2020-01-29 14:02:34] 14:02:34    20001     22897    121.00      0.00 1687788  498448   4.06  node /users/dyv
[2020-01-29 14:02:35] 14:02:35    20001     22897    865.00      0.00 1687788  500788   4.08  node /users/dyv
[2020-01-29 14:02:36] 14:02:36    20001     22897      0.00      0.00 1687788  500788   4.08  node /users/dyv
[2020-01-29 14:02:37] 14:02:37    20001     22897      9.00      0.00 1687788  500788   4.08  node /users/dyv
[2020-01-29 14:02:38] 14:02:38    20001     22897     24.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:39] 14:02:39    20001     22897      0.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:40] 14:02:40    20001     22897      1.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:41] 14:02:41    20001     22897      0.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:42] 14:02:42    20001     22897      2.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:43] 14:02:43    20001     22897      0.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:44] 14:02:44    20001     22897     10.00      0.00 1687788  500912   4.08  node /users/dyv
[2020-01-29 14:02:45] 14:02:45    20001     22897    118.00      0.00 1687788  501352   4.08  node /users/dyv
[2020-01-29 14:02:46] 14:02:46    20001     22897    122.00      0.00 1687788  501880   4.09  node /users/dyv
[2020-01-29 14:02:47] 14:02:47    20001     22897    131.68      0.00 1687788  502400   4.09  node /users/dyv
[2020-01-29 14:02:48] 14:02:48    20001     22897    118.00      0.00 1687788  502664   4.09  node /users/dyv
[2020-01-29 14:02:49] 14:02:49    20001     22897    224.00      0.00 1687788  503716   4.10  node /users/dyv
[2020-01-29 14:02:50] 14:02:50    20001     22897    167.00      0.00 1687788  504236   4.10  node /users/dyv
[2020-01-29 14:02:51] 14:02:51    20001     22897    124.00      0.00 1687788  504764   4.11  node /users/dyv
[2020-01-29 14:02:52] 14:02:52    20001     22897    133.00      0.00 1687788  505284   4.11  node /users/dyv
[2020-01-29 14:02:53] 14:02:53    20001     22897    118.00      0.00 1687788  505812   4.12  node /users/dyv
[2020-01-29 14:02:54] 14:02:54    20001     22897    135.00      0.00 1687788  506332   4.12  node /users/dyv
[2020-01-29 14:02:55] 14:02:55    20001     22897    121.00      0.00 1687788  506860   4.13  node /users/dyv
[2020-01-29 14:02:56] 14:02:56    20001     22897    138.00      0.00 1687788  507376   4.13  node /users/dyv
[2020-01-29 14:02:57] 14:02:57    20001     22897    122.00      0.00 1687788  507904   4.13  node /users/dyv
[2020-01-29 14:02:58] 14:02:58    20001     22897    137.00      0.00 1687788  508412   4.14  node /users/dyv
[2020-01-29 14:02:59] 14:02:59    20001     22897    136.00      0.00 1687788  508940   4.14  node /users/dyv
[2020-01-29 14:03:00] 14:03:00    20001     22897   1033.00      0.00 1687788  512196   4.17  node /users/dyv
[2020-01-29 14:03:01] 14:03:01    20001     22897    126.00      0.00 1687788  512724   4.17  node /users/dyv
[2020-01-29 14:03:02] 14:03:02    20001     22897     80.00      0.00 1687788  512988   4.18  node /users/dyv
[2020-01-29 14:03:03] 14:03:03    20001     22897      0.00      0.00 1687788  512988   4.18  node /users/dyv
[2020-01-29 14:03:04] 14:03:04    20001     22897     69.00      0.00 1687788  513236   4.18  node /users/dyv
[2020-01-29 14:03:05] 14:03:05    20001     22897    953.00      0.00 1687788  489536   3.99  node /users/dyv
[2020-01-29 14:03:06] 14:03:06    20001     22897     56.00      0.00 1687788  489536   3.99  node /users/dyv
[2020-01-29 14:03:07] 14:03:07    20001     22897     77.00      0.00 1687788  489764   3.99  node /users/dyv
[2020-01-29 14:03:08] 14:03:08    20001     22897    120.00      0.00 1687788  490292   3.99  node /users/dyv
[2020-01-29 14:03:09] 14:03:09    20001     22897    103.00      0.00 1687788  490556   3.99  node /users/dyv
[2020-01-29 14:03:10] 14:03:10    20001     22897      0.00      0.00 1687788  490556   3.99  node /users/dyv
[2020-01-29 14:03:11] 14:03:11    20001     22897     41.00      0.00 1687788  490820   4.00  node /users/dyv
[2020-01-29 14:03:12] 14:03:12    20001     22897    125.00      0.00 1687788  491348   4.00  node /users/dyv
[2020-01-29 14:03:13] 14:03:13    20001     22897     84.00      0.00 1687788  488540   3.98  node /users/dyv
[2020-01-29 14:03:14] 14:03:14    20001     22897      0.00      0.00 1687788  488540   3.98  node /users/dyv
[2020-01-29 14:03:15] 14:03:15    20001     22897     64.00      0.00 1687788  487780   3.97  node /users/dyv
[2020-01-29 14:03:16] 14:03:16    20001     22897    123.00      0.00 1687788  488308   3.98  node /users/dyv
[2020-01-29 14:03:17] 14:03:17    20001     22897    136.00      0.00 1687788  487824   3.97  node /users/dyv
[2020-01-29 14:03:18] 14:03:18    20001     22897    119.00      0.00 1687788  488352   3.98  node /users/dyv
[2020-01-29 14:03:19] 14:03:19    20001     22897    133.00      0.00 1687788  487876   3.97  node /users/dyv
[2020-01-29 14:03:20] 14:03:20    20001     22897    124.00      0.00 1687788  488404   3.98  node /users/dyv
[2020-01-29 14:03:21] 14:03:21    20001     22897    141.00      0.00 1687788  487924   3.97  node /users/dyv
[2020-01-29 14:03:22] 14:03:22    20001     22897    125.00      0.00 1687788  488452   3.98  node /users/dyv
[2020-01-29 14:03:23] 14:03:23    20001     22897    139.00      0.00 1687788  487956   3.97  node /users/dyv
[2020-01-29 14:03:24] 14:03:24    20001     22897    122.00      0.00 1687788  488484   3.98  node /users/dyv
[2020-01-29 14:03:25] 14:03:25    20001     22897    143.00      0.00 1687788  487988   3.97  node /users/dyv
[2020-01-29 14:03:26] 14:03:26    20001     22897    125.00      0.00 1687788  488516   3.98  node /users/dyv
[2020-01-29 14:03:27] 14:03:27    20001     22897    140.00      0.00 1687788  488020   3.97  node /users/dyv
[2020-01-29 14:03:28] 14:03:28    20001     22897    124.00      0.00 1687788  488548   3.98  node /users/dyv
