time,up(bps),down(bps)
0,136,0
0,217,0
0,326,0
0,435,0
0,544,0
0,544,0
4,544,0
4,544,0
4,544,0
4,544,0
7,544,0
7,544,0
7,544,0
11,544,0
11,544,0
11,544,0
11,544,0
14,544,0
14,544,0
14,544,0
18,544,0
18,544,0
18,544,0
18,544,0
22,544,0
22,544,0
22,556,0
22,556,0
25,556,0
25,556,0
25,665,0
28,761,0
28,870,0
28,979,0
30,1088,0
30,1088,0
31,1088,0
33,1088,0
33,1088,0
35,1088,0
35,1088,0
37,1088,0
37,1088,0
39,1088,0
39,1088,0
41,1088,0
41,1088,0
43,1088,0
43,1088,0
45,1088,0
46,1088,0
46,1088,0
48,1088,0
48,1088,0
50,1088,0
50,1088,0
52,1088,0
52,1088,0
54,1088,0
54,1088,0
56,1196,0
56,1305,0
57,1414,0
58,1523,0
60,1606,0
60,1577,0
61,1577,0
62,1577,0
64,1577,0
64,1603,0
65,1632,0
66,1632,0
67,1632,0
69,1632,0
69,1632,0
70,1632,0
71,1632,0
72,1632,0
74,1632,0
74,1632,0
75,1632,0
76,1632,0
77,1632,0
79,1632,0
79,1632,0
80,1632,0
81,1632,0
83,1632,0
84,1632,0
84,1632,0
85,1740,0
86,1849,0
87,1958,0
88,2067,0
89,2176,0
90,2121,0
91,2121,0
92,2121,0
93,2121,0
94,2121,0
95,2176,0
96,2176,0
97,2176,0
98,2176,0
99,2176,0
100,2176,0
101,2176,0
102,2176,0
103,2176,0
104,2176,0
105,2176,0
106,2176,0
107,2176,0
108,2176,0
109,2176,0
110,2176,0
111,2176,0
112,2176,0
113,2176,0
114,2176,0
115,2284,0
116,2393,0
117,2502,0
118,2611,0
119,2720,0
120,2720,0
121,2665,0
122,2665,0
123,2665,0
124,2665,0
125,2665,0
126,2720,0
127,2720,0
128,2720,0
129,2720,0
130,2720,0
131,2720,0
132,2720,0
133,2720,0
134,2720,0
135,2720,0
136,2720,0
137,2720,0
138,2720,0
139,2720,0
140,2720,0
141,2720,0
142,2720,0
143,2720,0
144,2720,0
145,2828,0
146,2937,0
147,3046,0
148,3155,0
149,3264,0
150,3251,0
151,3264,0
152,3209,0
153,3209,0
154,3209,0
155,3222,0
156,3209,0
157,3264,0
158,3264,0
159,3264,0
160,3264,0
161,3264,0
162,3264,0
163,3264,0
164,3264,0
165,3264,0
166,3264,0
167,3264,0
168,3264,0
169,3264,0
170,3264,0
171,3264,0
172,3264,0
173,3264,0
174,3264,0
175,3372,0
176,3481,0
177,3590,0
178,3699,0
179,3808,0
180,3808,0
181,3808,0
182,3808,0
183,3753,0
184,3753,0
185,3753,0
186,3753,0
187,3753,0
