time(s),total_rx(bytes)
0,0
1,0
2,0
3,554
4,1662
5,2770
6,3878
7,4986
8,6094
10,7202
11,8310
12,9418
13,10526
14,11634
15,12742
16,13850
17,15512
18,16620
19,17728
20,18836
21,19944
22,21052
23,22160
24,23268
25,24376
26,25484
27,26592
28,27700
29,28808
30,29916
31,31578
32,32686
33,34208
34,36144
35,38080
37,40016
38,41952
39,43888
40,45824
41,47760
42,49696
43,52046
44,53982
45,55918
46,58408
47,60344
48,62280
49,64216
50,66152
51,68088
52,70024
53,71960
54,73896
55,75832
56,77768
57,80118
58,82054
59,83990
60,86480
61,88416
63,90352
64,92702
65,95466
66,98230
67,100994
68,103758
69,106936
70,109700
71,112464
72,115642
73,118406
74,121170
75,124488
76,127252
77,130016
78,132780
79,135544
80,138308
81,141072
82,143836
83,147014
84,149778
85,152542
86,155720
87,158484
89,161248
90,164566
91,167330
92,170094
93,172858
94,176036
95,180042
96,183634
97,187226
98,191232
99,194824
100,198416
101,202422
102,206014
103,209606
104,213752
105,217344
106,220936
107,224528
108,228120
109,232126
110,235718
111,239310
112,243316
113,246908
115,250500
116,254506
117,258098
118,261690
119,265836
120,269428
121,273020
122,276612
123,280204
124,285038
125,289458
126,293878
127,298712
128,303132
129,307552
130,312386
131,316806
132,321226
133,326200
134,331034
135,335454
136,339874
137,344294
138,349128
139,353548
141,357968
142,362802
143,367222
144,371642
145,376476
146,380896
147,385316
148,390290
149,395124
150,399544
151,403964
152,408798
153,413218
154,418466
155,423714
156,429376
157,434624
158,439872
159,445534
160,451196
161,456444
162,462246
163,467908
164,472742
165,478404
167,484066
168,489314
169,494562
170,499810
171,505472
172,510720
173,515968
174,521630
175,527292
176,532540
177,538342
178,544004
179,549252
180,554500
181,560162
182,565410
183,570658
184,576734
185,583224
186,589714
187,595790
188,602280
189,608770
190,614846
191,621476
193,627966
194,634042
195,640118
196,646608
197,652684
198,658760
199,664836
200,671326
201,677816
202,683892
203,690382
204,696872
205,702948
206,709578
207,716068
208,722144
209,728220
210,734710
211,740786
212,746862
213,753352
214,760670
215,767988
216,774892
217,782210
219,789528
220,796432
221,803890
222,811208
223,818112
224,825016
225,832334
226,839652
227,846556
228,853460
229,860778
230,868096
231,875000
232,882318
233,889636
234,896540
235,903998
236,911316
237,918220
238,925124
239,932442
240,939760
241,946664
242,953568
243,961300
245,969446
246,977178
247,985324
248,993470
249,1001202
250,1009008
251,1017634
252,1025780
253,1033512
254,1041658
255,1049804
256,1057536
257,1065268
258,1073414
259,1081560
260,1089292
261,1097438
262,1105584
263,1113316
264,1121048
265,1129748
266,1137894
267,1145626
268,1153772
269,1161918
271,1169650
272,1177382
273,1185942
274,1194088
275,1202648
276,1211622
277,1220596
278,1229570
279,1238684
280,1247658
281,1256632
282,1265192
283,1274166
284,1283140
285,1291700
286,1300260
287,1309648
288,1318208
289,1326768
290,1335742
291,1344716
292,1353690
293,1362250
294,1371778
295,1380752
296,1389312
298,1397872
299,1407260
300,1415820
301,1424380
302,1433354
303,1442328
304,1451716
305,1461518
306,1471320
307,1481122
308,1490510
309,1500866
310,1510668
311,1520056
312,1529858
313,1539660
314,1549048
315,1558436
316,1568238
317,1578040
318,1587842
319,1597644
320,1607446
321,1617248
322,1626636
324,1636992
325,1646794
326,1656182
327,1665570
328,1675786
329,1685174
330,1694562
331,1704364
332,1714166
333,1723968
334,1734598
335,1745228
336,1755858
337,1766074
338,1777258
339,1787888
340,1798104
341,1808320
342,1819364
343,1829994
344,1840210
345,1850840
346,1861470
347,1872100
348,1882730
350,1893360
351,1903990
352,1914206
353,1925390
354,1936020
355,1946236
356,1956452
357,1967496
358,1978126
359,1988342
360,1998972
361,2009602
362,2020232
363,2030448
364,2042320
365,2053778
366,2064822
367,2076834
368,2088292
369,2099750
370,2110794
371,2122666
372,2134124
373,2145168
374,2156626
376,2168498
377,2179542
378,2191000
379,2202458
380,2213916
381,2224960
382,2236972
383,2248430
384,2259888
385,2270932
386,2282804
387,2294262
388,2305306
389,2316764
390,2328636
391,2339680
392,2350724
393,2362596
394,2374882
395,2387168
396,2400008
397,2412294
398,2424580
399,2436452
400,2449152
402,2461438
403,2473310
404,2485596
405,2498296
406,2510168
407,2522040
408,2534740
409,2547026
