time(s),total_tx(bytes)
0,0
1,0
2,0
3,508
4,1524
5,2540
6,3556
7,4572
8,5588
10,6604
11,7620
12,8636
13,9652
14,10668
15,11684
16,12700
17,14224
18,15240
19,16256
20,17272
21,18288
22,19304
23,20320
24,21336
25,22352
26,23368
27,24384
28,25400
29,26416
30,27432
31,28956
32,29972
33,31356
34,33108
35,34860
37,36612
38,38364
39,40116
40,41868
41,43620
42,45372
43,47492
44,49244
45,50996
46,53256
47,55008
48,56760
49,58512
50,60264
51,62016
52,63768
53,65520
54,67272
55,69024
56,70776
57,72896
58,74648
59,76400
60,78660
61,80412
63,82164
64,84284
65,86772
66,89260
67,91748
68,94236
69,97092
70,99580
71,102068
72,104924
73,107412
74,109900
75,112896
76,115384
77,117872
78,120360
79,122848
80,125336
81,127824
82,130312
83,133168
84,135656
85,138144
86,141000
87,143488
89,145976
90,148972
91,151460
92,153948
93,156436
94,159292
95,162884
96,166108
97,169332
98,172924
99,176148
100,179372
101,182964
102,186188
103,189412
104,193144
105,196368
106,199592
107,202816
108,206040
109,209632
110,212856
111,216080
112,219672
113,222896
115,226120
116,229712
117,232936
118,236160
119,239892
120,243116
121,246340
122,249564
123,252788
124,257116
125,261076
126,265036
127,269364
128,273324
129,277284
130,281612
131,285572
132,289532
133,294000
134,298328
135,302288
136,306248
137,310208
138,314536
139,318496
141,322456
142,326784
143,330744
144,334704
145,339032
146,342992
147,346952
148,351420
149,355748
150,359708
151,363668
152,367996
153,371956
154,376652
155,381348
156,386412
157,391108
158,395804
159,400868
160,405932
161,410628
162,415832
163,420896
164,425224
165,430288
167,435352
168,440048
169,444744
170,449440
171,454504
172,459200
173,463896
174,468960
175,474024
176,478720
177,483924
178,488988
179,493684
180,498380
181,503444
182,508140
183,512836
184,518268
185,524068
186,529868
187,535300
188,541100
189,546900
190,552332
191,558272
193,564072
194,569504
195,574936
196,580736
197,586168
198,591600
199,597032
200,602832
201,608632
202,614064
203,619864
204,625664
205,631096
206,637036
207,642836
208,648268
209,653700
210,659500
211,664932
212,670364
213,676164
214,682700
215,689236
216,695404
217,701940
219,708476
220,714644
221,721320
222,727856
223,734024
224,740192
225,746728
226,753264
227,759432
228,765600
229,772136
230,778672
231,784840
232,791376
233,797912
234,804080
235,810756
236,817292
237,823460
238,829628
239,836164
240,842700
241,848868
242,855036
243,861940
245,869212
246,876116
247,883388
248,890660
249,897564
250,904542
251,912248
252,919520
253,926424
254,933696
255,940968
256,947872
257,954776
258,962048
259,969320
260,976224
261,983496
262,990768
263,997672
264,1004576
265,1012356
266,1019628
267,1026532
268,1033804
269,1041076
271,1047980
272,1054884
273,1062524
274,1069796
275,1077436
276,1085444
277,1093452
278,1101460
279,1109608
280,1117616
281,1125624
282,1133264
283,1141272
284,1149280
285,1156920
286,1164560
287,1172936
288,1180576
289,1188216
290,1196224
291,1204232
292,1212240
293,1219880
294,1228396
295,1236404
296,1244044
298,1251684
299,1260060
300,1267700
301,1275340
302,1283348
303,1291356
304,1299732
305,1308476
306,1317220
307,1325964
308,1334340
309,1343592
310,1352336
311,1360712
312,1369456
313,1378200
314,1386576
315,1394952
316,1403696
317,1412440
318,1421184
319,1429928
320,1438672
321,1447416
322,1455792
324,1465044
325,1473788
326,1482164
327,1490540
328,1499652
329,1508028
330,1516404
331,1525148
332,1533892
333,1542636
334,1552116
335,1561596
336,1571076
337,1580188
338,1590176
339,1599656
340,1608768
341,1617880
342,1627728
343,1637208
344,1646320
345,1655800
346,1665280
347,1674760
348,1684240
350,1693720
351,1703200
352,1712312
353,1722300
354,1731780
355,1740892
356,1750004
357,1759852
358,1769332
359,1778444
360,1787924
361,1797404
362,1806884
363,1816298
364,1826580
365,1836796
366,1846644
367,1857368
368,1867584
369,1877800
370,1887648
371,1898232
372,1908448
373,1918296
374,1928512
376,1939096
377,1948944
378,1959160
379,1969376
380,1979592
381,1989440
382,2000164
383,2010380
384,2020596
385,2030444
386,2041028
387,2051244
388,2061092
389,2071308
390,2081892
391,2091740
392,2101588
393,2112172
394,2123124
395,2134076
396,2145536
397,2156488
398,2167440
399,2178024
400,2189344
402,2200296
403,2210880
404,2221832
405,2233152
406,2243736
407,2254320
408,2265640
409,2276592
410,2287544
411,2298636
