time(s),cpu(%)
0,0.00
1,1.00
2,0.00
3,1.00
4,13.00
5,7.00
6,0.00
7,1.00
8,6.00
9,6.00
10,0.00
11,1.00
12,6.00
13,10.00
14,2.00
15,6.00
16,0.00
17,1.00
18,0.00
19,1.00
20,5.00
21,10.00
22,7.00
23,1.00
24,0.00
25,6.00
26,12.00
27,23.00
28,5.00
29,6.00
30,1.00
31,6.00
32,3.00
33,1.00
34,1.00
35,6.00
36,6.00
37,1.00
38,0.00
39,1.00
40,1.00
41,1.00
42,11.00
43,2.00
44,1.00
45,0.00
46,2.00
47,0.00
48,11.00
49,1.00
50,12.00
51,0.00
52,1.00
53,1.00
54,13.00
55,11.00
56,1.00
57,43.00
58,1.00
59,1.00
60,0.00
61,6.00
62,13.00
63,6.00
64,6.00
65,1.00
66,0.00
67,1.00
68,11.00
69,11.00
70,1.00
71,1.00
72,2.00
73,0.00
74,1.00
75,1.00
76,11.00
77,9.00
78,15.00
79,6.93
80,1.00
81,1.00
82,6.00
83,1.00
84,13.00
85,1.00
86,1.00
87,35.00
88,1.00
89,1.00
90,1.00
91,6.00
92,1.00
93,1.00
94,1.00
95,7.00
96,10.00
97,0.00
98,2.00
99,1.00
100,1.00
101,1.00
102,1.00
103,4.00
104,0.00
105,2.00
106,1.00
107,6.00
108,2.00
109,6.00
110,17.00
111,1.00
112,1.00
113,2.00
114,1.00
115,1.00
116,11.00
117,68.00
118,14.00
119,6.00
120,12.00
121,3.00
122,7.00
123,1.00
124,1.00
125,1.00
126,2.00
127,1.00
128,1.00
129,2.00
130,2.00
131,1.00
132,1.00
133,2.00
134,9.00
135,13.00
136,2.00
137,3.00
138,5.00
139,2.00
140,7.00
141,13.00
142,1.00
143,7.00
144,11.00
145,3.00
146,8.00
147,71.00
148,20.00
149,2.00
150,2.00
151,1.00
152,1.00
153,1.00
154,2.00
155,2.00
156,1.00
157,1.00
158,9.00
159,3.00
160,7.00
161,2.00
162,1.00
163,2.00
164,1.00
165,1.00
166,2.00
167,2.00
168,1.00
169,1.00
170,3.00
171,2.00
172,1.00
173,1.00
174,7.00
175,1.00
176,1.00
177,67.00
178,7.00
179,6.00
180,6.00
181,1.00
182,1.00
183,6.00
184,13.00
185,1.00
186,2.00
187,6.00
188,7.00
189,14.00
190,2.00
191,6.00
192,0.00
193,2.00
194,2.00
195,1.00
196,2.00
197,1.00
198,2.00
199,6.00
200,13.00
201,1.00
202,6.00
203,6.00
204,13.00
205,3.00
206,1.00
207,67.00
208,39.00
209,2.00
210,1.00
211,0.99
212,18.00
213,3.00
214,1.00
215,11.00
216,2.00
217,1.00
218,2.00
219,2.00
220,1.00
221,1.00
222,2.00
223,2.00
224,1.00
225,8.00
226,2.00
227,5.00
228,15.00
229,3.00
230,2.00
231,7.00
232,1.00
233,6.00
234,3.00
235,1.00
236,2.00
237,69.00
238,87.00
239,6.00
240,2.00
241,2.00
242,2.00
243,7.00
244,1.00
245,2.00
246,1.00
247,1.00
248,2.00
249,2.00
250,2.00
251,6.00
252,15.00
253,2.00
254,2.00
255,1.00
256,7.00
257,13.00
258,2.00
259,1.00
260,2.00
261,2.00
262,1.00
263,2.00
264,11.00
265,15.00
266,3.00
267,67.00
268,42.00
269,6.00
270,2.00
271,2.00
272,0.00
273,2.00
274,6.00
275,15.00
276,7.00
277,1.00
278,2.00
279,3.00
280,2.00
281,2.00
282,0.00
283,3.00
284,1.00
285,2.00
286,2.00
287,1.00
288,2.00
289,1.00
290,7.00
291,3.00
292,7.00
293,1.00
294,2.00
295,14.00
296,8.00
297,67.00
298,61.00
299,2.00
300,2.00
301,3.00
302,1.00
303,6.00
304,6.00
305,16.00
306,2.00
307,1.00
308,2.00
309,2.00
310,10.00
311,3.00
312,1.00
313,1.00
314,14.00
315,3.00
316,2.00
317,1.00
318,2.00
319,7.00
320,6.00
321,17.00
322,2.00
323,3.00
324,2.00
325,6.00
326,6.00
327,81.00
328,83.00
329,7.00
330,14.00
331,3.00
332,2.00
333,1.00
334,2.00
335,2.00
336,11.00
337,14.00
338,2.00
339,2.00
340,2.00
341,6.00
342,1.00
343,2.00
344,2.97
345,2.00
346,1.00
347,1.00
348,6.00
349,16.00
350,3.00
351,8.00
352,0.00
353,3.00
354,7.00
355,15.00
356,3.00
357,67.00
358,87.00
359,2.00
360,2.00
361,2.00
362,1.00
363,16.00
364,6.00
365,2.00
366,6.00
367,15.00
368,2.00
369,3.00
370,2.00
371,7.00
372,1.00
373,2.00
374,6.00
375,2.00
376,2.00
377,2.00
378,2.00
379,2.00
380,2.00
381,2.00
382,1.00
383,2.00
384,2.00
385,2.00
386,3.00
387,67.00
388,89.00
389,6.00
390,7.00
391,15.00
392,6.00
393,3.00
394,2.00
395,2.00
396,6.00
397,1.00
398,3.00
399,14.00
400,4.00
401,6.00
402,1.00
403,2.00
404,7.00
405,15.00
406,2.00
407,1.00
408,3.00
409,8.00
410,6.00
411,2.00
412,21.00
413,3.00
414,2.00
415,2.00
416,3.00
417,68.00
418,100.00
419,74.00
420,6.00
421,2.00
422,1.00
423,14.00
424,5.00
425,3.00
426,2.00
427,1.00
428,6.00
429,2.00
430,7.00
431,2.00
432,1.00
433,1.00
434,4.00
435,2.00
436,3.00
437,3.00
438,13.00
439,6.00
440,7.00
441,21.00
442,8.00
443,1.00
444,6.00
445,3.00
446,16.00
447,68.00
448,100.00
449,43.00
450,2.00
451,2.00
452,1.00
453,1.00
454,9.00
455,1.00
456,3.00
457,14.00
458,7.00
459,4.00
460,6.00
461,18.00
462,2.00
463,1.00
464,3.00
465,3.00
466,7.00
467,2.00
468,5.00
469,3.00
470,3.00
471,2.00
472,1.00
473,1.00
474,20.00
475,8.00
476,21.00
477,71.00
478,100.00
479,52.00
480,3.00
481,2.00
482,5.94
483,1.00
484,3.00
485,7.00
486,2.00
487,7.00
488,15.00
489,4.00
490,2.00
491,7.00
492,1.00
493,4.00
494,14.00
495,4.00
496,2.00
497,2.00
498,4.00
499,4.00
500,2.00
501,2.00
502,1.00
503,22.00
504,5.00
505,3.00
506,7.00
507,75.00
508,100.00
509,100.00
510,2.00
511,3.00
512,5.00
513,22.00
514,3.00
515,2.00
516,4.00
517,1.00
518,5.00
519,3.00
520,4.00
521,16.00
522,7.00
523,0.00
524,8.00
525,18.00
526,2.00
527,7.00
528,0.00
529,3.00
530,3.00
531,4.00
532,5.00
533,1.00
534,23.00
535,9.00
536,3.00
537,70.00
538,100.00
539,100.00
540,84.00
541,3.00
542,2.00
543,0.00
544,0.00
545,6.00
546,2.00
547,2.00
548,0.00
549,1.00
550,4.00
551,3.00
552,15.00
553,7.00
554,16.00
555,5.00
556,7.00
557,2.00
558,6.00
559,0.00
560,5.00
561,2.00
562,2.00
563,17.00
564,8.00
565,4.00
566,20.00
567,69.00
568,100.00
569,100.00
570,11.00
571,3.00
572,1.00
573,0.00
574,1.00
575,6.00
576,2.00
577,2.00
578,0.00
579,7.00
580,19.00
581,4.00
582,6.00
583,1.00
584,0.00
585,5.00
586,2.00
587,2.00
588,1.00
589,6.00
590,6.00
591,3.00
592,2.00
593,1.00
594,1.00
595,4.00
596,3.00
597,68.00
598,100.00
599,100.00
600,25.00
601,3.00
602,4.00
603,2.00
604,14.00
605,7.00
606,3.00
607,2.00
608,1.00
609,6.00
610,5.00
611,24.00
612,6.00
613,1.00
614,5.00
615,7.00
616,1.98
617,1.00
618,1.00
619,16.00
620,7.00
621,4.00
622,1.00
623,5.00
624,1.00
625,5.00
626,3.00
627,69.00
628,100.00
629,100.00
630,52.00
631,7.00
632,18.00
633,7.00
634,5.00
635,6.00
636,19.00
637,6.00
638,0.00
639,6.00
640,22.00
641,5.00
642,1.00
643,1.00
644,5.00
645,5.00
646,3.00
647,1.00
648,2.00
649,1.00
650,7.00
651,24.00
652,12.00
653,1.00
654,1.00
655,5.00
656,4.00
657,72.00
658,100.00
659,100.00
660,94.00
661,5.00
662,3.00
663,0.00
664,6.00
665,6.00
666,7.00
667,2.00
668,5.00
669,1.00
670,6.00
671,7.00
672,6.00
673,1.00
674,0.00
675,11.00
676,7.00
677,2.00
678,0.00
679,16.00
680,8.00
681,9.00
682,1.00
683,6.00
684,1.00
685,22.00
686,4.00
687,70.00
688,100.00
689,100.00
690,100.00
691,60.00
692,19.00
693,6.00
694,1.00
695,1.00
696,12.00
697,1.00
698,6.00
699,1.00
700,1.00
701,7.00
702,1.00
703,1.00
704,0.00
705,1.00
706,7.00
707,6.00
708,1.00
709,1.00
710,1.00
711,7.00
712,1.00
713,1.00
714,16.00
715,3.00
716,6.00
717,73.00
718,100.00
719,100.00
720,74.00
721,8.00
722,1.00
723,5.00
724,1.00
725,6.00
726,24.00
727,1.00
728,7.00
729,5.00
730,22.00
731,13.00
732,2.00
733,1.00
734,19.00
735,0.00
736,8.00
737,2.00
738,1.00
739,0.00
740,7.00
741,7.00
742,7.00
743,0.00
744,2.00
745,1.00
746,6.00
747,73.00
748,100.00
749,100.00
750,45.00
751,24.00
752,6.00
753,0.00
754,1.00
755,2.00
756,7.00
757,2.00
758,1.00
759,0.00
760,1.00
761,9.00
762,2.00
763,0.00
764,1.00
765,1.00
766,8.00
767,1.00
768,0.00
769,1.00
770,1.00
771,7.00
772,1.00
773,1.00
774,0.00
775,1.00
776,8.00
777,70.00
778,100.00
779,37.00
780,1.00
781,8.00
782,1.00
783,0.00
784,1.00
785,1.00
786,7.00
787,1.00
788,1.00
789,0.00
790,2.00
791,7.00
792,1.00
793,0.00
794,1.00
795,1.00
796,8.00
797,1.00
798,0.00
799,1.00
800,1.00
801,7.00
802,2.00
803,0.00
804,1.00
805,0.00
806,7.00
807,70.00
808,100.00
809,66.00
810,2.00
811,7.00
812,1.00
813,1.00
814,0.00
815,1.00
816,7.00
817,2.00
818,0.00
819,0.00
820,1.00
821,8.00
822,1.00
823,0.00
824,0.00
825,2.00
826,7.00
827,1.00
828,0.00
829,1.00
830,1.00
831,8.00
832,1.00
833,0.00
834,0.00
835,1.00
836,8.00
837,68.00
838,100.00
839,100.00
840,2.00
841,7.00
842,2.00
843,0.00
844,0.00
845,1.00
846,7.00
847,1.00
848,0.00
849,2.00
850,0.00
851,8.00
852,1.00
853,0.00
854,0.00
855,2.00
856,7.00
857,1.00
858,1.00
859,0.00
860,1.00
861,7.00
862,2.00
863,0.00
864,1.00
865,0.00
866,7.00
867,68.00
868,100.00
869,100.00
870,44.00
871,8.00
872,1.00
873,1.00
874,0.00
875,1.00
876,7.00
877,0.00
878,1.00
879,0.00
880,2.00
881,6.00
882,2.00
883,1.00
884,0.00
885,1.00
886,6.00
887,1.00
888,1.00
889,1.00
890,1.00
891,7.00
892,1.00
893,0.00
894,1.00
895,2.00
896,6.00
897,69.00
898,100.00
899,100.00
900,10.00
901,9.00
902,1.00
903,0.00
904,0.00
905,1.00
906,8.00
907,1.00
908,1.00
909,0.00
910,1.00
911,7.00
912,2.00
