time(s),mem(%)
0,5.55
1,5.55
2,5.55
3,5.55
4,5.28
5,5.29
6,5.29
7,5.29
8,5.31
9,5.31
10,5.31
11,5.31
12,5.31
13,5.29
14,5.29
15,5.29
16,5.29
17,5.29
18,5.29
19,5.29
20,5.30
21,5.27
22,5.27
23,5.27
24,5.27
25,5.28
26,5.29
27,5.19
28,5.19
29,5.22
30,5.22
31,5.22
32,5.22
33,5.22
34,5.22
35,5.23
36,5.25
37,5.26
38,5.26
39,5.26
40,5.26
41,5.26
42,5.29
43,5.29
44,5.29
45,5.29
46,5.29
47,5.29
48,5.29
49,5.29
50,5.28
51,5.28
52,5.28
53,5.28
54,5.29
55,5.30
56,5.30
57,5.26
58,5.26
59,5.26
60,5.26
61,5.29
62,5.31
63,5.31
64,5.31
65,5.31
66,5.31
67,5.31
68,5.31
69,5.31
70,5.31
71,5.31
72,5.31
73,5.31
74,5.31
75,5.31
76,5.31
77,5.31
78,5.31
79,5.31
80,5.31
81,5.31
82,5.32
83,5.32
84,5.32
85,5.32
86,5.32
87,5.43
88,5.43
89,5.43
90,5.43
91,5.43
92,5.43
93,5.43
94,5.43
95,5.37
96,4.42
97,4.42
98,4.42
99,4.43
100,4.43
101,4.43
102,4.40
103,4.40
104,4.40
105,4.40
106,4.40
107,4.43
108,4.43
109,4.46
110,4.46
111,4.46
112,4.46
113,4.46
114,4.46
115,4.47
116,4.46
117,4.47
118,4.47
119,4.49
120,4.52
121,4.52
122,4.52
123,4.52
124,4.52
125,4.52
126,4.52
127,4.52
128,4.52
129,4.52
130,4.52
131,4.52
132,4.52
133,4.52
134,4.38
135,4.42
136,4.42
137,4.42
138,4.44
139,4.44
140,4.47
141,4.48
142,4.48
143,4.48
144,4.49
145,4.49
146,4.50
147,4.55
148,4.54
149,4.54
150,4.54
151,4.54
152,4.54
153,4.54
154,4.54
155,4.54
156,4.54
157,4.54
158,4.43
159,4.44
160,4.48
161,4.48
162,4.48
163,4.48
164,4.48
165,4.48
166,4.48
167,4.46
168,4.45
169,4.45
170,4.45
171,4.45
172,4.46
173,4.45
174,4.49
175,4.49
176,4.50
177,4.54
178,4.54
179,4.54
180,4.55
181,4.55
182,4.55
183,4.55
184,4.54
185,4.54
186,4.54
187,4.55
188,4.55
189,4.55
190,4.55
191,4.55
192,4.55
193,4.55
194,4.55
195,4.55
196,4.55
197,4.55
198,4.55
199,4.55
200,4.54
201,4.54
202,4.54
203,4.54
204,4.55
205,4.55
206,4.55
207,4.60
208,4.60
209,4.60
210,4.60
211,4.60
212,4.62
213,4.62
214,4.62
215,4.62
216,4.62
217,4.62
218,4.62
219,4.62
220,4.62
221,4.62
222,4.62
223,4.62
224,4.62
225,4.51
226,4.51
227,4.53
228,4.55
229,4.55
230,4.55
231,4.55
232,4.55
233,4.55
234,4.55
235,4.55
236,4.55
237,4.55
238,4.55
239,4.56
240,4.56
241,4.56
242,4.56
243,4.58
244,4.58
245,4.58
246,4.58
247,4.59
248,4.59
249,4.59
250,4.59
251,4.62
252,4.61
253,4.61
254,4.61
255,4.61
256,4.61
257,4.62
258,4.62
259,4.62
260,4.62
261,4.62
262,4.62
263,4.62
264,4.62
265,4.62
266,4.62
267,4.72
268,4.72
269,4.72
270,4.72
271,4.72
272,4.72
273,4.72
274,4.73
275,4.75
276,4.75
277,4.75
278,4.75
279,4.75
280,4.75
281,4.75
282,4.75
283,4.75
284,4.75
285,4.75
286,4.75
287,4.75
288,4.76
289,4.76
290,4.76
291,4.76
292,4.76
293,4.76
294,4.76
295,4.77
296,4.77
297,4.76
298,4.75
299,4.75
300,4.75
301,4.75
302,4.75
303,4.75
304,4.75
305,4.76
306,4.76
307,4.76
308,4.76
309,4.76
310,4.76
311,4.76
312,4.76
313,4.76
314,4.76
315,4.76
316,4.76
317,4.76
318,4.76
319,4.76
320,4.76
321,4.76
322,4.76
323,4.76
324,4.76
325,4.76
326,4.76
327,4.76
328,4.76
329,4.76
330,4.77
331,4.77
332,4.77
333,4.77
334,4.77
335,4.77
336,4.77
337,4.77
338,4.77
339,4.77
340,4.77
341,4.77
342,4.77
343,4.77
344,4.77
345,4.77
346,4.77
347,4.77
348,4.77
349,4.77
350,4.77
351,4.77
352,4.77
353,4.77
354,4.77
355,4.77
356,4.77
357,4.77
358,4.77
359,4.77
360,4.77
361,4.77
362,4.77
363,4.77
364,4.77
365,4.77
366,4.77
367,4.77
368,4.77
369,4.77
370,4.77
371,4.77
372,4.77
373,4.77
374,4.77
375,4.77
376,4.77
377,4.77
378,4.77
379,4.77
380,4.77
381,4.77
382,4.77
383,4.77
384,4.77
385,4.77
386,4.77
387,4.77
388,4.77
389,4.77
390,4.77
391,4.78
392,4.78
393,4.78
394,4.78
395,4.78
396,4.78
397,4.78
398,4.78
399,4.78
400,4.78
401,4.78
402,4.78
403,4.78
404,4.78
405,4.78
406,4.78
407,4.78
408,4.78
409,4.78
410,4.78
411,4.78
412,4.78
413,4.78
414,4.78
415,4.78
416,4.78
417,4.78
418,4.78
419,4.78
420,4.78
421,4.78
422,4.78
423,4.79
424,4.79
425,4.79
426,4.79
427,4.79
428,4.79
429,4.79
430,4.79
431,4.79
432,4.79
433,4.79
434,4.79
435,4.79
436,4.79
437,4.79
438,4.79
439,4.80
440,4.80
441,4.80
442,4.80
443,4.80
444,4.80
445,4.80
446,4.80
447,4.80
448,4.80
449,4.80
450,4.80
451,4.80
452,4.80
453,4.80
454,4.80
455,4.80
456,4.80
457,4.80
458,4.80
459,4.80
460,4.80
461,4.80
462,4.80
463,4.80
464,4.80
465,4.80
466,4.80
467,4.80
468,4.80
469,4.80
470,4.80
471,4.80
472,4.80
473,4.80
474,4.80
475,4.80
476,4.81
477,4.81
478,4.81
479,4.81
480,4.81
481,4.81
482,4.81
483,4.81
484,4.81
485,4.81
486,4.81
487,4.81
488,4.81
489,4.81
490,4.81
491,4.81
492,4.81
493,4.81
494,4.81
495,4.81
496,4.81
497,4.81
498,4.81
499,4.81
500,4.81
501,4.81
502,4.81
503,4.82
504,4.82
505,4.82
506,4.82
