[2020-01-29 11:54:32] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 11:54:33] 
[2020-01-29 11:54:33] 11:54:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 11:54:33] 11:54:33    20001     22897    114.00      0.00 1847536  681524   5.55  node /users/dyv
[2020-01-29 11:54:34] 11:54:34    20001     22897    118.00      0.00 1847536  681524   5.55  node /users/dyv
[2020-01-29 11:54:35] 11:54:35    20001     22897    154.00      0.00 1847536  681524   5.55  node /users/dyv
[2020-01-29 11:54:36] 11:54:36    20001     22897    652.00      0.00 1847536  681524   5.55  node /users/dyv
[2020-01-29 11:54:37] 11:54:37    20001     22897   9607.00      0.00 1848560  648560   5.28  node /users/dyv
[2020-01-29 11:54:38] 11:54:38    20001     22897    904.00      0.00 1848560  650232   5.29  node /users/dyv
[2020-01-29 11:54:39] 11:54:39    20001     22897     50.00      0.00 1848560  650232   5.29  node /users/dyv
[2020-01-29 11:54:40] 11:54:40    20001     22897     19.00      0.00 1848560  650452   5.29  node /users/dyv
[2020-01-29 11:54:41] 11:54:41    20001     22897   3372.00      0.00 1848560  651840   5.31  node /users/dyv
[2020-01-29 11:54:42] 11:54:42    20001     22897   1615.00      0.00 1848560  652676   5.31  node /users/dyv
[2020-01-29 11:54:43] 11:54:43    20001     22897     12.00      0.00 1848560  652676   5.31  node /users/dyv
[2020-01-29 11:54:44] 11:54:44    20001     22897     58.00      0.00 1848560  652684   5.31  node /users/dyv
[2020-01-29 11:54:45] 11:54:45    20001     22897    879.00      0.00 1848560  652852   5.31  node /users/dyv
[2020-01-29 11:54:46] 11:54:46    20001     22897   5599.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:47] 11:54:47    20001     22897    298.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:48] 11:54:48    20001     22897    370.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:49] 11:54:49    20001     22897      1.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:50] 11:54:50    20001     22897     11.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:51] 11:54:51    20001     22897      2.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:52] 11:54:52    20001     22897      2.00      0.00 1846000  650292   5.29  node /users/dyv
[2020-01-29 11:54:53] 11:54:53    20001     22897    412.00      0.00 1846000  650916   5.30  node /users/dyv
[2020-01-29 11:54:54] 11:54:54    20001     22897    491.00      0.00 1840880  647192   5.27  node /users/dyv
[2020-01-29 11:54:55] 11:54:55    20001     22897    214.00      0.00 1840880  647252   5.27  node /users/dyv
[2020-01-29 11:54:56] 11:54:56    20001     22897      5.00      0.00 1840880  647252   5.27  node /users/dyv
[2020-01-29 11:54:57] 11:54:57    20001     22897      2.00      0.00 1840880  647252   5.27  node /users/dyv
[2020-01-29 11:54:58] 11:54:58    20001     22897    622.00      0.00 1840880  649040   5.28  node /users/dyv
[2020-01-29 11:54:59] 11:54:59    20001     22897    128.00      0.00 1840880  649232   5.29  node /users/dyv
[2020-01-29 11:55:00] 11:55:00    20001     22897   3018.00      0.00 1828592  636964   5.19  node /users/dyv
[2020-01-29 11:55:01] 11:55:01    20001     22897    423.00      0.00 1829616  637684   5.19  node /users/dyv
[2020-01-29 11:55:02] 11:55:02    20001     22897   2956.00      0.00 1832688  640792   5.22  node /users/dyv
[2020-01-29 11:55:03] 11:55:03    20001     22897    561.00      0.00 1832688  640792   5.22  node /users/dyv
[2020-01-29 11:55:04] 11:55:04    20001     22897   5791.00      0.00 1833200  641200   5.22  node /users/dyv
[2020-01-29 11:55:05] 11:55:05    20001     22897    151.00      0.00 1833200  641240   5.22  node /users/dyv
[2020-01-29 11:55:06] 11:55:06    20001     22897    158.00      0.00 1833200  641240   5.22  node /users/dyv
[2020-01-29 11:55:07] 11:55:07    20001     22897     77.00      0.00 1833200  641240   5.22  node /users/dyv
[2020-01-29 11:55:08] 11:55:08    20001     22897    736.00      0.00 1833200  641932   5.23  node /users/dyv
[2020-01-29 11:55:09] 11:55:09    20001     22897   1316.00      0.00 1833200  645344   5.25  node /users/dyv
[2020-01-29 11:55:10] 11:55:10    20001     22897    160.00      0.00 1833200  645748   5.26  node /users/dyv
[2020-01-29 11:55:11] 11:55:11    20001     22897    150.00      0.00 1833200  645748   5.26  node /users/dyv
[2020-01-29 11:55:12] 11:55:12    20001     22897    148.00      0.00 1833200  645748   5.26  node /users/dyv
[2020-01-29 11:55:13] 11:55:13    20001     22897    156.00      0.00 1833200  645748   5.26  node /users/dyv
[2020-01-29 11:55:14] 11:55:14    20001     22897    152.00      0.00 1833200  645748   5.26  node /users/dyv
[2020-01-29 11:55:15] 11:55:15    20001     22897   1334.00      0.00 1835248  649316   5.29  node /users/dyv
[2020-01-29 11:55:16] 11:55:16    20001     22897      7.00      0.00 1835248  649316   5.29  node /users/dyv
[2020-01-29 11:55:17] 11:55:17    20001     22897      3.00      0.00 1835248  649316   5.29  node /users/dyv
[2020-01-29 11:55:18] 11:55:18    20001     22897      1.00      0.00 1835248  649316   5.29  node /users/dyv
[2020-01-29 11:55:19] 11:55:19    20001     22897      3.00      0.00 1835248  649316   5.29  node /users/dyv
[2020-01-29 11:55:20] 11:55:20    20001     22897      2.00      0.00 1835248  649316   5.29  node /users/dyv
[2020-01-29 11:55:21] 11:55:21    20001     22897     76.00      0.00 1835760  649476   5.29  node /users/dyv
[2020-01-29 11:55:22] 11:55:22    20001     22897      1.00      0.00 1835760  649476   5.29  node /users/dyv
[2020-01-29 11:55:23] 11:55:23    20001     22897    194.00      0.00 1835248  649228   5.28  node /users/dyv
[2020-01-29 11:55:24] 11:55:24    20001     22897      5.00      0.00 1835248  649228   5.28  node /users/dyv
[2020-01-29 11:55:25] 11:55:25    20001     22897      3.00      0.00 1835248  649228   5.28  node /users/dyv
[2020-01-29 11:55:26] 11:55:26    20001     22897      1.00      0.00 1835248  649228   5.28  node /users/dyv
[2020-01-29 11:55:27] 11:55:27    20001     22897    208.00      0.00 1835248  649724   5.29  node /users/dyv
[2020-01-29 11:55:28] 11:55:28    20001     22897    211.00      0.00 1836272  650528   5.30  node /users/dyv
[2020-01-29 11:55:29] 11:55:29    20001     22897      3.00      0.00 1836272  650528   5.30  node /users/dyv
[2020-01-29 11:55:30] 11:55:30    20001     22897   7578.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:31] 11:55:31    20001     22897      2.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:32] 11:55:32    20001     22897      2.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:33] 11:55:33    20001     22897      2.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:34] 11:55:34    20001     22897    783.00      0.00 1835248  649956   5.29  node /users/dyv
[2020-01-29 11:55:35] 11:55:35    20001     22897    730.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:36] 11:55:36    20001     22897    116.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:37] 11:55:37    20001     22897     71.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:38] 11:55:38    20001     22897      9.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:39] 11:55:39    20001     22897      1.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:40] 11:55:40    20001     22897     15.84      0.00 1836784  651960   5.31  node /users/dyv
[2020-01-29 11:55:41] 11:55:41    20001     22897    313.00      0.00 1836272  651708   5.31  node /users/dyv
