time(s),total_rx(bytes)
0,0
1,0
2,0
3,0
4,138885
5,277770
6,278716
7,279662
8,418547
10,557610
11,558734
12,559858
13,560982
14,700223
15,839937
16,979178
17,980480
18,981782
19,983173
20,984653
21,1124072
22,1263491
23,1402910
24,1404479
25,1406137
26,1545734
27,1685598
28,10210783
29,10390668
30,10570080
31,10571916
32,10573752
33,10575588
34,10577602
36,10757192
37,10936782
38,10938796
39,10940810
40,10943180
41,10945550
42,10947920
43,11128250
44,11130531
45,11132901
46,11135271
47,11137641
48,11140011
49,11497622
50,11500170
51,11680294
52,11682842
53,11685390
54,11688472
55,12046528
56,12227008
57,12230296
58,32627522
59,32630426
60,32633330
62,32823346
63,33013362
64,33016266
65,33393572
66,33396832
67,33400092
68,33402818
69,33593724
70,33784274
71,33974824
72,33978646
73,33981906
74,33985255
75,33988693
76,33992131
77,34182681
78,34373231
79,34751249
80,34942155
81,34945949
82,34949654
83,35140560
84,35144532
85,35335616
86,35339972
88,35343766
89,48490328
90,48494300
91,48498272
92,48502333
93,48583333
94,48587839
95,48592167
96,48596495
97,48677940
98,48682268
99,48686685
100,48691102
101,48695992
102,48700320
103,48704648
104,48709065
105,48713749
106,48718433
107,48723117
108,48804918
109,48809780
110,48891759
111,49050855
112,49055717
114,49060579
115,49065619
116,49070954
117,49152933
118,49234912
119,87676970
120,87682188
121,88023130
122,88028348
123,88200360
124,88206735
125,88212042
126,88217438
127,88222834
128,88226272
129,88233715
130,88239584
131,88245158
132,88250732
133,88256306
134,88262058
135,88435672
136,88441424
137,88447176
138,88620790
140,88626720
141,88800423
142,88974215
143,88980145
144,89154115
145,89328558
146,89334666
147,89508636
148,89680671
149,137983278
150,137989564
151,137995850
152,138002136
153,138005841
154,138014797
155,138021172
156,138027636
157,138034189
158,138037182
159,138216145
160,138391253
161,138397895
162,138404537
163,138411090
164,138417910
166,138424730
167,138431550
168,138438103
169,138445101
170,138452099
171,138459364
172,138466540
173,138472292
174,138481276
175,138656740
176,138663916
177,138671092
178,138675087
179,186229266
180,186373646
181,186518026
182,186525380
183,186529352
184,186677648
185,186822206
186,186829916
187,186837626
188,186982568
189,187126948
190,187272129
192,187279839
193,187424486
194,187432196
195,187440084
196,187447972
197,187456127
198,187462769
199,187472081
200,187480414
201,187625773
202,187770865
203,187913849
204,188061700
205,188069944
206,188215214
207,188223369
208,188227275
209,244116696
210,244124940
211,244133896
212,244142496
213,244418397
214,244432782
215,244441738
216,244723780
218,244732853
219,244741453
220,244750231
221,244759009
222,244767698
223,244775764
224,244785699
225,244794833
226,244803967
227,244949644
228,244956019
229,245241176
230,245250221
231,245259711
232,245269318
233,245411257
234,245561028
235,245570251
236,245579741
237,245589320
238,245592603
239,303887272
240,336167086
241,336176665
242,336186155
243,336188169
245,336399400
246,336409157
247,336419298
248,336428432
249,336429556
250,336448836
251,336458771
252,336468795
253,336863611
254,336864913
255,336886151
256,336896264
257,337100108
258,337299680
259,337313976
260,337324445
261,337335120
262,337345589
263,337350362
264,337560080
265,337764102
266,337968213
267,337978771
268,345290329
269,398978558
271,398989205
272,398999941
273,399009965
274,399012513
275,399032149
276,399274609
277,399401193
278,399409437
279,399412341
280,399434113
281,399445116
282,399456297
283,399462850
284,399478392
285,399489662
286,399500932
287,399512113
288,399517242
289,399535187
290,399546218
291,399674048
292,399685496
293,399804159
294,399823439
295,399951002
297,399962717
298,400089479
299,400089759
300,479732529
301,479744511
302,479756493
303,479765805
304,479770044
305,480064618
306,480212631
307,480224702
308,480231967
309,480248577
310,480260737
311,480544781
312,480556941
313,480562604
314,480581261
315,480729363
316,480742413
317,480754840
318,480758367
319,480779989
320,480928803
321,481076460
323,481225541
324,481227377
325,481250662
326,481263445
327,481547934
328,481694879
329,481695159
330,578450272
331,578770662
332,578933716
333,578942049
334,578947852
335,578972805
336,578986033
337,579299180
338,579455737
339,579475373
340,579488423
341,579501829
342,579665417
343,579669834
344,579692229
345,579703944
346,579719130
347,579732536
349,579735084
350,579910359
351,580073947
352,580237535
353,580249873
354,580251531
355,580278554
356,580442676
357,580606442
358,580615243
359,580615523
360,688277480
361,688291509
362,688306250
363,688312676
364,688487245
365,688654361
366,688668479
367,688835417
368,688992476
369,689017007
370,689029790
