time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,1782
5,3564
6,4290
7,5016
8,6798
10,8646
11,9504
12,10362
13,11220
14,13266
15,15741
16,17655
17,18645
18,19635
19,20691
20,21813
21,23925
22,25971
23,27951
24,29139
25,30393
26,32571
27,34947
28,263835
29,266706
30,269214
31,270600
32,271986
33,273372
34,274890
36,277530
37,280038
38,281556
39,283074
40,284856
41,286638
42,288420
43,291687
44,293403
45,295185
46,296967
47,298749
48,300531
49,304491
50,306405
51,309705
52,311619
53,313533
54,315843
55,320661
56,323895
57,326370
58,869130
59,871308
60,873486
62,876786
63,880350
64,882528
65,887280
66,889722
67,892164
68,894210
69,898368
70,902130
71,905694
72,908565
73,911007
74,913515
75,916089
76,918663
77,922557
78,926385
79,931533
80,935691
81,938529
82,941301
83,945525
84,948495
85,952719
86,955986
88,958824
89,1317402
90,1320372
91,1323342
92,1326378
93,1329876
94,1333242
95,1336476
96,1339710
97,1343472
98,1346706
99,1350006
100,1353306
101,1356969
102,1360203
103,1363437
104,1366737
105,1370235
106,1373733
107,1377231
108,1381389
109,1385019
110,1389375
111,1394325
112,1397955
114,1401585
115,1405347
116,1409340
117,1413630
118,1417920
119,2468064
120,2471958
121,2477964
122,2481858
123,2486016
124,2490768
125,2494728
126,2498754
127,2502780
128,2505354
129,2510898
130,2515287
131,2519445
132,2523603
133,2527761
134,2532051
135,2537331
136,2541621
137,2545911
138,2551191
140,2555613
141,2561025
142,2566701
143,2571123
144,2576865
145,2582838
146,2587392
147,2593068
148,2597490
149,3890262
150,3894948
151,3899634
152,3904320
153,3907092
154,3913758
155,3918510
156,3923328
157,3928212
158,3930456
159,3939597
160,3945801
161,3950751
162,3955701
163,3960585
164,3965667
166,3970749
167,3975831
168,3980715
169,3985929
170,3991143
171,3996555
172,4001901
173,4006191
174,4012890
175,4019358
176,4024704
177,4030050
178,4033218
179,5357402
180,5363936
181,5370404
182,5375882
183,5378720
184,5388224
185,5394758
186,5400500
187,5406242
188,5413139
189,5419673
190,5426801
192,5432543
193,5439077
194,5444819
195,5450693
196,5456567
197,5462639
198,5467589
199,5474519
200,5480723
201,5487785
202,5494847
203,5500292
204,5509268
205,5515406
206,5522534
207,5528606
208,5531708
209,7107590
210,7113728
211,7120394
212,7126796
213,7130492
214,7141184
215,7147850
216,7156430
218,7163195
219,7169597
220,7176131
221,7182665
222,7189133
223,7195139
224,7202531
225,7209329
226,7216127
227,7223915
228,7228667
229,7239227
230,7245959
231,7253021
232,7260182
233,7265066
234,7275824
235,7282688
236,7289750
237,7296878
238,7299518
239,8994326
240,9788414
241,9795542
242,9802604
243,9804122
245,9818444
246,9825704
247,9833261
248,9840059
249,9840917
250,9855239
251,9862631
252,9870089
253,9878273
254,9879263
255,9895037
256,9902561
257,9911339
258,9917081
259,9927707
260,9935495
261,9943448
262,9951236
263,9954800
264,9968000
265,9977042
266,9985952
267,9993806
268,10220054
269,11784262
271,11792182
272,11800168
273,11807626
274,11809540
275,11824126
276,11834323
277,11843497
278,11849635
279,11851813
280,11867983
281,11876167
282,11884483
283,11889367
284,11900917
285,11909299
286,11917681
287,11925997
288,11929825
289,11943157
290,11951374
291,11961472
292,11969986
293,11973154
294,11987476
295,11997244
297,12005956
298,12015262
299,12015856
300,14308986
301,14317896
302,14326806
303,14333736
304,14336904
305,14356011
306,14366043
307,14375019
308,14380431
309,14392773
310,14401815
311,14412903
312,14421945
313,14426169
314,14440029
315,14450061
316,14459763
317,14469003
318,14471643
319,14487714
320,14498142
321,14507778
323,14518536
324,14519922
325,14537214
326,14546718
327,14558004
328,14567244
329,14567838
330,17379004
331,17392380
332,17403072
333,17409276
334,17413797
335,17432145
336,17441979
337,17453991
338,17459865
339,17474451
340,17484153
341,17494119
342,17505273
343,17508573
344,17525205
345,17533917
346,17545203
347,17555169
349,17557083
350,17576850
351,17588070
352,17599224
353,17608398
354,17609652
355,17629716
356,17641200
357,17652552
358,17659284
359,17659878
360,20801838
361,20812266
362,20823222
363,20828205
364,20845299
365,20856981
366,20867475
367,20879091
368,20883579
369,20901795
370,20911299
371,20923245
372,20934927
373,20936247
375,20956575
376,20968389
377,20979411
378,20988651
379,20990136
380,21012378
381,21022938
382,21034224
